月份,进口数量(吨),转口数量(吨),出口总额数量(吨),进口货值(千港元),转口货值(千港元),出口总额货值(千港元),进口货值(亿美元),出口总额货值(亿美元),净流入数量(吨),净流入货值(千港元),进口隐含单价(美元/kg),出口隐含单价(美元/kg)
202109,267.6,682.2,702.3,1359308,4021444,4142130,0.17,0.53,-434.7,-2782822,651.20,756.11
202110,210.1,460.2,575.0,1129968,2638981,3298660,0.14,0.42,-364.9,-2168692,689.61,735.51
202111,326.4,453.9,479.7,1791475,2715559,2870910,0.23,0.37,-153.3,-1079435,703.64,767.23
202112,297.7,585.4,606.6,1460984,3260352,3381230,0.19,0.43,-308.9,-1920246,629.19,714.60
202201,118.3,268.7,308.5,608984,1498787,1721355,0.08,0.22,-190.1,-1112371,659.70,715.41
202202,153.6,279.4,319.5,813764,1613058,1848311,0.10,0.24,-165.9,-1034547,679.25,741.75
202203,190.6,233.3,308.9,1024011,1393239,1870143,0.13,0.24,-118.3,-846132,688.80,776.16
202204,611.1,402.8,470.2,3571454,2473196,2888502,0.46,0.37,+140.9,682952,749.23,787.53
202205,293.8,591.9,662.7,1558590,3260293,3660744,0.20,0.47,-369.0,-2102154,680.20,708.18
202206,435.7,290.1,321.1,2336391,1528255,1699416,0.30,0.22,+114.6,636975,687.47,678.49
202207,326.8,567.3,626.3,1545134,2790003,3095656,0.20,0.40,-299.5,-1550522,606.14,633.68
202208,270.4,362.2,376.5,1297576,1763537,1830802,0.17,0.23,-106.1,-533226,615.31,623.45
202209,280.2,282.0,289.6,1289251,1306436,1340541,0.17,0.17,-9.4,-51290,589.97,593.44
202210,320.4,357.9,365.9,1417236,1691407,1729182,0.18,0.22,-45.5,-311946,567.02,605.83
202211,469.7,382.2,497.8,2310092,1942645,2556506,0.30,0.33,-28.0,-246414,630.49,658.47
202212,275.7,379.5,504.6,1350615,2096978,2809392,0.17,0.36,-228.8,-1458777,627.97,713.82
202301,324.8,379.8,523.2,1712571,2238692,3082827,0.22,0.40,-198.4,-1370256,676.00,755.46
202302,381.5,378.6,561.9,2009052,2140980,3178175,0.26,0.41,-180.4,-1169123,675.14,725.16
202303,367.1,607.0,718.1,1867014,3192723,3820740,0.24,0.49,-351.0,-1953726,652.02,682.12
202304,419.3,377.4,566.8,2214983,2206443,3375387,0.28,0.43,-147.4,-1160404,677.20,763.51
202305,242.7,465.5,588.5,1352410,2814534,3587340,0.17,0.46,-345.8,-2234930,714.55,781.56
202306,345.1,347.9,465.7,1903599,2023055,2741480,0.24,0.35,-120.6,-837881,707.27,754.74
202307,257.1,592.4,647.7,1265010,3377120,3712618,0.16,0.48,-390.6,-2447608,630.69,734.83
202308,228.9,401.3,479.6,1265045,2391244,2857318,0.16,0.37,-250.7,-1592273,708.43,763.78
202309,362.6,301.0,386.5,2022690,1752300,2270266,0.26,0.29,-23.9,-247576,715.22,753.07
202310,449.3,465.3,574.6,2487495,2591111,3209183,0.32,0.41,-125.3,-721688,709.72,716.04
202311,265.2,382.2,431.0,1408945,2156481,2444683,0.18,0.31,-165.8,-1035738,681.08,727.13
202312,330.5,376.4,401.9,1858574,2254416,2404814,0.24,0.31,-71.4,-546240,721.05,767.22
202401,258.8,333.3,360.4,1458286,1901249,2055994,0.19,0.26,-101.6,-597708,722.45,731.37
202402,278.0,308.7,342.8,1522973,1749276,1942573,0.20,0.25,-64.8,-419600,702.37,726.58
