DATE,INSTRUMENTID,RANK,PARTICIPANTABBR1,CJ1,CJ1_CHG,PARTICIPANTABBR2,CJ2,CJ2_CHG,PARTICIPANTABBR3,CJ3,CJ3_CHG,PRODUCTNAME
20260612,agall,-1,期货公司会员/境外特殊经纪参与者,2850026,-395890,期货公司会员/境外特殊经纪参与者,475657,-12099,期货公司会员/境外特殊经纪参与者,351144,-12557,白银
20260612,agall,0,非期货公司会员/境外特殊非经纪参与者,7688,-3424,非期货公司会员/境外特殊非经纪参与者,28944,990,非期货公司会员/境外特殊非经纪参与者,153457,1448,白银
20260612,ag2606,1,华金期货,42,42,国泰君安,984,2,中信期货,900,0,白银
20260612,ag2606,2,申万期货,34,32,中信期货,546,0,国投期货,626,0,白银
20260612,ag2606,3,国信期货,34,22,华鑫期货,428,-6,方正中期,484,0,白银
20260612,ag2606,4,东证期货,30,26,中信建投,286,0,新湖期货,262,0,白银
20260612,ag2606,5,华泰期货,26,26,东海期货,200,0,瑞达期货,224,0,白银
20260612,ag2606,6,国联期货,22,22,山金期货,186,0,银河期货,218,0,白银
20260612,ag2606,7,五矿期货,18,8,南华期货,132,0,紫金天风,186,0,白银
20260612,ag2606,8,国泰君安,14,6,华安期货,132,0,金瑞期货,174,0,白银
20260612,ag2606,9,兴证期货,12,12,国海良时,106,0,国元期货,136,0,白银
20260612,ag2606,10,上海中期,10,-2,建信期货,100,0,五矿期货,128,10,白银
20260612,ag2606,11,华鑫期货,6,-14,广发期货,98,-2,国海良时,106,0,白银
20260612,ag2606,12,方正中期,4,4,海证期货,96,0,国泰君安,68,0,白银
20260612,ag2606,13,国投期货,4,4,国投期货,28,4,徽商期货,52,0,白银
20260612,ag2606,14,永安期货,4,-6,华泰期货,26,26,广发期货,48,0,白银
20260612,ag2606,15,紫金天风,4,4,东证期货,12,2,国贸期货,18,0,白银
20260612,ag2606,16,国元期货,2,2,国信期货,8,-14,申万期货,18,0,白银
20260612,ag2606,17,浙商期货,2,-20,大有期货,8,0,东证期货,10,-28,白银
20260612,ag2606,18,广发期货,2,-2,一德期货,6,2,华金期货,4,-42,白银
20260612,ag2606,19,一德期货,2,2,华金期货,4,0,国盛期货,4,0,白银
20260612,ag2606,20,,,,格林大华,4,0,中财期货,2,0,白银
20260612,ag2606,999,,272,168,,3390,14,,3668,-60,白银
20260612,ag2608,1,国泰君安,274241,-42647,国泰君安,20245,-137,中信期货,24398,-2033,白银
20260612,ag2608,2,中信期货,176340,-32554,中信期货,17962,169,国泰君安,13151,-517,白银
20260612,ag2608,3,广发期货,99003,-3132,东证期货,14883,-182,东证期货,12252,-347,白银
20260612,ag2608,4,东证期货,89804,-10216,银河期货,13447,609,永安期货,11245,-1085,白银
20260612,ag2608,5,中泰期货,79000,-13167,国投期货,12813,324,银河期货,9952,-183,白银
20260612,ag2608,6,银河期货,76400,-4003,平安期货,9144,-917,中银期货,6911,-30,白银
20260612,ag2608,7,华泰期货,61063,-4164,方正中期,8834,-141,华泰期货,6859,-205,白银
20260612,ag2608,8,国信期货,50399,-4311,华泰期货,8362,-1852,云晨期货,6171,98,白银
20260612,ag2608,9,海通期货,45172,-7193,永安期货,6920,-738,金瑞期货,5998,236,白银
20260612,ag2608,10,中信建投,43464,-8941,国元期货,6232,-11,中粮期货,5255,-4,白银
20260612,ag2608,11,方正中期,37020,-7922,广发期货,5823,97,首创期货,5194,-124,白银
20260612,ag2608,12,徽商期货,34569,-6376,金瑞期货,5765,-851,宏源期货,5047,-897,白银
20260612,ag2608,13,东方财富,29133,-5390,中信建投,5333,-434,广发期货,4807,-199,白银
20260612,ag2608,14,平安期货,22839,-1762,高盛期货,5127,-788,华鑫期货,4254,-176,白银
20260612,ag2608,15,瑞达期货,19816,-6545,光大期货,4869,-135,中信建投,3430,-102,白银
20260612,ag2608,16,东吴期货,18441,-7134,中泰期货,4520,-81,宝城期货,2837,643,白银
20260612,ag2608,17,招商期货,18373,-327,齐盛期货,3791,-403,国投期货,2789,-226,白银
20260612,ag2608,18,宏源期货,17879,-4330,东方财富,3435,-593,南华期货,2667,-174,白银
20260612,ag2608,19,华闻期货,17566,-9592,国信期货,3346,-248,方正中期,2463,-433,白银
20260612,ag2608,20,南华期货,17186,708,南华期货,3328,-314,东海期货,2307,-25,白银
20260612,ag2608,999,,1227708,-178998,,164179,-6626,,137987,-5783,白银
20260612,ag2610,1,国泰君安,127568,-17057,国泰君安,7051,-307,东证期货,9484,96,白银
20260612,ag2610,2,中信期货,80136,-5292,国投期货,6659,-2,中信期货,7578,-1017,白银
20260612,ag2610,3,广发期货,49826,989,银河期货,5925,351,金瑞期货,4382,124,白银
20260612,ag2610,4,中泰期货,40280,-3949,华泰期货,5362,1089,国泰君安,3838,221,白银
20260612,ag2610,5,银河期货,36117,522,金瑞期货,5346,4,中银期货,3563,40,白银
20260612,ag2610,6,华泰期货,34104,1579,广发期货,5318,-88,首创期货,3262,2,白银
20260612,ag2610,7,海通期货,31849,-2113,中信期货,4801,-241,光大期货,1688,-21,白银
20260612,ag2610,8,东证期货,28771,-3326,浙商期货,3206,-13,方正中期,1638,119,白银
20260612,ag2610,9,国信期货,26680,-2772,国元期货,3101,-41,高盛期货,1503,-27,白银
20260612,ag2610,10,中信建投,18953,2282,光大期货,2315,-73,永安期货,1269,-280,白银
20260612,ag2610,11,徽商期货,18689,1767,平安期货,2168,-323,中泰期货,1180,677,白银
20260612,ag2610,12,五矿期货,13294,870,中信建投,1913,-9,南华期货,1041,-7,白银
20260612,ag2610,13,东方财富,11980,-122,东证期货,1793,-149,五矿期货,1024,273,白银
20260612,ag2610,14,宏源期货,10379,-1553,永安期货,1587,297,云晨期货,920,0,白银
20260612,ag2610,15,方正中期,9433,-914,国信期货,1586,-74,中粮期货,895,-58,白银
20260612,ag2610,16,民生期货,9139,-1175,方正中期,1542,-4,中信建投,877,56,白银
20260612,ag2610,17,山西三立,8144,1030,申万期货,1397,-36,申万期货,873,2,白银
20260612,ag2610,18,东吴期货,7498,-1705,东吴期货,1306,605,中辉期货,799,-3,白银
20260612,ag2610,19,浙商期货,7307,-2635,建信期货,1202,1,银河期货,793,266,白银
20260612,ag2610,20,华安期货,6833,259,东亚期货,1069,-195,浙商期货,676,-398,白银
