period_type,period,flow,import_tonnes,export_tonnes,net_import_tonnes,source,notes,confidence,series
month,2018-06,both,249.014,42.68,206.334,HMRC UK Trade Info bulk data archive (BDS) HS71069100,CN8 71069100 unwrought silver; net mass kg -> tonnes,high,hmrc_bds_hs71069100
month,2018-07,both,206.635,41.442,165.193,HMRC UK Trade Info bulk data archive (BDS) HS71069100,CN8 71069100 unwrought silver; net mass kg -> tonnes,high,hmrc_bds_hs71069100
month,2018-08,both,460.5,42.641,417.859,HMRC UK Trade Info bulk data archive (BDS) HS71069100,CN8 71069100 unwrought silver; net mass kg -> tonnes,high,hmrc_bds_hs71069100
month,2018-09,both,206.352,320.361,-114.009,HMRC UK Trade Info bulk data archive (BDS) HS71069100,CN8 71069100 unwrought silver; net mass kg -> tonnes,high,hmrc_bds_hs71069100
month,2018-10,both,133.922,120.317,13.605,HMRC UK Trade Info bulk data archive (BDS) HS71069100,CN8 71069100 unwrought silver; net mass kg -> tonnes,high,hmrc_bds_hs71069100
month,2018-11,both,428.37,210.126,218.244,HMRC UK Trade Info bulk data archive (BDS) HS71069100,CN8 71069100 unwrought silver; net mass kg -> tonnes,high,hmrc_bds_hs71069100
month,2018-12,both,344.36,326.815,17.545,HMRC UK Trade Info bulk data archive (BDS) HS71069100,CN8 71069100 unwrought silver; net mass kg -> tonnes,high,hmrc_bds_hs71069100
month,2019-01,both,146.704,70.29,76.414,HMRC UK Trade Info bulk data archive (BDS) HS71069100,CN8 71069100 unwrought silver; net mass kg -> tonnes,high,hmrc_bds_hs71069100
month,2019-02,both,194.528,39.609,154.919,HMRC UK Trade Info bulk data archive (BDS) HS71069100,CN8 71069100 unwrought silver; net mass kg -> tonnes,high,hmrc_bds_hs71069100
month,2019-03,both,143.445,55.1,88.345,HMRC UK Trade Info bulk data archive (BDS) HS71069100,CN8 71069100 unwrought silver; net mass kg -> tonnes,high,hmrc_bds_hs71069100
month,2019-04,both,93.576,165.716,-72.14,HMRC UK Trade Info bulk data archive (BDS) HS71069100,CN8 71069100 unwrought silver; net mass kg -> tonnes,high,hmrc_bds_hs71069100
month,2019-05,both,224.942,433.229,-208.287,HMRC UK Trade Info bulk data archive (BDS) HS71069100,CN8 71069100 unwrought silver; net mass kg -> tonnes,high,hmrc_bds_hs71069100
month,2019-06,both,269.563,688.34,-418.777,HMRC UK Trade Info bulk data archive (BDS) HS71069100,CN8 71069100 unwrought silver; net mass kg -> tonnes,high,hmrc_bds_hs71069100
month,2019-07,both,227.164,169.753,57.411,HMRC UK Trade Info bulk data archive (BDS) HS71069100,CN8 71069100 unwrought silver; net mass kg -> tonnes,high,hmrc_bds_hs71069100
