DATE,INSTRUMENTID,RANK,PARTICIPANTABBR1,CJ1,CJ1_CHG,PARTICIPANTABBR2,CJ2,CJ2_CHG,PARTICIPANTABBR3,CJ3,CJ3_CHG,PRODUCTNAME
20260507,agall,-1,期货公司会员/境外特殊经纪参与者,1588625,804750,期货公司会员/境外特殊经纪参与者,460375,13174,期货公司会员/境外特殊经纪参与者,339981,10071,白银
20260507,agall,0,非期货公司会员/境外特殊非经纪参与者,6139,3082,非期货公司会员/境外特殊非经纪参与者,22090,-1688,非期货公司会员/境外特殊非经纪参与者,142484,1415,白银
20260507,ag2605,1,中信期货,302,90,恒力期货,900,0,国投期货,572,0,白银
20260507,ag2605,2,银河期货,274,24,国元期货,864,-2,华泰期货,408,10,白银
20260507,ag2605,3,徽商期货,172,4,国泰君安,554,6,广发期货,402,-2,白银
20260507,ag2605,4,齐盛期货,168,-50,中信建投,302,-12,齐盛期货,244,-168,白银
20260507,ag2605,5,新湖期货,150,150,新湖期货,274,0,方正中期,214,0,白银
20260507,ag2605,6,广发期货,146,-46,国投期货,228,0,光大期货,210,0,白银
20260507,ag2605,7,国贸期货,142,16,广发期货,222,-16,银河期货,178,-214,白银
20260507,ag2605,8,中泰期货,130,-7,银河期货,114,-16,五矿期货,162,0,白银
20260507,ag2605,9,国泰君安,88,40,中信期货,98,-142,永安期货,118,0,白银
20260507,ag2605,10,创元期货,86,64,浙商期货,74,-4,紫金天风,118,0,白银
20260507,ag2605,11,东证期货,86,34,紫金天风,70,-30,瑞达期货,114,0,白银
20260507,ag2605,12,中辉期货,80,32,创元期货,54,-68,金瑞期货,106,-2,白银
20260507,ag2605,13,华闻期货,78,-20,一德期货,44,-2,中信期货,96,-56,白银
20260507,ag2605,14,渤海期货,72,-8,平安期货,40,-12,东证期货,62,0,白银
20260507,ag2605,15,国信期货,48,47,方正中期,34,0,国泰君安,18,-2,白银
20260507,ag2605,16,南华期货,30,20,中泰期货,32,-30,申万期货,18,0,白银
20260507,ag2605,17,紫金天风,30,30,华泰期货,30,-4,中信建投,18,-6,白银
20260507,ag2605,18,广州期货,30,30,首创京都,22,0,恒泰期货,10,0,白银
20260507,ag2605,19,中信建投,22,10,东证期货,16,-10,中泰期货,10,0,白银
20260507,ag2605,20,光大期货,20,-40,五矿期货,14,0,东海期货,4,0,白银
20260507,ag2605,999,,2154,420,,3986,-342,,3082,-440,白银
20260507,ag2606,1,国泰君安,132048,68710,国泰君安,14453,1528,中信期货,19195,-447,白银
20260507,ag2606,2,中信期货,90587,44863,中信期货,13478,-470,国泰君安,11184,400,白银
20260507,ag2606,3,广发期货,38263,19908,银河期货,8903,670,东证期货,10018,575,白银
20260507,ag2606,4,华泰期货,37770,20281,东证期货,7254,-203,金瑞期货,7860,719,白银
20260507,ag2606,5,东证期货,36541,15508,国投期货,6855,-116,中粮期货,6189,152,白银
20260507,ag2606,6,银河期货,28696,15711,永安期货,6257,391,华鑫期货,5206,-1147,白银
20260507,ag2606,7,海通期货,25650,12916,平安期货,5533,24,云晨期货,4790,89,白银
20260507,ag2606,8,国信期货,23030,13916,华泰期货,5165,-47,宏源期货,4625,3,白银
20260507,ag2606,9,中泰期货,21865,5790,方正中期,5009,-430,华泰期货,4405,-817,白银
20260507,ag2606,10,方正中期,20514,10837,中信建投,4828,190,五矿期货,4203,-16,白银
20260507,ag2606,11,中信建投,18384,11709,广发期货,4374,-195,银河期货,4154,754,白银
20260507,ag2606,12,徽商期货,15862,9550,光大期货,4338,-32,齐盛期货,3986,89,白银
20260507,ag2606,13,东方财富,14546,8447,申万期货,4040,-151,广发期货,3461,14,白银
20260507,ag2606,14,华闻期货,14258,6989,浙商期货,3169,-49,平安期货,3350,52,白银
20260507,ag2606,15,国元期货,12754,8541,海通期货,3029,-269,方正中期,3198,158,白银
20260507,ag2606,16,平安期货,11853,5970,招商期货,2799,-5,中信建投,3187,104,白银
20260507,ag2606,17,宝城期货,11310,6849,东吴期货,2737,10,南华期货,2525,-126,白银
20260507,ag2606,18,宏源期货,10213,5214,南华期货,2703,-217,中泰期货,2127,166,白银
20260507,ag2606,19,东吴期货,10062,5731,东方财富,2590,-141,光大期货,2080,7,白银
20260507,ag2606,20,五矿期货,10044,6124,中泰期货,2537,-529,永安期货,2076,-304,白银
20260507,ag2606,999,,584250,303564,,110051,-41,,107819,425,白银
