DATE,INSTRUMENTID,RANK,PARTICIPANTABBR1,CJ1,CJ1_CHG,PARTICIPANTABBR2,CJ2,CJ2_CHG,PARTICIPANTABBR3,CJ3,CJ3_CHG,PRODUCTNAME
20260409,agall,-1,期货公司会员/境外特殊经纪参与者,2030079,-231819,期货公司会员/境外特殊经纪参与者,402127,3368,期货公司会员/境外特殊经纪参与者,318513,3247,白银
20260409,agall,0,非期货公司会员/境外特殊非经纪参与者,5037,1259,非期货公司会员/境外特殊非经纪参与者,47276,934,非期货公司会员/境外特殊非经纪参与者,130890,1055,白银
20260409,ag2604,1,银河期货,576,-32,恒力期货,900,0,银河期货,768,-218,白银
20260409,ag2604,2,金瑞期货,468,160,国投期货,782,-2,齐盛期货,718,0,白银
20260409,ag2604,3,国泰君安,362,-230,新湖期货,610,0,金瑞期货,564,-468,白银
20260409,ag2604,4,宏源期货,236,190,广发期货,596,-16,华鑫期货,268,0,白银
20260409,ag2604,5,国海良时,208,60,中信期货,440,12,宏源期货,236,236,白银
20260409,ag2604,6,一德期货,148,128,东证期货,340,48,五矿期货,234,4,白银
20260409,ag2604,7,光大期货,116,-250,国元期货,328,0,国泰君安,218,218,白银
20260409,ag2604,8,创元期货,90,-66,中财期货,278,0,铜冠金源,160,0,白银
20260409,ag2604,9,方正中期,86,-188,中信建投,276,0,华安期货,130,0,白银
20260409,ag2604,10,申万期货,78,-430,华安期货,234,0,国投期货,104,-2,白银
20260409,ag2604,11,国贸期货,68,-978,一德期货,170,-148,中信期货,102,0,白银
20260409,ag2604,12,东证期货,60,-324,五矿期货,136,0,方正中期,70,-80,白银
20260409,ag2604,13,山金期货,52,6,海证期货,132,0,国贸期货,68,68,白银
20260409,ag2604,14,宝城期货,44,10,建信期货,114,0,华泰期货,66,0,白银
20260409,ag2604,15,国信期货,44,-60,国海良时,114,-208,瑞达期货,64,0,白银
20260409,ag2604,16,中银期货,28,-132,国泰君安,112,-128,光大期货,58,-116,白银
20260409,ag2604,17,广发期货,18,-1150,徽商期货,104,2,中银期货,44,0,白银
20260409,ag2604,18,南华期货,16,-58,银河期货,78,-78,金元期货,26,0,白银
20260409,ag2604,19,中信期货,12,-974,南华期货,70,-2,兴业期货,20,0,白银
20260409,ag2604,20,华联期货,12,2,光大期货,66,0,港信期货,18,0,白银
20260409,ag2604,999,,2722,-4316,,5880,-520,,3936,-358,白银
20260409,ag2605,1,国泰君安,16341,-792,国泰君安,1619,-13,中信期货,2853,-318,白银
20260409,ag2605,2,中信期货,12462,-911,银河期货,1056,-27,金瑞期货,2216,348,白银
20260409,ag2605,3,华泰期货,5650,-963,国元期货,965,-18,国投期货,1302,73,白银
20260409,ag2605,4,中泰期货,5179,-1147,中信期货,941,-23,银河期货,1260,24,白银
20260409,ag2605,5,广发期货,5028,-559,平安期货,842,138,永安期货,686,-13,白银
20260409,ag2605,6,海通期货,4317,-1995,东证期货,771,-56,中泰期货,616,26,白银
20260409,ag2605,7,金瑞期货,3203,1431,中信建投,689,-1,东证期货,613,-24,白银
20260409,ag2605,8,东证期货,2611,-861,东亚期货,540,123,东吴期货,420,385,白银
20260409,ag2605,9,五矿期货,2567,30,国投期货,484,71,国泰君安,402,3,白银
20260409,ag2605,10,国信期货,2349,-110,广发期货,476,10,新湖期货,353,1,白银
20260409,ag2605,11,浙商期货,2127,-126,海证期货,334,-40,平安期货,336,-5,白银
20260409,ag2605,12,南华期货,2097,-45,中泰期货,331,33,齐盛期货,313,-44,白银
20260409,ag2605,13,华闻期货,1707,-342,方正中期,297,10,瑞达期货,303,-5,白银
20260409,ag2605,14,平安期货,1475,126,恒力期货,270,40,国海良时,297,241,白银
20260409,ag2605,15,瑞达期货,1296,-183,南华期货,246,132,港信期货,261,0,白银
20260409,ag2605,16,海证期货,1203,-167,招商期货,243,29,华泰期货,185,-2,白银
20260409,ag2605,17,银河期货,1146,-1193,华泰期货,235,-102,广发期货,150,-10,白银
20260409,ag2605,18,方正中期,980,152,浙商期货,234,36,申万期货,141,-33,白银
20260409,ag2605,19,中信建投,953,-1356,创元期货,199,52,五矿期货,119,0,白银
20260409,ag2605,20,国元期货,773,-287,海通期货,184,-130,徽商期货,116,-1,白银
20260409,ag2605,999,,73464,-9298,,10956,264,,12942,646,白银
20260409,ag2606,1,国泰君安,154259,-15576,东证期货,14206,-523,中信期货,27404,545,白银
20260409,ag2606,2,中信期货,127544,-10608,中信期货,13648,-115,东证期货,16701,32,白银
20260409,ag2606,3,东证期货,56743,-11868,国泰君安,12618,-1607,国泰君安,9388,496,白银
20260409,ag2606,4,华泰期货,54626,-1962,银河期货,11253,-491,云晨期货,9130,29,白银
20260409,ag2606,5,广发期货,52340,-12947,国投期货,11130,462,金瑞期货,8896,448,白银
20260409,ag2606,6,银河期货,50884,-9588,永安期货,8299,476,华鑫期货,7977,1155,白银
20260409,ag2606,7,中信建投,34841,-1480,金瑞期货,7615,-45,中粮期货,7104,-213,白银
20260409,ag2606,8,中泰期货,33773,-5887,华泰期货,7029,-535,银河期货,5980,-505,白银
20260409,ag2606,9,东方财富,33643,-2308,国元期货,6324,-12,五矿期货,5197,13,白银
20260409,ag2606,10,海通期货,32957,-17264,广发期货,5708,-138,浙商期货,4299,-230,白银
20260409,ag2606,11,方正中期,32189,-2138,中信建投,5484,127,中泰期货,4280,-327,白银
20260409,ag2606,12,徽商期货,29989,-1280,方正中期,5449,350,华泰期货,4082,-619,白银
20260409,ag2606,13,国信期货,27891,-2750,平安期货,5070,369,方正中期,3035,169,白银
20260409,ag2606,14,申万期货,23270,7609,招商期货,4988,198,平安期货,2976,-454,白银
20260409,ag2606,15,华闻期货,22853,-3987,光大期货,4424,86,南华期货,2897,-2,白银
20260409,ag2606,16,平安期货,21655,-178,申万期货,3720,211,中信建投,2504,14,白银
20260409,ag2606,17,宝城期货,17183,-2217,浙商期货,3614,252,齐盛期货,2354,-13,白银
20260409,ag2606,18,国元期货,16563,-1744,中泰期货,3133,316,瑞达期货,2332,1155,白银
20260409,ag2606,19,光大期货,16100,-3528,东方财富,2982,338,宏源期货,2288,-381,白银
20260409,ag2606,20,华安期货,15555,27,国信期货,2735,-175,国投期货,2282,318,白银
20260409,ag2606,999,,854858,-99674,,139429,-456,,131106,1630,白银
20260409,ag2608,1,国泰君安,71533,-2972,银河期货,6673,-4,东证期货,8908,-38,白银
