DATE,INSTRUMENTID,RANK,PARTICIPANTABBR1,CJ1,CJ1_CHG,PARTICIPANTABBR2,CJ2,CJ2_CHG,PARTICIPANTABBR3,CJ3,CJ3_CHG,PRODUCTNAME
20260306,agall,-1,期货公司会员/境外特殊经纪参与者,1879457,-491510,期货公司会员/境外特殊经纪参与者,463704,-7802,期货公司会员/境外特殊经纪参与者,387940,-7337,白银
20260306,agall,0,非期货公司会员/境外特殊非经纪参与者,5561,-4844,非期货公司会员/境外特殊非经纪参与者,33815,1137,非期货公司会员/境外特殊非经纪参与者,109579,672,白银
20260306,ag2603,1,中信期货  ,178,-722,华安期货  ,830,0,国投期货  ,396,0,白银
20260306,ag2603,2,建信期货  ,154,-340,中信期货  ,712,0,方正中期  ,334,0,白银
20260306,ag2603,3,东证期货  ,110,-166,国泰君安  ,318,0,银河期货  ,322,-58,白银
20260306,ag2603,4,创元期货  ,106,34,东证期货  ,244,-110,格林大华  ,220,0,白银
20260306,ag2603,5,银河期货  ,94,-526,中信建投  ,154,-6,金瑞期货  ,216,-8,白银
20260306,ag2603,6,光大期货  ,76,-64,广发期货  ,144,-2,东证期货  ,214,0,白银
20260306,ag2603,7,中银期货  ,58,-52,光大期货  ,138,10,华安期货  ,140,0,白银
20260306,ag2603,8,中辉期货  ,46,-28,上海中期  ,136,-10,瑞达期货  ,98,0,白银
20260306,ag2603,9,中泰期货  ,40,-4,国元期货  ,118,-2,中银期货  ,78,22,白银
20260306,ag2603,10,申万期货  ,36,-26,新湖期货  ,102,0,中粮期货  ,72,0,白银
20260306,ag2603,11,华金期货  ,32,32,铜冠金源  ,64,2,五矿期货  ,52,0,白银
20260306,ag2603,12,国富期货  ,32,-60,银河期货  ,60,-12,建信期货  ,46,-154,白银
20260306,ag2603,13,中信建投  ,30,-100,创元期货  ,48,0,华金期货  ,32,32,白银
20260306,ag2603,14,物产中大  ,28,28,方正中期  ,46,8,创元期货  ,18,-26,白银
20260306,ag2603,15,国贸期货  ,26,-50,华鑫期货  ,44,0,国泰君安  ,14,0,白银
20260306,ag2603,16,浙商期货  ,22,-18,南华期货  ,40,0,中财期货  ,12,4,白银
20260306,ag2603,17,华泰期货  ,22,22,五矿期货  ,32,2,物产中大  ,10,-26,白银
20260306,ag2603,18,渤海期货  ,22,-488,紫金天风  ,30,0,光大期货  ,8,-34,白银
20260306,ag2603,19,方正中期  ,20,-4,招商期货  ,28,-2,国信期货  ,8,0,白银
20260306,ag2603,20,金瑞期货  ,18,-82,国海良时  ,26,0,东航期货  ,6,0,白银
20260306,ag2603,999,,1150,-2614,,3314,-122,,2296,-248,白银
20260306,ag2604,1,国泰君安  ,87450,-27164,中信期货  ,12758,510,中信期货  ,17933,195,白银
20260306,ag2604,2,中信期货  ,59123,-25911,国泰君安  ,10331,-1104,国泰君安  ,8891,-2056,白银
20260306,ag2604,3,华泰期货  ,30031,-4611,华泰期货  ,5444,-512,金瑞期货  ,7490,191,白银
20260306,ag2604,4,东证期货  ,26538,-9208,银河期货  ,5030,-168,东证期货  ,6588,-1229,白银
20260306,ag2604,5,银河期货  ,22656,-11725,东证期货  ,4765,-1910,华泰期货  ,6482,-623,白银
20260306,ag2604,6,海通期货  ,22119,-6026,国投期货  ,4757,-196,银河期货  ,5996,166,白银
20260306,ag2604,7,中泰期货  ,18707,-3679,中信建投  ,4562,-242,中粮期货  ,3747,1312,白银
20260306,ag2604,8,广发期货  ,16095,-9082,方正中期  ,3779,125,五矿期货  ,3346,102,白银
20260306,ag2604,9,国信期货  ,15884,-5948,海通期货  ,3738,-206,云晨期货  ,3226,-667,白银
20260306,ag2604,10,东方财富  ,14274,-2193,光大期货  ,3243,-210,光大期货  ,3139,-462,白银
20260306,ag2604,11,方正中期  ,14270,-6231,平安期货  ,3195,-284,齐盛期货  ,3050,-319,白银
20260306,ag2604,12,中信建投  ,14185,-4878,广发期货  ,2716,-1134,平安期货  ,3028,-80,白银
20260306,ag2604,13,平安期货  ,13276,-4698,民生期货  ,2660,-321,海通期货  ,2551,-104,白银
20260306,ag2604,14,光大期货  ,11964,-3105,东方财富  ,2476,-118,中信建投  ,2064,43,白银
20260306,ag2604,15,华闻期货  ,10711,-5763,东吴期货  ,2307,-90,广发期货  ,1929,-789,白银
20260306,ag2604,16,国元期货  ,9199,-3210,中泰期货  ,2305,98,方正中期  ,1860,-261,白银
20260306,ag2604,17,浙商期货  ,9149,-528,申万期货  ,2183,-126,中泰期货  ,1802,-217,白银
20260306,ag2604,18,徽商期货  ,7983,-2951,齐盛期货  ,2102,-54,国信期货  ,1660,-140,白银
20260306,ag2604,19,民生期货  ,7254,-1963,国信期货  ,2062,-136,国投期货  ,1405,-7,白银
20260306,ag2604,20,瑞达期货  ,7220,-2337,国元期货  ,1855,-3,南华期货  ,1249,-261,白银
20260306,ag2604,999,,418088,-141211,,82268,-6081,,87436,-5206,白银
20260306,ag2605,1,国泰君安  ,20895,-3889,中信期货  ,2712,267,中信期货  ,9574,0,白银
20260306,ag2605,2,中信期货  ,10875,-5971,国泰君安  ,1796,-82,东证期货  ,4031,-694,白银
20260306,ag2605,3,广发期货  ,10142,-1602,国元期货  ,1746,22,五矿期货  ,1097,-355,白银
20260306,ag2605,4,国信期货  ,8052,-1965,东证期货  ,1348,151,国泰君安  ,429,-15,白银
20260306,ag2605,5,中泰期货  ,7846,-3092,建信期货  ,1161,-14,永安期货  ,334,-4,白银
20260306,ag2605,6,海通期货  ,7011,197,金瑞期货  ,1160,-59,银河期货  ,324,-54,白银
20260306,ag2605,7,银河期货  ,6490,-3118,银河期货  ,887,-26,瑞达期货  ,306,1,白银
20260306,ag2605,8,浙商期货  ,6098,-1888,华泰期货  ,874,-2,东海期货  ,305,-10,白银
20260306,ag2605,9,华泰期货  ,5757,-3986,国投期货  ,811,12,齐盛期货  ,270,145,白银
20260306,ag2605,10,东证期货  ,3857,-1170,广发期货  ,681,-56,金瑞期货  ,235,221,白银
20260306,ag2605,11,华闻期货  ,3610,-1136,中信建投  ,633,-54,紫金天风  ,227,5,白银
20260306,ag2605,12,南华期货  ,2528,-212,平安期货  ,619,-188,东亚期货  ,224,-6,白银
20260306,ag2605,13,瑞达期货  ,2465,-1522,方正中期  ,570,-53,广发期货  ,222,68,白银
20260306,ag2605,14,中信建投  ,2209,-1082,兴证期货  ,565,-109,华泰期货  ,199,45,白银
20260306,ag2605,15,东方财富  ,2040,-210,中泰期货  ,528,139,海通期货  ,194,-2,白银
20260306,ag2605,16,平安期货  ,1930,-229,申万期货  ,510,-322,招商期货  ,180,53,白银
20260306,ag2605,17,方正中期  ,1923,-164,东吴期货  ,495,-148,东吴期货  ,137,37,白银
20260306,ag2605,18,格林大华  ,1342,-479,海证期货  ,449,23,平安期货  ,129,22,白银
20260306,ag2605,19,海证期货  ,1326,-611,光大期货  ,381,-14,国投期货  ,126,29,白银
20260306,ag2605,20,光大期货  ,1268,-6,福能期货  ,336,-5,光大期货  ,117,80,白银
20260306,ag2605,999,,107664,-32135,,18262,-518,,18660,-434,白银
20260306,ag2606,1,国泰君安  ,105348,-14261,中信期货  ,11845,33,中信期货  ,26989,821,白银
20260306,ag2606,2,中信期货  ,61260,-9226,国投期货  ,10180,469,东证期货  ,15242,664,白银
20260306,ag2606,3,银河期货  ,34354,-9098,国泰君安  ,9646,63,银河期货  ,9242,-493,白银
20260306,ag2606,4,广发期货  ,31181,-5681,东证期货  ,9251,1166,国泰君安  ,7256,-575,白银
20260306,ag2606,5,东证期货  ,31100,-4019,金瑞期货  ,7919,-35,金瑞期货  ,6935,416,白银
20260306,ag2606,6,华泰期货  ,29087,-1713,华泰期货  ,7434,721,浙商期货  ,5052,-128,白银
20260306,ag2606,7,中泰期货  ,22293,-9480,广发期货  ,6388,89,五矿期货  ,4625,-14,白银
20260306,ag2606,8,海通期货  ,21669,-9840,国元期货  ,6006,-91,云晨期货  ,4593,412,白银
20260306,ag2606,9,国信期货  ,20348,-2217,银河期货  ,5592,-85,中粮期货  ,4221,85,白银
20260306,ag2606,10,华闻期货  ,17650,-1592,光大期货  ,4622,396,南华期货  ,3504,-194,白银
20260306,ag2606,11,中信建投  ,13494,-2160,国金期货  ,4617,-14,中银期货  ,3383,193,白银
20260306,ag2606,12,方正中期  ,12855,-757,方正中期  ,4101,-203,光大期货  ,3167,192,白银
20260306,ag2606,13,南华期货  ,10422,-85,中信建投  ,3944,242,方正中期  ,2548,550,白银
20260306,ag2606,14,徽商期货  ,10197,-595,永安期货  ,3284,562,华泰期货  ,2532,174,白银
20260306,ag2606,15,国元期货  ,10041,-368,浙商期货  ,3277,86,新湖期货  ,2332,631,白银
20260306,ag2606,16,天富期货  ,9411,735,东吴期货  ,2723,186,华鑫期货  ,2008,-18,白银
20260306,ag2606,17,浙商期货  ,9346,-1170,招商期货  ,2488,-30,永安期货  ,1342,-161,白银
20260306,ag2606,18,东方财富  ,9325,-351,申万期货  ,2117,141,中信建投  ,1290,38,白银
20260306,ag2606,19,招商期货  ,9281,-5846,中财期货  ,2072,127,中辉期货  ,1287,60,白银
20260306,ag2606,20,申万期货  ,7941,-267,平安期货  ,2050,-16,格林大华  ,1189,11,白银
20260306,ag2606,999,,476603,-77991,,109556,3807,,108737,2664,白银
20260306,ag2608,1,国泰君安  ,48881,-13421,国投期货  ,5176,-7,东证期货  ,8002,-330,白银
20260306,ag2608,2,中信期货  ,33217,-6805,中信期货  ,4783,74,中信期货  ,6479,-127,白银
20260306,ag2608,3,银河期货  ,19593,-7648,银河期货  ,4440,-273,国泰君安  ,5673,-10,白银
20260306,ag2608,4,华泰期货  ,18073,2066,华泰期货  ,3465,-455,金瑞期货  ,5501,243,白银
20260306,ag2608,5,广发期货  ,12565,-2956,国元期货  ,3348,-10,中财期货  ,2824,22,白银
20260306,ag2608,6,国信期货  ,12530,-1560,广发期货  ,2686,-68,中银期货  ,1700,33,白银
20260306,ag2608,7,中泰期货  ,12418,-9425,金瑞期货  ,2086,-5,五矿期货  ,1597,-94,白银
20260306,ag2608,8,海通期货  ,11956,-7065,国泰君安  ,2034,175,银河期货  ,1397,-136,白银
20260306,ag2608,9,东证期货  ,9149,-2345,东证期货  ,2033,-245,乾坤期货  ,858,104,白银
20260306,ag2608,10,华闻期货  ,8026,-1392,光大期货  ,1858,18,方正中期  ,708,-65,白银
20260306,ag2608,11,浙商期货  ,7194,303,方正中期  ,1440,8,中粮期货  ,603,0,白银
20260306,ag2608,12,东方财富  ,5855,786,五矿期货  ,1001,-67,云晨期货  ,601,0,白银
20260306,ag2608,13,中信建投  ,5047,-619,中金财富  ,892,14,南华期货  ,570,-26,白银
20260306,ag2608,14,南华期货  ,4879,-1559,永安期货  ,867,328,申万期货  ,555,-3,白银
20260306,ag2608,15,方正中期  ,4785,-487,中信建投  ,861,-99,铜冠金源  ,540,-50,白银
20260306,ag2608,16,光大期货  ,4568,-632,国信期货  ,852,-11,东亚期货  ,500,-23,白银
20260306,ag2608,17,瑞达期货  ,4564,-2031,国贸期货  ,794,148,西南期货  ,485,5,白银
20260306,ag2608,18,徽商期货  ,4471,-661,平安期货  ,753,-50,宏源期货  ,467,21,白银
20260306,ag2608,19,民生期货  ,3775,380,申万期货  ,727,37,中辉期货  ,458,-5,白银
20260306,ag2608,20,海证期货  ,3724,-1362,东亚期货  ,705,19,华鑫期货  ,446,5,白银
20260306,ag2608,999,,235270,-56433,,40801,-469,,39964,-436,白银
20260306,ag2610,1,国泰君安  ,4586,-1211,广发期货  ,3227,18,东证期货  ,5092,-205,白银
20260306,ag2610,2,浙商期货  ,4116,-1113,中信期货  ,2256,-10,中财期货  ,2514,0,白银
20260306,ag2610,3,国信期货  ,2973,-1649,银河期货  ,1760,-6,中信期货  ,1768,252,白银
20260306,ag2610,4,中泰期货  ,2754,-1139,华泰期货  ,1140,42,申万期货  ,1260,7,白银
20260306,ag2610,5,华泰期货  ,2514,-1379,平安期货  ,1058,-3,国泰君安  ,1043,142,白银
20260306,ag2610,6,中信期货  ,2512,-518,国泰君安  ,946,18,东亚期货  ,805,45,白银
20260306,ag2610,7,银河期货  ,2344,-2229,东亚期货  ,810,-19,物产中大  ,674,663,白银
20260306,ag2610,8,东证期货  ,2090,-551,永安期货  ,692,0,云晨期货  ,447,0,白银
20260306,ag2610,9,华闻期货  ,1676,324,国海良时  ,645,5,瑞达期货  ,426,208,白银
20260306,ag2610,10,广发期货  ,1190,-505,中信建投  ,635,-35,方正中期  ,305,0,白银
20260306,ag2610,11,海通期货  ,1088,-843,方正中期  ,553,1,银河期货  ,294,-146,白银
20260306,ag2610,12,光大期货  ,907,-331,国元期货  ,514,40,金瑞期货  ,259,-14,白银
20260306,ag2610,13,物产中大  ,678,652,宏源期货  ,437,-2,创元期货  ,208,-9,白银
20260306,ag2610,14,东方财富  ,676,-117,东吴期货  ,348,8,东吴期货  ,207,9,白银
20260306,ag2610,15,瑞达期货  ,639,54,申万期货  ,319,-9,国信期货  ,201,-5,白银
20260306,ag2610,16,国贸期货  ,562,-321,五矿期货  ,293,-43,广发期货  ,176,-32,白银
20260306,ag2610,17,海证期货  ,447,-223,南华期货  ,287,-4,西南期货  ,151,-73,白银
20260306,ag2610,18,五矿期货  ,389,-82,东证期货  ,269,41,华鑫期货  ,137,0,白银
20260306,ag2610,19,中信建投  ,358,-182,中原期货  ,264,-4,兴证期货  ,130,-4,白银
20260306,ag2610,20,兴证期货  ,295,-377,国信期货  ,254,2,华闻期货  ,128,-16,白银
20260306,ag2610,999,,32794,-11740,,16707,40,,16225,822,白银
20260306,ag2612,1,国泰君安  ,4367,-611,银河期货  ,3013,-9,东证期货  ,6731,-183,白银
20260306,ag2612,2,浙商期货  ,4284,-1117,平安期货  ,2898,16,铜冠金源  ,3041,-45,白银
20260306,ag2612,3,国信期货  ,2711,-1318,中信期货  ,2864,-7,中财期货  ,2820,-1,白银
20260306,ag2612,4,银河期货  ,2211,-1215,中信建投  ,2075,-158,中信期货  ,1497,-23,白银
20260306,ag2612,5,中泰期货  ,2152,-970,国泰君安  ,2036,-395,永安期货  ,1106,3,白银
20260306,ag2612,6,中信期货  ,1922,-1473,铜冠金源  ,1468,360,国泰君安  ,707,-42,白银
20260306,ag2612,7,广发期货  ,1761,-230,东亚期货  ,1418,-17,申万期货  ,576,-10,白银
20260306,ag2612,8,华泰期货  ,1655,-1486,广发期货  ,1300,-36,云晨期货  ,466,0,白银
20260306,ag2612,9,海通期货  ,1148,-1225,国元期货  ,1194,-3,兴证期货  ,359,-36,白银
20260306,ag2612,10,南华期货  ,1118,-376,东证期货  ,1164,-12,正信期货  ,335,-36,白银
20260306,ag2612,11,华闻期货  ,1101,-722,国信期货  ,612,23,国信期货  ,325,-26,白银
