品种,日期,仓库代码,仓库名称,昨日仓单,今日注册,今日注销,今日仓单,增减
铂,20260520,207,贺利氏,10,0,0,10,0
铂,20260520,208,英特派,1,0,0,1,0
铂,20260520,211,励福江门,2,0,0,2,0
钯,20260520,001,中储吴淞,10,0,0,10,0
钯,20260520,200,中工美上海虹桥,160,0,0,160,0
钯,20260520,201,外运华东上海虹桥,500,0,0,500,0
钯,20260520,202,深圳威豹,2111,91,0,2202,91
钯,20260520,204,贵研易门,50,0,0,50,0
钯,20260520,207,贺利氏,10,0,0,10,0
钯,20260520,211,励福江门,5,0,0,5,0
铂,20260521,200,中工美上海虹桥,432,0,0,432,0
铂,20260521,201,外运华东上海虹桥,119,0,0,119,0
铂,20260521,202,深圳威豹,621,37,0,658,37
铂,20260521,204,贵研易门,50,0,0,50,0
铂,20260521,205,中博世金,1200,0,0,1200,0
铂,20260521,207,贺利氏,10,0,0,10,0
铂,20260521,208,英特派,1,0,0,1,0
铂,20260521,211,励福江门,2,0,0,2,0
钯,20260521,001,中储吴淞,10,0,0,10,0
钯,20260521,200,中工美上海虹桥,160,3,0,163,3
钯,20260521,201,外运华东上海虹桥,500,0,0,500,0
钯,20260521,202,深圳威豹,2202,62,0,2264,62
钯,20260521,204,贵研易门,50,0,0,50,0
钯,20260521,207,贺利氏,10,0,0,10,0
钯,20260521,211,励福江门,5,0,0,5,0
铂,20260522,200,中工美上海虹桥,432,0,0,432,0
铂,20260522,201,外运华东上海虹桥,119,0,0,119,0
铂,20260522,202,深圳威豹,658,84,0,742,84
铂,20260522,204,贵研易门,50,0,0,50,0
铂,20260522,205,中博世金,1200,0,0,1200,0
铂,20260522,207,贺利氏,10,0,0,10,0
铂,20260522,208,英特派,1,0,0,1,0
铂,20260522,211,励福江门,2,0,0,2,0
钯,20260522,001,中储吴淞,10,0,0,10,0
钯,20260522,200,中工美上海虹桥,163,91,0,254,91
钯,20260522,201,外运华东上海虹桥,500,0,0,500,0
钯,20260522,202,深圳威豹,2264,0,0,2264,0
钯,20260522,204,贵研易门,50,0,0,50,0
钯,20260522,207,贺利氏,10,0,0,10,0
钯,20260522,211,励福江门,5,0,0,5,0
铂,20260525,200,中工美上海虹桥,432,0,0,432,0
铂,20260525,201,外运华东上海虹桥,119,0,0,119,0
铂,20260525,202,深圳威豹,742,81,0,823,81
铂,20260525,204,贵研易门,50,20,0,70,20
铂,20260525,205,中博世金,1200,50,0,1250,50
铂,20260525,207,贺利氏,10,0,0,10,0
铂,20260525,208,英特派,1,0,0,1,0
铂,20260525,211,励福江门,2,0,0,2,0
钯,20260525,001,中储吴淞,10,0,0,10,0
钯,20260525,200,中工美上海虹桥,254,97,0,351,97
钯,20260525,201,外运华东上海虹桥,500,0,0,500,0
钯,20260525,202,深圳威豹,2264,580,0,2844,580
钯,20260525,204,贵研易门,50,50,0,100,50
钯,20260525,206,浩通科技,0,35,0,35,35
钯,20260525,207,贺利氏,10,0,0,10,0
钯,20260525,211,励福江门,5,0,0,5,0
铂,20260526,001,中储吴淞,0,7,0,7,7
铂,20260526,200,中工美上海虹桥,432,0,0,432,0
铂,20260526,201,外运华东上海虹桥,119,0,0,119,0
铂,20260526,202,深圳威豹,823,60,0,883,60
铂,20260526,204,贵研易门,70,0,0,70,0
铂,20260526,205,中博世金,1250,770,0,2020,770
铂,20260526,207,贺利氏,10,0,0,10,0
铂,20260526,208,英特派,1,0,0,1,0
铂,20260526,211,励福江门,2,0,0,2,0
钯,20260526,001,中储吴淞,10,0,0,10,0
钯,20260526,200,中工美上海虹桥,351,57,0,408,57
钯,20260526,201,外运华东上海虹桥,500,0,0,500,0
钯,20260526,202,深圳威豹,2844,278,0,3122,278
钯,20260526,204,贵研易门,100,0,0,100,0
钯,20260526,206,浩通科技,35,0,0,35,0
钯,20260526,207,贺利氏,10,0,0,10,0
钯,20260526,211,励福江门,5,0,0,5,0
铂,20260527,001,中储吴淞,7,0,0,7,0
铂,20260527,200,中工美上海虹桥,432,67,0,499,67
铂,20260527,201,外运华东上海虹桥,119,0,0,119,0
铂,20260527,202,深圳威豹,883,265,0,1148,265
铂,20260527,204,贵研易门,70,0,0,70,0
铂,20260527,205,中博世金,2020,0,0,2020,0
铂,20260527,207,贺利氏,10,0,0,10,0
铂,20260527,208,英特派,1,0,0,1,0
铂,20260527,211,励福江门,2,0,0,2,0
钯,20260527,001,中储吴淞,10,0,0,10,0
钯,20260527,200,中工美上海虹桥,408,0,0,408,0
钯,20260527,201,外运华东上海虹桥,500,0,0,500,0
钯,20260527,202,深圳威豹,3122,233,0,3355,233
钯,20260527,204,贵研易门,100,0,0,100,0
钯,20260527,206,浩通科技,35,0,0,35,0
钯,20260527,207,贺利氏,10,0,0,10,0
钯,20260527,211,励福江门,5,0,0,5,0
铂,20260528,001,中储吴淞,7,0,0,7,0
铂,20260528,200,中工美上海虹桥,499,29,16,512,13
铂,20260528,201,外运华东上海虹桥,119,0,0,119,0
铂,20260528,202,深圳威豹,1148,71,0,1219,71
铂,20260528,204,贵研易门,70,0,0,70,0
铂,20260528,205,中博世金,2020,40,0,2060,40
铂,20260528,207,贺利氏,10,0,0,10,0
铂,20260528,208,英特派,1,0,0,1,0
铂,20260528,211,励福江门,2,0,0,2,0
钯,20260528,001,中储吴淞,10,0,0,10,0
钯,20260528,200,中工美上海虹桥,408,0,0,408,0
钯,20260528,201,外运华东上海虹桥,500,0,0,500,0
钯,20260528,202,深圳威豹,3355,319,1,3673,318
钯,20260528,204,贵研易门,100,0,0,100,0
钯,20260528,205,中博世金,0,140,0,140,140
钯,20260528,206,浩通科技,35,0,0,35,0
钯,20260528,207,贺利氏,10,0,0,10,0
钯,20260528,211,励福江门,5,0,0,5,0
铂,20260529,001,中储吴淞,7,0,0,7,0
铂,20260529,200,中工美上海虹桥,512,6,0,518,6
铂,20260529,201,外运华东上海虹桥,119,0,0,119,0
铂,20260529,202,深圳威豹,1219,100,0,1319,100
铂,20260529,204,贵研易门,70,0,0,70,0
铂,20260529,205,中博世金,2060,0,45,2015,-45
铂,20260529,206,浩通科技,0,280,0,280,280
铂,20260529,207,贺利氏,10,0,0,10,0
铂,20260529,208,英特派,1,0,0,1,0
铂,20260529,211,励福江门,2,0,0,2,0
钯,20260529,001,中储吴淞,10,0,0,10,0
钯,20260529,200,中工美上海虹桥,408,0,0,408,0
钯,20260529,201,外运华东上海虹桥,500,0,0,500,0
钯,20260529,202,深圳威豹,3673,1,0,3674,1
钯,20260529,204,贵研易门,100,0,0,100,0
钯,20260529,205,中博世金,140,0,0,140,0
钯,20260529,206,浩通科技,35,0,0,35,0
钯,20260529,207,贺利氏,10,0,0,10,0
钯,20260529,211,励福江门,5,0,0,5,0
铂,20260601,001,中储吴淞,7,0,0,7,0
铂,20260601,200,中工美上海虹桥,518,150,50,618,100
铂,20260601,201,外运华东上海虹桥,119,0,0,119,0
铂,20260601,202,深圳威豹,1319,212,0,1531,212
铂,20260601,204,贵研易门,70,0,0,70,0
铂,20260601,205,中博世金,2015,550,65,2500,485
铂,20260601,206,浩通科技,280,0,0,280,0
铂,20260601,207,贺利氏,10,0,0,10,0
铂,20260601,208,英特派,1,0,0,1,0
铂,20260601,211,励福江门,2,0,0,2,0
钯,20260601,001,中储吴淞,10,0,0,10,0
钯,20260601,200,中工美上海虹桥,408,0,0,408,0
钯,20260601,201,外运华东上海虹桥,500,0,0,500,0
钯,20260601,202,深圳威豹,3674,243,0,3917,243
钯,20260601,204,贵研易门,100,0,0,100,0
钯,20260601,205,中博世金,140,0,0,140,0
钯,20260601,206,浩通科技,35,0,0,35,0
钯,20260601,207,贺利氏,10,0,0,10,0
钯,20260601,211,励福江门,5,0,0,5,0
铂,20260602,001,中储吴淞,7,0,7,0,-7
铂,20260602,200,中工美上海虹桥,618,0,0,618,0
铂,20260602,201,外运华东上海虹桥,119,0,0,119,0
铂,20260602,202,深圳威豹,1531,45,20,1556,25
