日期,品种,仓库类型,昨日仓单,今日注册,今日注销,今日仓单,增减
20260618,铂,厂库,2611,0,41,2570,-41
20260622,钯,仓库,5023,0,16,5007,-16
20260622,钯,厂库,259,0,0,259,0
20260622,铂,仓库,2531,0,1,2530,-1
20260622,铂,厂库,2570,0,0,2570,0
20260623,钯,仓库,5007,0,35,4972,-35
20260623,钯,厂库,259,0,0,259,0
20260623,铂,仓库,2530,0,0,2530,0
20260623,铂,厂库,2570,0,160,2410,-160
20260624,钯,仓库,4972,0,0,4972,0
20260624,钯,厂库,259,0,0,259,0
20260624,铂,仓库,2530,0,15,2515,-15
20260624,铂,厂库,2410,0,110,2300,-110
20260625,钯,仓库,4972,0,7,4965,-7
20260625,钯,厂库,259,0,0,259,0
20260625,铂,仓库,2515,0,0,2515,0
20260625,铂,厂库,2300,0,35,2265,-35
20260626,钯,仓库,4965,0,86,4879,-86
20260626,钯,厂库,259,0,0,259,0
20260626,铂,仓库,2515,0,6,2509,-6
20260626,铂,厂库,2265,0,0,2265,0
20260629,钯,仓库,4879,0,0,4879,0
20260629,钯,厂库,259,0,0,259,0
20260629,铂,仓库,2509,0,0,2509,0
20260629,铂,厂库,2265,850,100,3015,750
20260630,钯,仓库,4879,0,0,4879,0
20260630,钯,厂库,259,0,0,259,0
20260630,铂,仓库,2509,0,14,2495,-14
20260630,铂,厂库,3015,0,20,2995,-20
20260701,钯,仓库,4879,0,4,4875,-4
20260701,钯,厂库,259,0,0,259,0
20260701,铂,仓库,2495,0,11,2484,-11
20260701,铂,厂库,2995,0,58,2937,-58
20260702,钯,仓库,4875,0,44,4831,-44
20260702,钯,厂库,259,0,36,223,-36
20260702,铂,仓库,2484,0,4,2480,-4
20260702,铂,厂库,2937,0,4,2933,-4
20260703,钯,仓库,4831,189,33,4987,156
20260703,钯,厂库,223,0,0,223,0
20260703,铂,仓库,2480,0,0,2480,0
20260703,铂,厂库,2933,0,0,2933,0
20260706,钯,仓库,4987,61,12,5036,49
20260706,钯,厂库,223,0,0,223,0
20260706,铂,仓库,2480,0,0,2480,0
20260706,铂,厂库,2933,0,15,2918,-15
20260707,钯,仓库,5036,173,0,5209,173
20260707,钯,厂库,223,0,0,223,0
20260707,铂,仓库,2480,0,0,2480,0
20260707,铂,厂库,2918,0,30,2888,-30
20260708,钯,仓库,5209,183,1,5391,182
