DATE,INSTRUMENTID,RANK,PARTICIPANTABBR1,CJ1,CJ1_CHG,PARTICIPANTABBR2,CJ2,CJ2_CHG,PARTICIPANTABBR3,CJ3,CJ3_CHG,PRODUCTNAME
20260625,agall,-1,期货公司会员/境外特殊经纪参与者,3307476,954737,期货公司会员/境外特殊经纪参与者,465158,-670,期货公司会员/境外特殊经纪参与者,349153,1748,白银
20260625,agall,0,非期货公司会员/境外特殊非经纪参与者,12606,2421,非期货公司会员/境外特殊非经纪参与者,28143,586,非期货公司会员/境外特殊非经纪参与者,144148,-1832,白银
20260625,ag2608,1,国泰君安,309300,100645,国泰君安,19289,511,中信期货,23184,361,白银
20260625,ag2608,2,中信期货,182253,55982,中信期货,18605,2197,国泰君安,12588,-402,白银
20260625,ag2608,3,广发期货,105388,37029,银河期货,15318,744,永安期货,9825,376,白银
20260625,ag2608,4,东证期货,102268,26616,东证期货,11105,-1032,银河期货,8681,-540,白银
20260625,ag2608,5,银河期货,80217,28144,国投期货,10248,-928,宏源期货,8182,1153,白银
20260625,ag2608,6,华泰期货,72964,20198,平安期货,9047,-392,华泰期货,7706,961,白银
20260625,ag2608,7,中泰期货,68740,19380,方正中期,8655,4,东证期货,7041,-849,白银
20260625,ag2608,8,国信期货,55268,16455,华泰期货,6607,-419,金瑞期货,6983,643,白银
20260625,ag2608,9,海通期货,49491,14984,永安期货,5973,-221,华鑫期货,6249,-92,白银
20260625,ag2608,10,方正中期,45776,15457,广发期货,5901,-65,中银期货,5160,-903,白银
20260625,ag2608,11,中信建投,42745,12035,中信建投,5842,522,广发期货,4621,-56,白银
20260625,ag2608,12,徽商期货,37784,14712,光大期货,4727,-190,云晨期货,4312,-135,白银
20260625,ag2608,13,东方财富,33230,9282,齐盛期货,4091,316,中粮期货,4206,-158,白银
20260625,ag2608,14,华闻期货,27954,12877,中泰期货,4001,175,南华期货,3396,21,白银
20260625,ag2608,15,平安期货,24330,6022,东方财富,3797,68,瑞达期货,3263,160,白银
20260625,ag2608,16,东吴期货,23615,8408,南华期货,3481,-42,东吴期货,3063,357,白银
20260625,ag2608,17,宏源期货,20859,6378,国信期货,3359,-196,中信建投,2954,169,白银
20260625,ag2608,18,创元期货,20798,7953,国贸期货,3315,502,方正中期,2750,-482,白银
20260625,ag2608,19,招商期货,20216,7724,招商期货,2948,400,国投期货,2565,-221,白银
20260625,ag2608,20,瑞达期货,20145,7360,东吴期货,2735,88,中泰期货,2371,376,白银
20260625,ag2608,999,,1343341,427641,,149044,2042,,129100,739,白银
20260625,ag2610,1,国泰君安,172045,54243,国泰君安,8364,716,中信期货,10752,904,白银
20260625,ag2610,2,中信期货,91297,20171,银河期货,7163,-34,中银期货,5288,755,白银
20260625,ag2610,3,广发期货,62126,22056,国投期货,6772,67,金瑞期货,4531,-128,白银
20260625,ag2610,4,东证期货,44017,10961,金瑞期货,6269,-141,东证期货,4321,-1749,白银
20260625,ag2610,5,中泰期货,42349,9820,中信期货,5901,1401,国泰君安,3736,-58,白银
20260625,ag2610,6,银河期货,39434,16146,华泰期货,5750,-21,永安期货,2952,921,白银
20260625,ag2610,7,华泰期货,35981,6707,国元期货,5410,620,浙商期货,2520,511,白银
20260625,ag2610,8,海通期货,34983,9429,广发期货,5280,-10,银河期货,1973,80,白银
20260625,ag2610,9,国信期货,32421,9863,东证期货,4802,312,方正中期,1856,-34,白银
20260625,ag2610,10,中信建投,21440,6171,平安期货,3289,-89,东吴期货,1851,182,白银
20260625,ag2610,11,徽商期货,18761,4585,光大期货,2644,121,高盛期货,1833,-1,白银
20260625,ag2610,12,东方财富,15012,3783,中信建投,2162,36,光大期货,1613,114,白银
20260625,ag2610,13,五矿期货,13311,1838,方正中期,1832,220,南华期货,1310,222,白银
20260625,ag2610,14,方正中期,10858,1521,东亚期货,1789,189,云晨期货,1189,79,白银
20260625,ag2610,15,浙商期货,9965,1316,申万期货,1557,78,中粮期货,1172,-41,白银
20260625,ag2610,16,民生期货,9578,1580,建信期货,1513,-11,申万期货,1087,46,白银
20260625,ag2610,17,东吴期货,9296,2588,永安期货,1331,47,中金财富,1011,-26,白银
20260625,ag2610,18,宏源期货,9210,965,高盛期货,1244,-80,中信建投,907,171,白银
20260625,ag2610,19,山西三立,8542,548,海通期货,1195,-57,格林大华,859,394,白银
