DATE,INSTRUMENTID,RANK,PARTICIPANTABBR1,CJ1,CJ1_CHG,PARTICIPANTABBR2,CJ2,CJ2_CHG,PARTICIPANTABBR3,CJ3,CJ3_CHG,PRODUCTNAME
20260129,agall,-1,期货公司会员/境外特殊经纪参与者,3599447,-1546901,期货公司会员/境外特殊经纪参与者,669791,-14512,期货公司会员/境外特殊经纪参与者,534615,-11435,白银
20260129,agall,0,非期货公司会员/境外特殊非经纪参与者,20443,-997,非期货公司会员/境外特殊非经纪参与者,21522,-279,非期货公司会员/境外特殊非经纪参与者,156698,-3356,白银
20260129,ag2602,1,中信期货  ,7641,-6901,中信期货  ,2310,-699,中信期货  ,1503,-1118,白银
20260129,ag2602,2,国泰君安  ,3800,-2442,国泰君安  ,698,-112,金瑞期货  ,812,-325,白银
20260129,ag2602,3,中泰期货  ,3336,-1703,广发期货  ,624,-225,中粮期货  ,661,-146,白银
20260129,ag2602,4,广发期货  ,3307,-3187,银河期货  ,580,-29,国泰君安  ,576,38,白银
20260129,ag2602,5,华泰期货  ,2977,1217,东证期货  ,540,-458,华泰期货  ,558,379,白银
20260129,ag2602,6,东证期货  ,1887,-525,中信建投  ,510,212,东证期货  ,551,-15,白银
20260129,ag2602,7,渤海期货  ,1852,843,方正中期  ,486,329,光大期货  ,441,187,白银
20260129,ag2602,8,银河期货  ,1751,-951,一德期货  ,352,-44,五矿期货  ,375,1,白银
20260129,ag2602,9,建信期货  ,1537,571,兴业期货  ,338,-9,广发期货  ,339,-244,白银
20260129,ag2602,10,中信建投  ,1329,-946,华安期货  ,261,0,建信期货  ,173,-480,白银
20260129,ag2602,11,方正中期  ,1200,326,中银期货  ,190,-10,云晨期货  ,148,1,白银
20260129,ag2602,12,国投期货  ,1154,410,徽商期货  ,168,-18,中信建投  ,143,-47,白银
20260129,ag2602,13,光大期货  ,865,142,创元期货  ,157,13,平安期货  ,142,-33,白银
20260129,ag2602,14,中财期货  ,837,681,平安期货  ,145,-26,国投期货  ,140,30,白银
20260129,ag2602,15,平安期货  ,835,-2076,国元期货  ,124,40,东吴期货  ,124,-154,白银
20260129,ag2602,16,新湖期货  ,825,-171,建信期货  ,116,-241,永安期货  ,120,-107,白银
20260129,ag2602,17,南华期货  ,744,-1411,东海期货  ,114,-34,华闻期货  ,120,-91,白银
20260129,ag2602,18,申万期货  ,721,-401,招商期货  ,109,-36,东方财富  ,117,-35,白银
20260129,ag2602,19,国信期货  ,702,-854,申万期货  ,99,-246,东海期货  ,106,-35,白银
20260129,ag2602,20,华闻期货  ,677,73,华泰期货  ,96,-84,齐盛期货  ,102,-12,白银
20260129,ag2602,999,,37977,-17305,,8017,-1677,,7251,-2206,白银
20260129,ag2604,1,国泰君安  ,180419,-99356,中信期货  ,28692,-198,中信期货  ,37430,-1778,白银
20260129,ag2604,2,中信期货  ,110146,-47682,国泰君安  ,23521,-514,国泰君安  ,16574,-3585,白银
20260129,ag2604,3,广发期货  ,63532,-26472,华泰期货  ,12283,690,东证期货  ,12088,361,白银
20260129,ag2604,4,东证期货  ,62311,-41457,银河期货  ,11834,-202,银河期货  ,11195,294,白银
20260129,ag2604,5,银河期货  ,49618,-31668,东证期货  ,11447,-154,金瑞期货  ,10935,-179,白银
20260129,ag2604,6,中信建投  ,43975,-15042,中信建投  ,10868,346,五矿期货  ,7631,0,白银
20260129,ag2604,7,海通期货  ,36836,-3749,永安期货  ,8946,-1556,云晨期货  ,5782,86,白银
20260129,ag2604,8,华泰期货  ,35985,-17884,国投期货  ,8520,-934,平安期货  ,5703,892,白银
20260129,ag2604,9,中泰期货  ,33834,-14031,光大期货  ,6653,451,华泰期货  ,5619,-173,白银
