品种代码	品种名称	合约代码	名次	成交量会员简称	成交量	成交量比上交易日增减	持买单量会员简称	持买单量	持买单量比上交易日增减	持卖单量会员简称	持卖单量	持卖单量比上交易日增减	PARTICIPANTID3	PARTICIPANTID2	PARTICIPANTID1
AG	白银	ag2606	1	国泰君安	127959	-96718	中信期货	7775	-1590	中信期货	14013	-921	0148	0148	0004
AG	白银	ag2606	2	中信期货	92777	-35320	银河期货	7692	-382	东证期货	6471	-532	0163	0272	0148
AG	白银	ag2606	3	华泰期货	33512	-9426	国泰君安	7506	-1403	金瑞期货	5387	-840	0049	0004	0253
AG	白银	ag2606	4	东证期货	32867	-14057	平安期货	4624	-547	国泰君安	4792	-468	0004	0288	0163
AG	白银	ag2606	5	银河期货	28776	-13141	国投期货	4328	-517	中粮期货	4088	-489	0139	0082	0272
AG	白银	ag2606	6	广发期货	27826	-13129	永安期货	3936	-1427	云晨期货	3132	-925	0315	0103	0240
AG	白银	ag2606	7	国信期货	26614	-9876	方正中期	3600	-253	银河期货	2960	-278	0272	0034	0308
AG	白银	ag2606	8	中泰期货	25099	-7752	东证期货	3596	-1447	国投期货	2601	-270	0082	0163	0275
AG	白银	ag2606	9	海通期货	21322	-9377	申万期货	3260	-232	五矿期货	2337	-170	0009	0069	0081
AG	白银	ag2606	10	中信建投	18024	-8884	华泰期货	3210	-406	广发期货	2292	-32	0240	0253	0268
AG	白银	ag2606	11	方正中期	16569	-6359	中信建投	3127	-345	齐盛期货	2274	-291	0001	0268	0034
AG	白银	ag2606	12	东方财富	15119	-7893	国金期货	2169	729	永安期货	2185	-426	0103	0095	0298
AG	白银	ag2606	13	徽商期货	12096	-10066	东方财富	2080	-221	华鑫期货	2067	-1249	0006	0298	0186
AG	白银	ag2606	14	五矿期货	10940	-2119	广发期货	2060	-288	乾坤期货	1883	10	0239	0240	0009
AG	白银	ag2606	15	平安期货	10672	-4683	乾坤期货	2027	-4	迈科期货	1857	-386	0047	0239	0288
AG	白银	ag2606	16	宏源期货	9201	-3723	国信期货	2025	-227	方正中期	1650	-302	0034	0308	0137
AG	白银	ag2606	17	华闻期货	8612	-304	光大期货	1981	-162	平安期货	1616	-263	0288	0042	0259
AG	白银	ag2606	18	瑞达期货	8581	-7051	招商期货	1967	-145	南华期货	1600	-76	0096	0161	0059
AG	白银	ag2606	19	浙商期货	7803	-2238	齐盛期货	1796	188	光大期货	1547	-127	0042	0001	0123
AG	白银	ag2606	20	招商期货	7584	-5066	宏源期货	1496	120	中泰期货	1456	51	0275	0137	0161
AG	白银	ag2606	999		541953	-267182		70255	-8559		66208	-7984			
AG	白银	ag2608	1	国泰君安	228887	-14808	国泰君安	15250	606	中信期货	15895	962	0148	0004	0004
AG	白银	ag2608	2	中信期货	150763	26095	中信期货	14504	599	东证期货	14462	412	0163	0148	0148
AG	白银	ag2608	3	东证期货	70928	15204	永安期货	12065	36	国泰君安	9243	1115	0004	0103	0163
AG	白银	ag2608	4	广发期货	56369	9846	东证期货	11352	649	中银期货	6875	-4	0372	0163	0240
AG	白银	ag2608	5	华泰期货	50801	5542	银河期货	10186	411	金瑞期货	6188	-20	0049	0272	0253
AG	白银	ag2608	6	银河期货	50492	3502	国投期货	9301	47	华泰期货	5831	-373	0253	0082	0272
AG	白银	ag2608	7	海通期货	43338	6728	华泰期货	8503	534	银河期货	5338	341	0272	0253	0081
AG	白银	ag2608	8	国信期货	42417	2647	国元期货	7385	183	云晨期货	4229	68	0315	0043	0308
AG	白银	ag2608	9	中泰期货	36963	3829	金瑞期货	6983	232	中粮期货	4010	-42	0139	0049	0275
AG	白银	ag2608	10	徽商期货	34322	11558	浙商期货	5738	272	宏源期货	3471	591	0137	0123	0186
AG	白银	ag2608	11	中信建投	32905	7277	广发期货	5232	485	南华期货	3079	54	0096	0240	0268
AG	白银	ag2608	12	方正中期	25905	7655	方正中期	4482	797	永安期货	3007	250	0103	0034	0034
AG	白银	ag2608	13	东方财富	23037	8845	平安期货	4098	675	方正中期	2416	-128	0034	0288	0298
AG	白银	ag2608	14	东吴期货	19794	8760	光大期货	3793	457	广发期货	2348	436	0240	0042	0323
AG	白银	ag2608	15	宝城期货	17761	4239	中信建投	3464	962	中信建投	2303	535	0268	0268	0019
AG	白银	ag2608	16	华闻期货	17234	-2495	乾坤期货	3059	-319	华鑫期货	2070	108	0006	0239	0259
AG	白银	ag2608	17	创元期货	16969	4366	大越期货	3014	-22	浙商期货	2013	23	0123	0134	0151
AG	白银	ag2608	18	宏源期货	16477	2649	海通期货	2967	159	瑞达期货	1528	722	0059	0081	0137
AG	白银	ag2608	19	民生期货	16225	5369	南华期货	2464	-248	格林大华	1487	436	0121	0096	0244
AG	白银	ag2608	20	华安期货	15300	5048	五矿期货	2344	573	国投期货	1483	92	0082	0009	0299
AG	白银	ag2608	999		966887	121856		136184	7088		97276	5578			
AG	白银	ag2610	1	中信期货	29082	4151	国投期货	5628	45	东证期货	8637	-3	0163	0082	0148
AG	白银	ag2610	2	国泰君安	22360	-8500	中信期货	4593	-648	中信期货	3977	-128	0148	0148	0004
AG	白银	ag2610	3	东证期货	10741	281	广发期货	4581	45	金瑞期货	3395	351	0049	0240	0163
AG	白银	ag2610	4	国信期货	8330	-2544	金瑞期货	4156	-21	国泰君安	2719	28	0004	0049	0308
AG	白银	ag2610	5	中泰期货	7768	-2086	永安期货	3871	452	中银期货	2098	30	0372	0103	0275
AG	白银	ag2610	6	华泰期货	7213	590	浙商期货	3684	6	永安期货	1884	-4	0103	0123	0253
AG	白银	ag2610	7	广发期货	5236	-107	银河期货	3183	-81	光大期货	1523	-1	0042	0272	0240
AG	白银	ag2610	8	海通期货	4457	-501	一德期货	2994	2	乾坤期货	1452	3	0239	0277	0081
AG	白银	ag2610	9	浙商期货	4229	159	华泰期货	2507	-78	方正中期	1237	152	0034	0253	0123
AG	白银	ag2610	10	五矿期货	2962	572	大越期货	1514	1	申万期货	1088	-35	0069	0134	0009
AG	白银	ag2610	11	南华期货	2801	-203	国泰君安	1417	50	中粮期货	944	12	0139	0004	0096
AG	白银	ag2610	12	瑞达期货	2594	-2508	国元期货	1407	14	中财期货	913	4	0067	0043	0059
AG	白银	ag2610	13	银河期货	2488	-2164	平安期货	1241	42	云晨期货	841	0	0315	0288	0272
AG	白银	ag2610	14	民生期货	2485	1448	光大期货	1220	-4	五矿期货	524	-36	0009	0042	0244
AG	白银	ag2610	15	宏源期货	2458	664	建信期货	954	6	瑞达期货	432	-11	0059	0003	0137
AG	白银	ag2610	16	方正中期	1781	-616	东亚期货	856	102	中辉期货	429	5	0274	0088	0034
AG	白银	ag2610	17	华闻期货	1710	-38	东证期货	841	46	南华期货	402	30	0096	0163	0259
AG	白银	ag2610	18	永安期货	1706	968	中信建投	830	-48	银河期货	375	7	0272	0268	0103
AG	白银	ag2610	19	东吴期货	1563	980	宝城期货	782	36	融达期货	269	-1	0332	0019	0323
AG	白银	ag2610	20	金瑞期货	1450	1091	中财期货	650	-19	格林大华	240	1	0121	0067	0049
AG	白银	ag2610	999		123414	-8363		46909	-52		33379	404			
AG	白银	ag2612	1	中信期货	11627	-2184	中信期货	3707	722	东证期货	8533	323	0163	0148	0148
AG	白银	ag2612	2	国泰君安	10702	-5437	铜冠金源	3351	38	中信期货	4812	465	0148	0025	0004
AG	白银	ag2612	3	华泰期货	4270	648	中信建投	2859	60	铜冠金源	4695	68	0025	0268	0253
AG	白银	ag2612	4	中泰期货	4203	-1770	国泰君安	2776	5	金瑞期货	3721	-1	0049	0004	0275
AG	白银	ag2612	5	东证期货	4070	-1713	广发期货	2303	38	中财期货	2012	2	0067	0240	0163
AG	白银	ag2612	6	广发期货	2942	520	银河期货	2241	111	国泰君安	1179	3	0004	0272	0240
AG	白银	ag2612	7	国信期货	2339	-672	国元期货	2146	18	云晨期货	1108	0	0315	0043	0308
AG	白银	ag2612	8	徽商期货	2189	1351	平安期货	1978	10	中国国际	849	7	0157	0288	0186
AG	白银	ag2612	9	浙商期货	2066	-1431	东证期货	1922	-87	招商期货	830	94	0161	0163	0123
AG	白银	ag2612	10	银河期货	1763	-1016	金瑞期货	1761	-37	大有期货	826	53	0320	0049	0272
