品种代码	品种名称	合约代码	名次	成交量会员简称	成交量	成交量比上交易日增减	持买单量会员简称	持买单量	持买单量比上交易日增减	持卖单量会员简称	持卖单量	持卖单量比上交易日增减	PARTICIPANTID3	PARTICIPANTID2	PARTICIPANTID1
AG	白银	ag2512	1	国泰君安	77722	-21228	银河期货	8299.0	456.0	中信期货	4622.0	-2163.0	0148	0272	0004
AG	白银	ag2512	2	中信期货	75106	-29871	中信期货	7840.0	-600.0	国泰君安	4513.0	-35.0	0004	0148	0148
AG	白银	ag2512	3	东证期货	47378	-6022	东证期货	7429.0	1627.0	方正中期	3285.0	-323.0	0034	0163	0163
AG	白银	ag2512	4	中泰期货	26544	-10367	金瑞期货	5837.0	19.0	金瑞期货	3267.0	-746.0	0049	0049	0275
AG	白银	ag2512	5	华泰期货	22691	-10973	国泰君安	5521.0	-2971.0	东证期货	3248.0	68.0	0163	0004	0253
AG	白银	ag2512	6	海通期货	20243	-3830	广发期货	4310.0	392.0	银河期货	2955.0	176.0	0272	0240	0081
AG	白银	ag2512	7	广发期货	16473	-136	平安期货	2811.0	-271.0	五矿期货	2531.0	-171.0	0009	0288	0240
AG	白银	ag2512	8	银河期货	14640	-4439	华泰期货	2464.0	215.0	弘业期货	2146.0	24.0	0178	0253	0272
AG	白银	ag2512	9	国投期货	13453	5277	中信建投	2154.0	-74.0	中泰期货	2122.0	-782.0	0275	0268	0082
AG	白银	ag2512	10	国信期货	11961	-3873	国金期货	1762.0	-49.0	浙商期货	2114.0	-1404.0	0123	0095	0308
AG	白银	ag2512	11	五矿期货	11184	294	东吴期货	1615.0	71.0	中信建投	2102.0	108.0	0268	0323	0009
AG	白银	ag2512	12	中信建投	10487	-1696	海通期货	1564.0	-25.0	申万期货	2028.0	-346.0	0069	0081	0268
AG	白银	ag2512	13	南华期货	8761	-38	方正中期	1504.0	-208.0	广发期货	1758.0	-934.0	0240	0034	0096
AG	白银	ag2512	14	方正中期	8702	-2413	建信期货	1353.0	63.0	中粮期货	1728.0	129.0	0139	0003	0034
AG	白银	ag2512	15	浙商期货	8335	-3032	海证期货	1325.0	82.0	中财期货	1419.0	-21.0	0067	0153	0123
AG	白银	ag2512	16	徽商期货	6542	-1733	齐盛期货	1301.0	-172.0	国投期货	1369.0	-743.0	0082	0001	0186
AG	白银	ag2512	17	瑞达期货	6517	-1049	申万期货	1271.0	68.0	瑞达期货	1170.0	261.0	0059	0069	0059
AG	白银	ag2512	18	民生期货	5764	-544	先锋期货	1253.0	-41.0	国信期货	1169.0	-184.0	0308	0138	0244
AG	白银	ag2512	19	申万期货	5666	-1648	五矿期货	1187.0	-1563.0	华金期货	1141.0	-53.0	0051	0009	0069
AG	白银	ag2512	20	光大期货	5197	-462	中泰期货	1088.0	-21.0	东方财富	1091.0	-62.0	0298	0275	0042
AG	白银	ag2512	999		403366	-97783		61888.0	-3002.0		45778.0	-7201.0			
AG	白银	ag2601	1	中信期货	10410	-7708	中信期货	5338.0	-101.0	齐盛期货	1646.0	-59.0	0001	0148	0148
AG	白银	ag2601	2	国泰君安	9478	-3315	东证期货	1925.0	-51.0	国泰君安	1443.0	270.0	0004	0163	0004
AG	白银	ag2601	3	华泰期货	7818	-3003	国投期货	1473.0	60.0	永安期货	1413.0	1055.0	0103	0082	0253
AG	白银	ag2601	4	东证期货	5233	-2977	广发期货	904.0	-51.0	长江期货	995.0	30.0	0048	0240	0163
AG	白银	ag2601	5	国信期货	4937	-5372	国泰君安	872.0	50.0	中信建投	950.0	59.0	0268	0004	0308
AG	白银	ag2601	6	国贸期货	3822	591	南华期货	771.0	-213.0	海证期货	939.0	-13.0	0153	0096	0058
AG	白银	ag2601	7	银河期货	2687	-1454	申万期货	729.0	35.0	东证期货	900.0	242.0	0163	0069	0272
AG	白银	ag2601	8	广发期货	2574	-827	格林大华	676.0	2.0	平安期货	710.0	75.0	0288	0121	0240
