品种代码	品种名称	合约代码	名次	成交量会员简称	成交量	成交量比上交易日增减	持买单量会员简称	持买单量	持买单量比上交易日增减	持卖单量会员简称	持卖单量	持卖单量比上交易日增减	PARTICIPANTID3	PARTICIPANTID2	PARTICIPANTID1
AG	白银	ag2602	1	东证期货	847.0	-2183.0	中信期货	2266.0	127.0	中信期货	1106.0	-37.0	0148	0148	0163
AG	白银	ag2602	2	银河期货	741.0	-2037.0	东证期货	768.0	25.0	中粮期货	644.0	-10.0	0139	0163	0272
AG	白银	ag2602	3	华泰期货	553.0	-1086.0	国泰君安	576.0	14.0	五矿期货	560.0	0.0	0009	0004	0253
AG	白银	ag2602	4	光大期货	352.0	-1141.0	银河期货	554.0	106.0	金瑞期货	560.0	0.0	0049	0272	0042
AG	白银	ag2602	5	方正中期	344.0	-513.0	一德期货	536.0	0.0	光大期货	336.0	-22.0	0042	0277	0034
AG	白银	ag2602	6	中信期货	322.0	-6111.0	方正中期	454.0	40.0	华泰期货	160.0	-12.0	0253	0034	0148
AG	白银	ag2602	7	中信建投	292.0	-1581.0	中信建投	398.0	-112.0	国泰君安	138.0	-46.0	0004	0268	0268
AG	白银	ag2602	8	中辉期货	268.0	-992.0	广发期货	342.0	-26.0	永安期货	94.0	0.0	0103	0240	0274
AG	白银	ag2602	9	华安期货	262.0	187.0	兴业期货	316.0	-2.0	建信期货	76.0	0.0	0003	0169	0299
AG	白银	ag2602	10	国投期货	256.0	-900.0	华鑫期货	300.0	-4.0	国新国证	56.0	0.0	0269	0006	0082
AG	白银	ag2602	11	渤海期货	230.0	-2617.0	国海良时	208.0	-2.0	广发期货	54.0	-24.0	0240	0029	0271
AG	白银	ag2602	12	中泰期货	214.0	-3333.0	申万期货	192.0	9.0	浙商期货	52.0	-8.0	0123	0069	0275
AG	白银	ag2602	13	国泰君安	208.0	-1134.0	中银期货	188.0	6.0	方正中期	36.0	-20.0	0034	0372	0004
AG	白银	ag2602	14	国信期货	183.0	-359.0	五矿期货	148.0	-12.0	中金岭南	30.0	0.0	0108	0009	0308
AG	白银	ag2602	15	中银期货	158.0	-209.0	创元期货	144.0	14.0	中信建投	26.0	-8.0	0268	0151	0372
AG	白银	ag2602	16	平安期货	148.0	-1237.0	徽商期货	132.0	-8.0	银河期货	26.0	-7.0	0272	0186	0288
AG	白银	ag2602	17	广发期货	134.0	-5807.0	红塔期货	104.0	0.0	兴业期货	24.0	0.0	0169	0306	0240
AG	白银	ag2602	18	招商期货	132.0	-368.0	南华期货	94.0	18.0	山金期货	22.0	0.0	0052	0096	0161
AG	白银	ag2602	19	申万期货	125.0	-1092.0	平安期货	88.0	-39.0	中泰期货	22.0	-8.0	0275	0288	0069
AG	白银	ag2602	20	东亚期货	104.0	-564.0	铜冠金源	84.0	0.0	东方财富	22.0	-14.0	0298	0025	0088
AG	白银	ag2602	999		5873.0	-33077.0		7892.0	154.0		4044.0	-216.0			
AG	白银	ag2604	1	国泰君安	145844.0	-143210.0	中信期货	26142.0	-1248.0	中信期货	34317.0	-2551.0	0148	0148	0004
AG	白银	ag2604	2	中信期货	100867.0	-93704.0	国泰君安	20065.0	-471.0	国泰君安	16988.0	-688.0	0004	0004	0148
AG	白银	ag2604	3	东证期货	66985.0	-53972.0	银河期货	10907.0	329.0	银河期货	9995.0	735.0	0272	0272	0163
AG	白银	ag2604	4	银河期货	53314.0	-46433.0	中信建投	10263.0	370.0	东证期货	9838.0	-479.0	0163	0268	0272
AG	白银	ag2604	5	广发期货	52376.0	-47967.0	东证期货	9844.0	-710.0	金瑞期货	8605.0	-834.0	0049	0163	0240
AG	白银	ag2604	6	华泰期货	37198.0	-28832.0	华泰期货	9172.0	-1317.0	五矿期货	7253.0	149.0	0009	0253	0253
AG	白银	ag2604	7	中信建投	36831.0	-53569.0	国投期货	8532.0	-942.0	中财期货	6662.0	578.0	0067	0082	0268
AG	白银	ag2604	8	国信期货	30886.0	-26348.0	光大期货	7117.0	287.0	华泰期货	6405.0	-37.0	0253	0042	0308
AG	白银	ag2604	9	平安期货	30202.0	-36021.0	平安期货	6444.0	698.0	云晨期货	5950.0	54.0	0315	0288	0288
AG	白银	ag2604	10	海通期货	29213.0	-23947.0	永安期货	6135.0	-2496.0	中银期货	5042.0	480.0	0372	0103	0081
AG	白银	ag2604	11	宝城期货	28529.0	-23357.0	海通期货	5958.0	-167.0	乾坤期货	4667.0	567.0	0239	0081	0019
AG	白银	ag2604	12	中泰期货	27548.0	-26774.0	广发期货	5139.0	162.0	浙商期货	4569.0	-105.0	0123	0240	0275
AG	白银	ag2604	13	东方财富	27290.0	-33691.0	金瑞期货	4877.0	-20.0	平安期货	4423.0	24.0	0288	0049	0298
AG	白银	ag2604	14	东吴期货	25605.0	-33802.0	国元期货	4667.0	196.0	广发期货	4061.0	-180.0	0240	0043	0323
AG	白银	ag2604	15	方正中期	24490.0	-33826.0	民生期货	4624.0	1145.0	光大期货	4039.0	-545.0	0042	0244	0034
AG	白银	ag2604	16	中辉期货	23905.0	-23102.0	方正中期	4541.0	194.0	海通期货	3431.0	-528.0	0081	0034	0274
AG	白银	ag2604	17	申万期货	23474.0	-23789.0	东方财富	3598.0	720.0	齐盛期货	3370.0	-221.0	0001	0298	0069
AG	白银	ag2604	18	徽商期货	23032.0	-25349.0	中泰期货	3452.0	869.0	申万期货	3072.0	1114.0	0069	0275	0186
AG	白银	ag2604	19	渤海期货	20565.0	-32812.0	申万期货	2626.0	82.0	中粮期货	2870.0	569.0	0139	0069	0271
AG	白银	ag2604	20	创元期货	19687.0	-28783.0	招商期货	2439.0	-14.0	大越期货	2658.0	780.0	0134	0161	0151
AG	白银	ag2604	999		827841.0	-839288.0		156542.0	-2333.0		148215.0	-1118.0			
AG	白银	ag2606	1	国泰君安	75498.0	-104659.0	国泰君安	12417.0	-472.0	中信期货	23817.0	-416.0	0148	0004	0004
AG	白银	ag2606	2	中信期货	56145.0	-60451.0	中信期货	12146.0	-61.0	东证期货	7901.0	1202.0	0163	0148	0148
AG	白银	ag2606	3	东证期货	31524.0	-42381.0	国投期货	9609.0	277.0	国泰君安	6946.0	-470.0	0004	0082	0163
AG	白银	ag2606	4	广发期货	30598.0	-38771.0	东证期货	7584.0	-74.0	金瑞期货	6578.0	-358.0	0049	0163	0240
AG	白银	ag2606	5	银河期货	27952.0	-28683.0	国元期货	7552.0	77.0	五矿期货	5572.0	253.0	0009	0043	0272
AG	白银	ag2606	6	华泰期货	19134.0	-17490.0	华泰期货	7527.0	-248.0	银河期货	4876.0	776.0	0272	0253	0253
AG	白银	ag2606	7	国信期货	18264.0	-19955.0	金瑞期货	6339.0	23.0	中财期货	4704.0	717.0	0067	0049	0308
AG	白银	ag2606	8	海通期货	17569.0	-15253.0	广发期货	5974.0	-151.0	中粮期货	3803.0	-331.0	0139	0240	0081
AG	白银	ag2606	9	中泰期货	16602.0	-22070.0	中信建投	5518.0	2.0	大越期货	2988.0	656.0	0134	0268	0275
AG	白银	ag2606	10	渤海期货	15674.0	-11461.0	银河期货	5331.0	-394.0	南华期货	2820.0	-129.0	0096	0272	0271
AG	白银	ag2606	11	中信建投	13758.0	-26312.0	永安期货	3843.0	480.0	方正中期	2511.0	-327.0	0034	0103	0268
AG	白银	ag2606	12	华闻期货	13706.0	-19645.0	信达期货	3389.0	-840.0	光大期货	2001.0	-240.0	0042	0136	0259
AG	白银	ag2606	13	徽商期货	12410.0	-14884.0	方正中期	3293.0	-37.0	云晨期货	1991.0	58.0	0315	0034	0186
AG	白银	ag2606	14	方正中期	12286.0	-22269.0	平安期货	2832.0	104.0	永安期货	1942.0	-135.0	0103	0288	0034
AG	白银	ag2606	15	南华期货	11483.0	-4055.0	申万期货	2797.0	258.0	广发期货	1738.0	15.0	0240	0069	0096
AG	白银	ag2606	16	中辉期货	11158.0	-17455.0	铜冠金源	2639.0	-5.0	中国国际	1492.0	-45.0	0157	0025	0274
