品种代码	品种名称	合约代码	名次	成交量会员简称	成交量	成交量比上交易日增减	持买单量会员简称	持买单量	持买单量比上交易日增减	持卖单量会员简称	持卖单量	持卖单量比上交易日增减	PARTICIPANTID3	PARTICIPANTID2	PARTICIPANTID1
AG	白银	ag2606	1	中信期货	26358.0	-4301.0	申万期货	2396.0	-52.0	中信期货	3396.0	-1202.0	0148	0069	0148
AG	白银	ag2606	2	国泰君安	21355.0	-6054.0	中信期货	2027.0	-1128.0	金瑞期货	1526.0	-613.0	0049	0148	0004
AG	白银	ag2606	3	华泰期货	12449.0	2604.0	银河期货	2016.0	-216.0	中粮期货	1427.0	-811.0	0139	0272	0253
AG	白银	ag2606	4	中泰期货	11035.0	992.0	国泰君安	1690.0	-509.0	五矿期货	1244.0	-195.0	0009	0004	0275
AG	白银	ag2606	5	海通期货	10054.0	3077.0	平安期货	1606.0	-336.0	东证期货	1227.0	-653.0	0163	0288	0081
AG	白银	ag2606	6	东证期货	7729.0	1778.0	方正中期	1347.0	-365.0	方正中期	979.0	-138.0	0034	0034	0163
AG	白银	ag2606	7	广发期货	7020.0	-1981.0	齐盛期货	1217.0	-191.0	国投期货	828.0	-192.0	0082	0001	0240
AG	白银	ag2606	8	银河期货	4074.0	-2201.0	国投期货	1123.0	-43.0	齐盛期货	820.0	-83.0	0001	0082	0272
AG	白银	ag2606	9	五矿期货	3207.0	-299.0	中信建投	906.0	-201.0	银河期货	761.0	100.0	0272	0268	0009
AG	白银	ag2606	10	方正中期	2617.0	-405.0	东证期货	797.0	-580.0	南华期货	677.0	-386.0	0096	0163	0034
AG	白银	ag2606	11	南华期货	2448.0	-164.0	一德期货	790.0	-5.0	瑞达期货	492.0	-4.0	0059	0277	0096
AG	白银	ag2606	12	国信期货	2275.0	271.0	广发期货	787.0	-272.0	海证期货	490.0	-34.0	0153	0240	0308
AG	白银	ag2606	13	中信建投	2120.0	-1000.0	东方财富	727.0	-72.0	长江期货	489.0	-74.0	0048	0298	0268
AG	白银	ag2606	14	平安期货	1852.0	25.0	光大期货	607.0	-315.0	国泰君安	486.0	-884.0	0004	0042	0288
AG	白银	ag2606	15	东方财富	1794.0	-257.0	华泰期货	544.0	-196.0	广发期货	454.0	-178.0	0240	0253	0298
AG	白银	ag2606	16	招商期货	1594.0	-204.0	民生期货	492.0	-116.0	光大期货	452.0	-292.0	0042	0244	0161
AG	白银	ag2606	17	瑞达期货	1475.0	-69.0	永安期货	459.0	-96.0	平安期货	359.0	-62.0	0288	0103	0059
AG	白银	ag2606	18	国金期货	1362.0	-235.0	徽商期货	452.0	-74.0	新湖期货	304.0	-11.0	0077	0186	0095
AG	白银	ag2606	19	兴证期货	1343.0	30.0	东海期货	442.0	-97.0	永安期货	277.0	-205.0	0103	0007	0311
AG	白银	ag2606	20	光大期货	1259.0	570.0	中泰期货	402.0	-89.0	格林大华	246.0	-226.0	0121	0275	0042
AG	白银	ag2606	999		123420.0	-7823.0		20827.0	-4953.0		16934.0	-6143.0			
AG	白银	ag2608	1	国泰君安	272160.0	52367.0	国泰君安	21741.0	-359.0	中信期货	21732.0	965.0	0148	0004	0004
AG	白银	ag2608	2	中信期货	177746.0	20566.0	中信期货	17686.0	1641.0	东证期货	19195.0	-2066.0	0163	0148	0148
AG	白银	ag2608	3	东证期货	91078.0	12495.0	东证期货	14779.0	936.0	国泰君安	11704.0	-357.0	0004	0163	0163
AG	白银	ag2608	4	中泰期货	80621.0	9784.0	银河期货	11900.0	-145.0	金瑞期货	8370.0	433.0	0049	0272	0275
AG	白银	ag2608	5	广发期货	73649.0	2268.0	国投期货	11178.0	555.0	银河期货	8154.0	379.0	0272	0082	0240
AG	白银	ag2608	6	银河期货	64084.0	8955.0	华泰期货	10325.0	1357.0	中银期货	6983.0	47.0	0372	0253	0272
AG	白银	ag2608	7	华泰期货	62029.0	1472.0	永安期货	9913.0	-5487.0	华泰期货	6615.0	-450.0	0253	0103	0253
AG	白银	ag2608	8	海通期货	54528.0	9285.0	国元期货	7876.0	148.0	云晨期货	5819.0	114.0	0315	0043	0081
AG	白银	ag2608	9	国信期货	48125.0	11856.0	方正中期	7871.0	642.0	永安期货	5513.0	289.0	0103	0034	0308
AG	白银	ag2608	10	中信建投	44546.0	5962.0	金瑞期货	7790.0	741.0	广发期货	5414.0	488.0	0240	0049	0268
AG	白银	ag2608	11	徽商期货	42710.0	5800.0	平安期货	7209.0	470.0	中粮期货	4689.0	313.0	0139	0288	0186
AG	白银	ag2608	12	方正中期	35053.0	1726.0	广发期货	6280.0	-359.0	宏源期货	4583.0	-14.0	0137	0240	0034
AG	白银	ag2608	13	东方财富	30394.0	4768.0	浙商期货	6171.0	138.0	南华期货	3374.0	157.0	0096	0123	0298
AG	白银	ag2608	14	华闻期货	26914.0	2573.0	中信建投	5333.0	241.0	中信建投	3051.0	533.0	0268	0268	0259
AG	白银	ag2608	15	宝城期货	20083.0	1675.0	光大期货	5054.0	305.0	瑞达期货	3017.0	89.0	0059	0042	0019
AG	白银	ag2608	16	永安期货	19776.0	6773.0	中泰期货	3882.0	373.0	东吴期货	2798.0	428.0	0323	0275	0103
AG	白银	ag2608	17	创元期货	19638.0	1852.0	南华期货	3759.0	170.0	方正中期	2607.0	83.0	0034	0096	0151
AG	白银	ag2608	18	平安期货	19555.0	2885.0	海通期货	3639.0	41.0	光大期货	2479.0	837.0	0042	0081	0288
AG	白银	ag2608	19	东吴期货	19090.0	1593.0	国信期货	3511.0	70.0	浙商期货	2354.0	-23.0	0123	0308	0323
AG	白银	ag2608	20	民生期货	18555.0	2498.0	齐盛期货	3382.0	578.0	华鑫期货	2066.0	101.0	0006	0001	0244
AG	白银	ag2608	999		1220334.0	167153.0		169279.0	2056.0		130517.0	2346.0			
AG	白银	ag2610	1	中信期货	31196.0	-602.0	国投期货	5980.0	9.0	东证期货	8990.0	137.0	0163	0082	0148
AG	白银	ag2610	2	国泰君安	29254.0	10421.0	中信期货	5863.0	171.0	中信期货	5280.0	803.0	0148	0148	0004
AG	白银	ag2610	3	中泰期货	16011.0	2653.0	广发期货	4815.0	72.0	国泰君安	3849.0	-104.0	0004	0240	0275
AG	白银	ag2610	4	东证期货	12522.0	3712.0	金瑞期货	4524.0	51.0	金瑞期货	3438.0	-98.0	0049	0049	0163
AG	白银	ag2610	5	海通期货	10740.0	3709.0	银河期货	4333.0	85.0	中银期货	2135.0	-7.0	0372	0272	0081
AG	白银	ag2610	6	广发期货	9821.0	-674.0	国泰君安	4235.0	650.0	永安期货	1547.0	28.0	0103	0004	0240
AG	白银	ag2610	7	银河期货	9338.0	5824.0	浙商期货	3691.0	1.0	高盛期货	1479.0	-100.0	0239	0123	0272
AG	白银	ag2610	8	华泰期货	7976.0	477.0	一德期货	3010.0	3.0	光大期货	1435.0	-31.0	0042	0277	0253
