品种代码	品种名称	合约代码	名次	成交量会员简称	成交量	成交量比上交易日增减	持买单量会员简称	持买单量	持买单量比上交易日增减	持卖单量会员简称	持卖单量	持卖单量比上交易日增减	PARTICIPANTID3	PARTICIPANTID2	PARTICIPANTID1
AG	白银	ag2603	1	银河期货	620.0	390.0	国泰君安	878.0	6.0	建信期货	696.0	0.0	0003	0004	0272
AG	白银	ag2603	2	中信期货	386.0	107.0	中信期货	854.0	42.0	中信期货	664.0	-340.0	0148	0148	0148
AG	白银	ag2603	3	广发期货	376.0	316.0	华安期货	776.0	-4.0	国泰君安	622.0	58.0	0004	0299	0240
AG	白银	ag2603	4	新湖期货	298.0	298.0	银河期货	556.0	-412.0	方正中期	430.0	60.0	0034	0272	0077
AG	白银	ag2603	5	方正中期	278.0	-53.0	东证期货	452.0	0.0	国投期货	396.0	-4.0	0082	0163	0034
AG	白银	ag2603	6	光大期货	250.0	-54.0	一德期货	332.0	0.0	金瑞期货	374.0	-144.0	0049	0277	0042
AG	白银	ag2603	7	金瑞期货	236.0	90.0	广发期货	322.0	-64.0	银河期货	342.0	-32.0	0272	0240	0049
AG	白银	ag2603	8	东证期货	180.0	-280.0	新湖期货	302.0	-298.0	瑞达期货	306.0	-12.0	0059	0077	0163
AG	白银	ag2603	9	国元期货	166.0	126.0	华鑫期货	280.0	60.0	格林大华	220.0	0.0	0121	0006	0043
AG	白银	ag2603	10	国贸期货	138.0	66.0	中信建投	162.0	24.0	东证期货	216.0	-32.0	0163	0268	0058
AG	白银	ag2603	11	申万期货	124.0	-8.0	光大期货	148.0	18.0	华安期货	140.0	-2.0	0299	0042	0069
AG	白银	ag2603	12	国泰君安	112.0	-72.0	上海中期	140.0	2.0	物产中大	114.0	-16.0	0125	0008	0004
AG	白银	ag2603	13	华闻期货	104.0	-56.0	国元期货	130.0	-166.0	中银期货	58.0	4.0	0372	0043	0259
AG	白银	ag2603	14	中辉期货	88.0	36.0	金瑞期货	114.0	-92.0	齐盛期货	54.0	-40.0	0001	0049	0274
AG	白银	ag2603	15	创元期货	68.0	10.0	铜冠金源	62.0	0.0	五矿期货	52.0	0.0	0009	0025	0151
AG	白银	ag2603	16	中泰期货	64.0	-12.0	创元期货	48.0	-12.0	国信期货	24.0	-12.0	0308	0151	0275
AG	白银	ag2603	17	华鑫期货	60.0	60.0	国联期货	44.0	-4.0	国联期货	20.0	0.0	0018	0018	0006
AG	白银	ag2603	18	国信期货	56.0	8.0	南华期货	36.0	-14.0	国富期货	14.0	0.0	0385	0096	0308
AG	白银	ag2603	19	民生期货	54.0	54.0	平安期货	30.0	0.0	华泰期货	10.0	0.0	0253	0288	0244
AG	白银	ag2603	20	国富期货	52.0	20.0	方正中期	26.0	-154.0	中财期货	8.0	-6.0	0067	0034	0385
AG	白银	ag2603	999		3710.0	1046.0		5692.0	-1068.0		4760.0	-518.0			
AG	白银	ag2604	1	国泰君安	197049.0	71201.0	中信期货	14272.0	-821.0	中信期货	19970.0	-1323.0	0148	0148	0004
AG	白银	ag2604	2	中信期货	122498.0	28777.0	国泰君安	12104.0	-2041.0	国泰君安	11293.0	254.0	0004	0004	0148
AG	白银	ag2604	3	东证期货	71891.0	25279.0	东证期货	8102.0	23.0	东证期货	10018.0	56.0	0163	0163	0163
AG	白银	ag2604	4	银河期货	68695.0	25690.0	华泰期货	5823.0	-431.0	金瑞期货	8212.0	-531.0	0049	0253	0272
AG	白银	ag2604	5	广发期货	55226.0	20895.0	中信建投	5650.0	133.0	银河期货	7939.0	696.0	0272	0268	0240
AG	白银	ag2604	6	中泰期货	48063.0	15487.0	银河期货	5393.0	-1005.0	华泰期货	6580.0	-339.0	0253	0272	0275
AG	白银	ag2604	7	华泰期货	45160.0	11188.0	国投期货	5197.0	464.0	云晨期货	4197.0	-215.0	0315	0082	0253
