品种代码	品种名称	合约代码	名次	成交量会员简称	成交量	成交量比上交易日增减	持买单量会员简称	持买单量	持买单量比上交易日增减	持卖单量会员简称	持卖单量	持卖单量比上交易日增减	PARTICIPANTID3	PARTICIPANTID2	PARTICIPANTID1
AG	白银	ag2601	1	光大期货	408.0	78.0	中信期货	904.0	-16.0	海证期货	404.0	-36.0	0153	0148	0042
AG	白银	ag2601	2	中泰期货	392.0	110.0	广发期货	158.0	-16.0	国泰君安	310.0	16.0	0004	0240	0275
AG	白银	ag2601	3	东证期货	252.0	188.0	银河期货	152.0	-70.0	山金期货	186.0	18.0	0052	0272	0163
AG	白银	ag2601	4	广发期货	220.0	34.0	国泰君安	102.0	-102.0	金瑞期货	134.0	-196.0	0049	0004	0240
AG	白银	ag2601	5	银河期货	208.0	116.0	国海良时	90.0	0.0	建信期货	110.0	52.0	0003	0029	0272
AG	白银	ag2601	6	金瑞期货	196.0	118.0	华泰期货	80.0	-2.0	国投期货	74.0	0.0	0082	0253	0049
AG	白银	ag2601	7	华闻期货	178.0	-162.0	中财期货	46.0	0.0	南华期货	62.0	0.0	0096	0067	0259
AG	白银	ag2601	8	新湖期货	154.0	124.0	铜冠金源	30.0	0.0	渤海期货	62.0	28.0	0271	0025	0077
AG	白银	ag2601	9	国泰君安	150.0	-102.0	东证期货	30.0	-72.0	中信期货	42.0	-38.0	0148	0163	0004
AG	白银	ag2601	10	国贸期货	128.0	96.0	国联期货	20.0	0.0	中辉期货	40.0	-4.0	0274	0018	0058
AG	白银	ag2601	11	渤海期货	128.0	128.0	紫金天风	20.0	0.0	兴业期货	36.0	0.0	0169	0321	0271
AG	白银	ag2601	12	中信期货	82.0	-58.0	东吴期货	20.0	0.0	中粮期货	30.0	0.0	0139	0323	0148
AG	白银	ag2601	13	中辉期货	80.0	24.0	中泰期货	16.0	-284.0	五矿期货	28.0	-42.0	0009	0275	0274
AG	白银	ag2601	14	建信期货	52.0	34.0	国投期货	14.0	-4.0	国元期货	28.0	0.0	0043	0082	0003
AG	白银	ag2601	15	兴证期货	48.0	-32.0	徽商期货	14.0	-2.0	国联期货	20.0	0.0	0018	0186	0311
AG	白银	ag2601	16	五矿期货	46.0	42.0	五矿期货	10.0	0.0	国新国证	20.0	0.0	0269	0009	0009
AG	白银	ag2601	17	海证期货	46.0	-218.0	国新国证	8.0	0.0	华泰期货	18.0	0.0	0253	0269	0153
AG	白银	ag2601	18	华鑫期货	42.0	-276.0	新湖期货	6.0	-8.0	东证期货	14.0	-16.0	0163	0077	0006
AG	白银	ag2601	19	国元期货	36.0	36.0	平安期货	6.0	-2.0	银河期货	10.0	-82.0	0272	0288	0043
AG	白银	ag2601	20	齐盛期货	32.0	-48.0	海通期货	4.0	4.0	平安期货	10.0	0.0	0288	0081	0001
AG	白银	ag2601	999		2878.0	232.0		1730.0	-574.0		1638.0	-300.0			
AG	白银	ag2602	1	国泰君安	75074.0	40362.0	中信期货	15486.0	448.0	中信期货	15015.0	-1291.0	0148	0148	0004
AG	白银	ag2602	2	中信期货	56633.0	26870.0	国泰君安	8877.0	-452.0	国泰君安	6915.0	-119.0	0004	0004	0148
AG	白银	ag2602	3	东证期货	40068.0	15956.0	东证期货	8258.0	1171.0	金瑞期货	5896.0	-129.0	0049	0163	0163
AG	白银	ag2602	4	华泰期货	30229.0	15191.0	银河期货	4659.0	-426.0	东证期货	5609.0	-125.0	0163	0272	0253
AG	白银	ag2602	5	广发期货	28963.0	15074.0	广发期货	3871.0	-893.0	齐盛期货	5001.0	299.0	0001	0240	0240
AG	白银	ag2602	6	中泰期货	24212.0	11699.0	永安期货	3044.0	136.0	银河期货	4865.0	226.0	0272	0103	0275
AG	白银	ag2602	7	银河期货	20942.0	8330.0	国投期货	2932.0	-59.0	平安期货	3638.0	280.0	0288	0082	0272
AG	白银	ag2602	8	浙商期货	17561.0	8859.0	东吴期货	2899.0	-84.0	五矿期货	3319.0	-42.0	0009	0323	0123
AG	白银	ag2602	9	国信期货	16029.0	9513.0	华泰期货	2535.0	-66.0	浙商期货	3181.0	310.0	0123	0253	0308
AG	白银	ag2602	10	海通期货	15777.0	7888.0	方正中期	2431.0	155.0	华泰期货	2948.0	-1.0	0253	0034	0081
AG	白银	ag2602	11	平安期货	13709.0	6958.0	东亚期货	2044.0	-310.0	方正中期	2813.0	-95.0	0034	0088	0288
AG	白银	ag2602	12	东方财富	13500.0	7877.0	铜冠金源	2028.0	-43.0	海通期货	2570.0	-305.0	0081	0025	0298
AG	白银	ag2602	13	中信建投	12378.0	7255.0	平安期货	2000.0	-1022.0	永安期货	2552.0	-241.0	0103	0288	0268
AG	白银	ag2602	14	津投期货	11038.0	8081.0	海通期货	1986.0	-703.0	光大期货	2490.0	182.0	0042	0081	0342
AG	白银	ag2602	15	方正中期	10291.0	5815.0	中泰期货	1711.0	267.0	中粮期货	2417.0	-135.0	0139	0275	0034
AG	白银	ag2602	16	华闻期货	9817.0	2416.0	中信建投	1666.0	-111.0	东吴期货	1861.0	10.0	0323	0268	0259
AG	白银	ag2602	17	国元期货	8639.0	5182.0	华鑫期货	1658.0	-59.0	大越期货	1759.0	-29.0	0134	0006	0043
AG	白银	ag2602	18	民生期货	7364.0	4782.0	申万期货	1617.0	169.0	中信建投	1736.0	92.0	0268	0069	0244
AG	白银	ag2602	19	创元期货	6272.0	4723.0	南华期货	1615.0	-6.0	广发期货	1700.0	-129.0	0240	0096	0151
AG	白银	ag2602	20	光大期货	5831.0	2576.0	山金期货	1612.0	-18.0	东方财富	1633.0	61.0	0298	0052	0042
AG	白银	ag2602	999		424327.0	215407.0		72929.0	-1906.0		77918.0	-1181.0			
AG	白银	ag2604	1	国泰君安	591075.0	401032.0	中信期货	24690.0	50.0	中信期货	24239.0	5078.0	0148	0148	0004
AG	白银	ag2604	2	中信期货	385829.0	238099.0	国泰君安	22227.0	3553.0	国泰君安	21186.0	1552.0	0004	0004	0148
AG	白银	ag2604	3	东证期货	192449.0	112980.0	东证期货	12581.0	764.0	东证期货	20213.0	2594.0	0163	0163	0163
AG	白银	ag2604	4	华泰期货	148565.0	102790.0	永安期货	12561.0	1742.0	银河期货	8482.0	1242.0	0272	0103	0253
AG	白银	ag2604	5	海通期货	147567.0	93335.0	东吴期货	10500.0	4307.0	金瑞期货	7710.0	673.0	0049	0323	0081
AG	白银	ag2604	6	广发期货	147345.0	95392.0	银河期货	9921.0	1824.0	华泰期货	6855.0	106.0	0253	0272	0240
AG	白银	ag2604	7	银河期货	114498.0	72398.0	国投期货	9881.0	-727.0	平安期货	6225.0	3728.0	0288	0082	0272
AG	白银	ag2604	8	国信期货	110929.0	76205.0	华泰期货	7552.0	-261.0	海通期货	5436.0	456.0	0081	0253	0308
AG	白银	ag2604	9	中泰期货	108574.0	60458.0	海通期货	7401.0	2314.0	五矿期货	5392.0	313.0	0009	0081	0275
AG	白银	ag2604	10	中信建投	85855.0	60281.0	中信建投	6953.0	306.0	东吴期货	5211.0	-399.0	0323	0268	0268
AG	白银	ag2604	11	徽商期货	74786.0	54550.0	金瑞期货	6907.0	420.0	方正中期	5154.0	1243.0	0034	0049	0186
AG	白银	ag2604	12	东吴期货	65860.0	50329.0	南华期货	5537.0	1185.0	广发期货	5042.0	554.0	0240	0096	0323
AG	白银	ag2604	13	申万期货	62382.0	42170.0	平安期货	5449.0	338.0	中信建投	4927.0	872.0	0268	0288	0069
AG	白银	ag2604	14	方正中期	62221.0	43116.0	方正中期	5237.0	774.0	浙商期货	4832.0	2339.0	0123	0034	0034
AG	白银	ag2604	15	东方财富	58191.0	40502.0	申万期货	4832.0	1102.0	乾坤期货	4776.0	-1043.0	0239	0069	0298
AG	白银	ag2604	16	华闻期货	52684.0	40353.0	广发期货	4604.0	-187.0	南华期货	4115.0	226.0	0096	0240	0259
AG	白银	ag2604	17	南华期货	48975.0	31264.0	瑞达期货	4595.0	1144.0	中财期货	4099.0	169.0	0067	0059	0096
AG	白银	ag2604	18	宝城期货	48231.0	35801.0	光大期货	4417.0	655.0	齐盛期货	3793.0	2322.0	0001	0042	0019
AG	白银	ag2604	19	中辉期货	45245.0	32638.0	国元期货	4230.0	-319.0	中泰期货	3658.0	1156.0	0275	0043	0274
AG	白银	ag2604	20	浙商期货	41575.0	18352.0	兴证期货	3346.0	617.0	云晨期货	3468.0	127.0	0315	0311	0123
AG	白银	ag2604	999		2592836.0	1702045.0		173421.0	19601.0		154813.0	23308.0			
AG	白银	ag2606	1	国泰君安	53623.0	34246.0	国泰君安	9783.0	253.0	中信期货	9418.0	1593.0	0148	0004	0004
AG	白银	ag2606	2	中信期货	52344.0	26808.0	国投期货	8643.0	70.0	东证期货	8066.0	-186.0	0163	0082	0148
AG	白银	ag2606	3	广发期货	29802.0	20143.0	国元期货	7428.0	262.0	金瑞期货	7298.0	-185.0	0049	0043	0240
AG	白银	ag2606	4	东证期货	29603.0	17314.0	中信期货	7064.0	461.0	五矿期货	3866.0	337.0	0009	0148	0163
AG	白银	ag2606	5	海通期货	26132.0	18254.0	华泰期货	6691.0	150.0	国泰君安	3805.0	483.0	0004	0253	0081
AG	白银	ag2606	6	华泰期货	23230.0	11617.0	东证期货	5309.0	139.0	东吴期货	2342.0	41.0	0323	0163	0253
AG	白银	ag2606	7	中泰期货	15874.0	7286.0	广发期货	5108.0	-104.0	铜冠金源	2177.0	24.0	0025	0240	0275
AG	白银	ag2606	8	银河期货	14886.0	9302.0	金瑞期货	5032.0	95.0	云晨期货	2061.0	85.0	0315	0049	0272
AG	白银	ag2606	9	国信期货	13305.0	10113.0	永安期货	4142.0	916.0	新湖期货	1946.0	34.0	0077	0103	0308
AG	白银	ag2606	10	浙商期货	8600.0	4198.0	东吴期货	3462.0	966.0	方正中期	1887.0	254.0	0034	0323	0123
AG	白银	ag2606	11	津投期货	7945.0	4968.0	南华期货	3320.0	1188.0	弘业期货	1521.0	96.0	0178	0096	0342
AG	白银	ag2606	12	中信建投	7931.0	5800.0	铜冠金源	2818.0	-21.0	银河期货	1387.0	99.0	0272	0025	0268
AG	白银	ag2606	13	方正中期	6854.0	4423.0	平安期货	2013.0	78.0	中国国际	1362.0	141.0	0157	0288	0034
AG	白银	ag2606	14	华闻期货	6058.0	2965.0	兴证期货	2004.0	61.0	华泰期货	1330.0	426.0	0253	0311	0259
AG	白银	ag2606	15	齐盛期货	5462.0	3411.0	中信建投	1915.0	89.0	中信建投	1257.0	212.0	0268	0268	0001
AG	白银	ag2606	16	民生期货	4887.0	3585.0	申万期货	1893.0	285.0	光大期货	1113.0	125.0	0042	0069	0244
AG	白银	ag2606	17	东吴期货	4671.0	3441.0	银河期货	1821.0	7.0	山金期货	1072.0	16.0	0052	0272	0323
AG	白银	ag2606	18	中辉期货	4410.0	2759.0	方正中期	1621.0	70.0	中泰期货	917.0	277.0	0275	0034	0274
AG	白银	ag2606	19	国联期货	4294.0	3208.0	中泰期货	1443.0	215.0	南华期货	866.0	-7.0	0096	0275	0018
AG	白银	ag2606	20	徽商期货	4252.0	2700.0	物产中大	1388.0	753.0	中财期货	830.0	-96.0	0067	0125	0186
AG	白银	ag2606	999		324163.0	196541.0		82898.0	5933.0		54521.0	3769.0			
AG	白银	ag2608	1	国泰君安	24129.0	17207.0	中信期货	7619.0	78.0	东证期货	8280.0	1382.0	0163	0148	0004
AG	白银	ag2608	2	中信期货	21469.0	13400.0	国泰君安	5103.0	37.0	宝城期货	4542.0	-8.0	0019	0004	0148
AG	白银	ag2608	3	东证期货	16122.0	8824.0	国投期货	3267.0	4.0	安粮期货	2588.0	2.0	0238	0082	0163
AG	白银	ag2608	4	华泰期货	14269.0	9887.0	华泰期货	2857.0	-18.0	五矿期货	2155.0	7.0	0009	0253	0253
AG	白银	ag2608	5	广发期货	13163.0	8859.0	东吴期货	2787.0	125.0	东吴期货	2073.0	5.0	0323	0323	0240
AG	白银	ag2608	6	中泰期货	9750.0	5704.0	广发期货	2747.0	248.0	中信期货	1344.0	353.0	0148	0240	0275
AG	白银	ag2608	7	海通期货	9014.0	6480.0	东证期货	2543.0	218.0	申万期货	1079.0	-8.0	0069	0163	0081
AG	白银	ag2608	8	国信期货	8437.0	7116.0	国元期货	2325.0	91.0	恒力期货	1021.0	12.0	0339	0043	0308
AG	白银	ag2608	9	银河期货	7473.0	5281.0	金瑞期货	1369.0	18.0	金瑞期货	863.0	30.0	0049	0049	0272
AG	白银	ag2608	10	津投期货	5231.0	3753.0	银河期货	1282.0	275.0	国泰君安	576.0	-92.0	0004	0272	0342
AG	白银	ag2608	11	浙商期货	3838.0	2282.0	中信建投	942.0	-31.0	银河期货	452.0	24.0	0272	0268	0123
AG	白银	ag2608	12	红塔期货	2930.0	1345.0	申万期货	809.0	-33.0	山金期货	412.0	-1.0	0052	0069	0306
AG	白银	ag2608	13	中信建投	2336.0	1474.0	兴证期货	786.0	74.0	广发期货	374.0	-267.0	0240	0311	0268
AG	白银	ag2608	14	华闻期货	2250.0	639.0	方正中期	561.0	22.0	冠通期货	321.0	304.0	0254	0034	0259
