品种代码	品种名称	合约代码	名次	成交量会员简称	成交量	成交量比上交易日增减	持买单量会员简称	持买单量	持买单量比上交易日增减	持卖单量会员简称	持卖单量	持卖单量比上交易日增减	PARTICIPANTID3	PARTICIPANTID2	PARTICIPANTID1
AG	白银	ag2602	1	中信期货	13992	-9773	中信期货	4656	-1842	金瑞期货	5959.0	-611.0	0049	0148	0148
AG	白银	ag2602	2	国泰君安	8580	-12709	国泰君安	4117	-819	中信期货	5103.0	-588.0	0148	0004	0004
AG	白银	ag2602	3	东证期货	7960	-6937	银河期货	2808	-196	五矿期货	1694.0	-19.0	0009	0272	0163
AG	白银	ag2602	4	广发期货	5506	-5526	广发期货	2705	99	广发期货	1422.0	308.0	0240	0240	0240
AG	白银	ag2602	5	银河期货	4233	-6456	东证期货	2439	-147	国泰君安	1298.0	58.0	0004	0163	0272
AG	白银	ag2602	6	国投期货	3785	584	南华期货	1309	20	东证期货	1268.0	49.0	0163	0096	0082
AG	白银	ag2602	7	国信期货	3761	-7145	宏源期货	1230	48	齐盛期货	1205.0	-46.0	0001	0137	0308
AG	白银	ag2602	8	浙商期货	3585	-2231	平安期货	1228	30	银河期货	1189.0	-360.0	0272	0288	0123
AG	白银	ag2602	9	中泰期货	3499	-8032	光大期货	1137	-186	云晨期货	1145.0	31.0	0315	0042	0275
AG	白银	ag2602	10	华泰期货	3313	-6350	申万期货	1063	66	光大期货	1106.0	-105.0	0042	0069	0253
AG	白银	ag2602	11	华闻期货	2943	-422	国海良时	949	-20	建信期货	1060.0	-24.0	0003	0029	0259
AG	白银	ag2602	12	津投期货	2794	-727	五矿期货	946	-8	平安期货	1050.0	-557.0	0288	0009	0342
AG	白银	ag2602	13	渤海期货	2363	1816	中信建投	914	-11	浙商期货	1019.0	-279.0	0123	0268	0271
AG	白银	ag2602	14	南华期货	2163	-2605	永安期货	892	-42	中粮期货	1005.0	-53.0	0139	0103	0096
AG	白银	ag2602	15	平安期货	2153	-2368	华泰期货	796	-60	方正中期	887.0	-95.0	0034	0253	0288
