品种代码	品种名称	合约代码	名次	成交量会员简称	成交量	成交量比上交易日增减	持买单量会员简称	持买单量	持买单量比上交易日增减	持卖单量会员简称	持卖单量	持卖单量比上交易日增减	PARTICIPANTID3	PARTICIPANTID2	PARTICIPANTID1
AG	白银	ag2602	1	国元期货	200.0	200.0	中信期货	2272.0	-80.0	中信期货	152.0	0.0	0148	0148	0043
AG	白银	ag2602	2	中信期货	148.0	106.0	华安期货	900.0	0.0	华泰期货	118.0	0.0	0253	0299	0148
AG	白银	ag2602	3	创元期货	100.0	84.0	瑞达期货	560.0	0.0	建信期货	114.0	0.0	0003	0059	0151
AG	白银	ag2602	4	五矿期货	90.0	36.0	东证期货	442.0	20.0	海证期货	2.0	0.0	0153	0163	0009
AG	白银	ag2602	5	申万期货	72.0	64.0	五矿期货	430.0	82.0					0009	0069
AG	白银	ag2602	6	南华期货	52.0	48.0	红塔期货	350.0	0.0					0306	0096
AG	白银	ag2602	7	国泰君安	50.0	38.0	中信建投	284.0	0.0					0268	0004
AG	白银	ag2602	8	国投期货	50.0	46.0	中粮期货	210.0	24.0					0139	0082
AG	白银	ag2602	9	物产中大	50.0	50.0	金瑞期货	188.0	6.0					0049	0125
AG	白银	ag2602	10	宝城期货	48.0	44.0	广发期货	178.0	0.0					0240	0019
AG	白银	ag2602	11	长江期货	48.0	20.0	物产中大	162.0	-50.0					0125	0048
AG	白银	ag2602	12	东证期货	48.0	-32.0	中银期货	162.0	36.0					0372	0163
AG	白银	ag2602	13	兴业期货	42.0	18.0	申万期货	136.0	-68.0					0069	0169
AG	白银	ag2602	14	徽商期货	38.0	18.0	创元期货	126.0	-20.0					0151	0186
AG	白银	ag2602	15	中银期货	36.0	6.0	长江期货	116.0	44.0					0048	0372
AG	白银	ag2602	16	方正中期	32.0	16.0	方正中期	106.0	32.0					0034	0034
AG	白银	ag2602	17	海通期货	32.0	30.0	上海中期	96.0	12.0					0008	0081
AG	白银	ag2602	18	银河期货	30.0	30.0	铜冠金源	84.0	0.0					0025	0272
AG	白银	ag2602	19	中粮期货	24.0	24.0	光大期货	82.0	8.0					0042	0139
AG	白银	ag2602	20	安粮期货	24.0	24.0	紫金天风	72.0	8.0					0321	0238
AG	白银	ag2602	999		1214.0	870.0		6956.0	54.0		386.0	0.0			
AG	白银	ag2604	1	国泰君安	45748.0	-85667.0	中信期货	14391.0	-1557.0	中信期货	22641.0	-2031.0	0148	0148	0004
AG	白银	ag2604	2	中信期货	42257.0	-59983.0	国泰君安	13280.0	-359.0	国泰君安	12737.0	-1677.0	0004	0004	0148
AG	白银	ag2604	3	东证期货	23955.0	-31480.0	东证期货	8636.0	-45.0	东证期货	10458.0	-1350.0	0163	0163	0163
