品种代码	品种名称	合约代码	名次	成交量会员简称	成交量	成交量比上交易日增减	持买单量会员简称	持买单量	持买单量比上交易日增减	持卖单量会员简称	持卖单量	持卖单量比上交易日增减	PARTICIPANTID3	PARTICIPANTID2	PARTICIPANTID1
AG	白银	ag2608	1	国泰君安	116458	-55298	国泰君安	13019	-1134	中信期货	16781	-469	0148	0004	0004
AG	白银	ag2608	2	中信期货	76063	-49448	中信期货	10686	-1581	国泰君安	8942	-3476	0004	0148	0148
AG	白银	ag2608	3	东证期货	39067	-17659	银河期货	7581	-543	金瑞期货	6212	-229	0049	0272	0163
AG	白银	ag2608	4	广发期货	35223	-24269	方正中期	6538	-1138	华泰期货	5205	-1105	0253	0034	0240
AG	白银	ag2608	5	银河期货	32139	-12115	国投期货	6436	-340	华鑫期货	4585	-540	0006	0082	0272
AG	白银	ag2608	6	华泰期货	29658	-23027	平安期货	5655	-1502	广发期货	3798	-422	0240	0288	0253
AG	白银	ag2608	7	国信期货	26256	-10809	东证期货	5384	-2210	宏源期货	3710	-3350	0137	0163	0308
AG	白银	ag2608	8	中泰期货	25008	-8569	华泰期货	4358	-1856	银河期货	3610	-1385	0272	0253	0275
AG	白银	ag2608	9	海通期货	23097	-4321	广发期货	4329	-211	东证期货	3435	-1498	0163	0240	0081
AG	白银	ag2608	10	方正中期	18328	-7895	永安期货	3884	-417	中银期货	2564	-36	0372	0103	0034
AG	白银	ag2608	11	东方财富	16081	-10133	中信建投	3735	-725	国投期货	2558	-377	0082	0268	0298
AG	白银	ag2608	12	中信建投	14926	-13374	光大期货	2766	-615	浙商期货	2498	-852	0123	0042	0268
AG	白银	ag2608	13	浙商期货	11354	-1990	东方财富	2766	-662	南华期货	2280	-410	0096	0298	0123
AG	白银	ag2608	14	平安期货	10577	-5208	招商期货	2704	-224	宝城期货	2046	-181	0019	0161	0288
AG	白银	ag2608	15	五矿期货	10562	-2884	中泰期货	2489	-391	云晨期货	1646	-1050	0315	0275	0009
AG	白银	ag2608	16	徽商期货	10388	-9571	南华期货	2214	14	永安期货	1550	-632	0103	0096	0186
