品种代码	品种名称	合约代码	名次	成交量会员简称	成交量	成交量比上交易日增减	持买单量会员简称	持买单量	持买单量比上交易日增减	持卖单量会员简称	持卖单量	持卖单量比上交易日增减	PARTICIPANTID3	PARTICIPANTID2	PARTICIPANTID1
AG	白银	ag2607	1	国泰君安	558.0	372.0	华安期货	900.0	-4.0	中信期货	900.0	0.0	0148	0299	0004
AG	白银	ag2607	2	国投期货	260.0	228.0	国泰君安	512.0	10.0	格林大华	256.0	0.0	0121	0004	0082
AG	白银	ag2607	3	紫金天风	226.0	226.0	中信期货	304.0	-56.0	广发期货	164.0	0.0	0240	0148	0321
AG	白银	ag2607	4	中泰期货	202.0	110.0	国信期货	222.0	-18.0	方正中期	140.0	0.0	0034	0308	0275
AG	白银	ag2607	5	中原期货	166.0	-6.0	中粮期货	184.0	0.0	国泰君安	60.0	-24.0	0004	0139	0327
AG	白银	ag2607	6	东证期货	162.0	108.0	东海期货	146.0	-2.0	新湖期货	32.0	0.0	0077	0007	0163
AG	白银	ag2607	7	银河期货	138.0	112.0	紫金天风	124.0	-42.0	银河期货	32.0	4.0	0272	0321	0272
AG	白银	ag2607	8	申万期货	126.0	80.0	华泰期货	102.0	-8.0	兴业期货	20.0	0.0	0169	0253	0069
AG	白银	ag2607	9	方正中期	122.0	98.0	中信建投	70.0	0.0	华金期货	16.0	16.0	0051	0268	0034
AG	白银	ag2607	10	国贸期货	104.0	44.0	中财期货	60.0	0.0	东证期货	6.0	0.0	0163	0067	0058
AG	白银	ag2607	11	宁证期货	100.0	100.0	申万期货	54.0	-10.0	上海中期	2.0	0.0	0008	0069	0038
AG	白银	ag2607	12	中辉期货	92.0	20.0	海证期货	54.0	0.0					0153	0274
AG	白银	ag2607	13	中信期货	64.0	26.0	招商期货	44.0	-4.0					0161	0148
AG	白银	ag2607	14	渤海期货	64.0	36.0	中原期货	44.0	0.0					0327	0271
AG	白银	ag2607	15	浙商期货	50.0	50.0	方正中期	24.0	-94.0					0034	0123
AG	白银	ag2607	16	华金期货	40.0	40.0	建信期货	22.0	2.0					0003	0051
AG	白银	ag2607	17	国信期货	38.0	18.0	一德期货	22.0	-2.0					0277	0308
AG	白银	ag2607	18	中信建投	32.0	26.0	浙商期货	20.0	-2.0					0123	0268
AG	白银	ag2607	19	广发期货	26.0	-24.0	上海中期	16.0	-12.0					0008	0240
AG	白银	ag2607	20	招商期货	24.0	24.0	徽商期货	12.0	0.0					0186	0161
AG	白银	ag2607	999		2594.0	1688.0		2936.0	-242.0		1628.0	-4.0			
AG	白银	ag2608	1	国泰君安	163285.0	24925.0	国泰君安	16021.0	-259.0	中信期货	18856.0	-478.0	0148	0004	0004
AG	白银	ag2608	2	中信期货	107675.0	16784.0	中信期货	16011.0	-576.0	国泰君安	11997.0	-92.0	0004	0148	0148
AG	白银	ag2608	3	东证期货	56048.0	4818.0	银河期货	10967.0	301.0	宏源期货	8425.0	174.0	0137	0272	0163
AG	白银	ag2608	4	广发期货	52980.0	-1640.0	东证期货	10158.0	-214.0	东证期货	8069.0	-533.0	0163	0163	0240
AG	白银	ag2608	5	华泰期货	51425.0	4778.0	平安期货	8798.0	67.0	华泰期货	7696.0	559.0	0253	0288	0253
