品种代码	品种名称	合约代码	名次	成交量会员简称	成交量	成交量比上交易日增减	持买单量会员简称	持买单量	持买单量比上交易日增减	持卖单量会员简称	持卖单量	持卖单量比上交易日增减	PARTICIPANTID3	PARTICIPANTID2	PARTICIPANTID1
AG	白银	ag2604	1	国泰君安	92114.0	46366.0	中信期货	15873.0	1482.0	中信期货	26354.0	3713.0	0148	0148	0004
AG	白银	ag2604	2	中信期货	81142.0	38885.0	国泰君安	15792.0	2512.0	国泰君安	13903.0	1166.0	0004	0004	0148
AG	白银	ag2604	3	银河期货	34076.0	17847.0	东证期货	8942.0	306.0	东证期货	10249.0	-209.0	0163	0163	0272
AG	白银	ag2604	4	东证期货	33884.0	9929.0	华泰期货	7795.0	1533.0	金瑞期货	9449.0	352.0	0049	0253	0163
AG	白银	ag2604	5	广发期货	26521.0	10533.0	银河期货	6677.0	-736.0	银河期货	8888.0	-1026.0	0272	0272	0240
AG	白银	ag2604	6	华泰期货	24684.0	10128.0	中信建投	5340.0	278.0	华泰期货	5574.0	43.0	0253	0268	0253
AG	白银	ag2604	7	海通期货	23431.0	6252.0	国投期货	5094.0	-822.0	云晨期货	4323.0	-459.0	0315	0082	0081
AG	白银	ag2604	8	中信建投	21340.0	14477.0	永安期货	4819.0	628.0	光大期货	4179.0	178.0	0042	0103	0268
AG	白银	ag2604	9	东方财富	19161.0	12747.0	广发期货	4644.0	753.0	五矿期货	3717.0	79.0	0009	0240	0298
AG	白银	ag2604	10	中泰期货	18903.0	7086.0	海通期货	4591.0	-402.0	中粮期货	3662.0	636.0	0139	0081	0275
AG	白银	ag2604	11	国信期货	17486.0	9763.0	光大期货	4114.0	131.0	中泰期货	3579.0	470.0	0275	0042	0308
AG	白银	ag2604	12	平安期货	17101.0	8871.0	方正中期	3406.0	314.0	广发期货	3574.0	656.0	0240	0034	0288
AG	白银	ag2604	13	方正中期	16719.0	9870.0	民生期货	3192.0	63.0	平安期货	3293.0	420.0	0288	0244	0034
AG	白银	ag2604	14	华闻期货	13281.0	6044.0	东吴期货	3059.0	-669.0	华鑫期货	3019.0	183.0	0006	0323	0259
AG	白银	ag2604	15	光大期货	13177.0	6076.0	平安期货	3050.0	-1011.0	海通期货	2640.0	245.0	0081	0288	0042
AG	白银	ag2604	16	徽商期货	11376.0	8077.0	中泰期货	2726.0	480.0	齐盛期货	2437.0	-150.0	0001	0275	0186
AG	白银	ag2604	17	瑞达期货	10853.0	6361.0	瑞达期货	2561.0	409.0	方正中期	2373.0	439.0	0034	0059	0059
AG	白银	ag2604	18	宝城期货	10516.0	4859.0	申万期货	2477.0	7.0	中信建投	2338.0	602.0	0268	0069	0019
AG	白银	ag2604	19	南华期货	9824.0	2742.0	华闻期货	2256.0	715.0	南华期货	2194.0	-161.0	0096	0259	0096
AG	白银	ag2604	20	招商期货	9790.0	4666.0	东方财富	2147.0	187.0	中财期货	2104.0	-154.0	0067	0298	0161
AG	白银	ag2604	999		505379.0	241579.0		108555.0	6158.0		117849.0	7023.0			
AG	白银	ag2605	1	国泰君安	43074.0	17824.0	中信期货	3377.0	221.0	中信期货	7394.0	1235.0	0148	0148	0004
AG	白银	ag2605	2	中信期货	32830.0	14092.0	国泰君安	2056.0	70.0	东证期货	4712.0	55.0	0163	0004	0148
AG	白银	ag2605	3	银河期货	18811.0	10155.0	东证期货	1800.0	47.0	中财期货	2933.0	-1200.0	0067	0163	0272
AG	白银	ag2605	4	广发期货	15829.0	9223.0	银河期货	1610.0	558.0	五矿期货	1558.0	-26.0	0009	0272	0240
AG	白银	ag2605	5	国信期货	9595.0	5154.0	华泰期货	1467.0	27.0	西南期货	709.0	73.0	0141	0253	0308
AG	白银	ag2605	6	华泰期货	9473.0	4186.0	申万期货	1445.0	21.0	国泰君安	335.0	44.0	0004	0069	0253
AG	白银	ag2605	7	海通期货	8946.0	2676.0	金瑞期货	1201.0	-34.0	东亚期货	277.0	6.0	0088	0049	0081
AG	白银	ag2605	8	中泰期货	8582.0	3779.0	广发期货	961.0	113.0	广发期货	272.0	38.0	0240	0240	0275
AG	白银	ag2605	9	东证期货	7308.0	2036.0	国投期货	949.0	3.0	平安期货	267.0	203.0	0288	0082	0163
AG	白银	ag2605	10	浙商期货	6926.0	1595.0	国元期货	897.0	-10.0	华泰期货	201.0	50.0	0253	0043	0123
AG	白银	ag2605	11	中信建投	6220.0	4687.0	兴证期货	831.0	-23.0	银河期货	198.0	77.0	0272	0311	0268
AG	白银	ag2605	12	华闻期货	4652.0	2410.0	东吴期货	803.0	159.0	东海期货	177.0	90.0	0007	0323	0259
AG	白银	ag2605	13	南华期货	4549.0	1158.0	东亚期货	788.0	-36.0	齐盛期货	152.0	-5.0	0001	0088	0096
AG	白银	ag2605	14	徽商期货	4483.0	3073.0	中信建投	762.0	33.0	申万期货	129.0	47.0	0069	0268	0186
AG	白银	ag2605	15	方正中期	3784.0	2430.0	海证期货	434.0	25.0	国信期货	116.0	2.0	0308	0153	0034
AG	白银	ag2605	16	光大期货	3342.0	1140.0	光大期货	369.0	-3.0	海通期货	112.0	-11.0	0081	0042	0042
AG	白银	ag2605	17	民生期货	2982.0	1649.0	方正中期	348.0	-57.0	徽商期货	110.0	10.0	0186	0034	0244
AG	白银	ag2605	18	瑞达期货	2761.0	1125.0	海通期货	329.0	-167.0	永安期货	104.0	-233.0	0103	0081	0059
AG	白银	ag2605	19	招商期货	2565.0	1140.0	福能期货	311.0	-5.0	中信建投	102.0	7.0	0268	0022	0161
AG	白银	ag2605	20	国元期货	2492.0	1686.0	创元期货	286.0	111.0	兴证期货	101.0	49.0	0311	0151	0043
AG	白银	ag2605	999		199204.0	91218.0		21024.0	1053.0		19959.0	511.0			
AG	白银	ag2606	1	国泰君安	65189.0	33148.0	华泰期货	9005.0	812.0	中信期货	21640.0	679.0	0148	0253	0004
AG	白银	ag2606	2	中信期货	52047.0	21273.0	国泰君安	8565.0	861.0	东证期货	13862.0	1385.0	0163	0004	0148
AG	白银	ag2606	3	银河期货	31877.0	16344.0	国投期货	8421.0	46.0	国泰君安	10539.0	566.0	0004	0082	0272
AG	白银	ag2606	4	广发期货	23308.0	12586.0	中信期货	8067.0	-42.0	银河期货	9827.0	2163.0	0272	0148	0240
AG	白银	ag2606	5	东证期货	22927.0	9362.0	金瑞期货	7761.0	-16.0	金瑞期货	5625.0	154.0	0049	0049	0163
AG	白银	ag2606	6	中泰期货	18529.0	10442.0	永安期货	6219.0	1527.0	五矿期货	4527.0	-110.0	0009	0103	0275
AG	白银	ag2606	7	华泰期货	16961.0	7911.0	国元期货	5989.0	44.0	云晨期货	3441.0	1068.0	0315	0043	0253
AG	白银	ag2606	8	国信期货	14853.0	8973.0	广发期货	5429.0	202.0	浙商期货	3062.0	732.0	0123	0240	0308
AG	白银	ag2606	9	海通期货	13933.0	3986.0	东证期货	5327.0	240.0	中粮期货	2728.0	107.0	0139	0163	0081
AG	白银	ag2606	10	方正中期	11874.0	6947.0	银河期货	4787.0	-584.0	中财期货	2553.0	-129.0	0067	0272	0034
AG	白银	ag2606	11	华闻期货	11724.0	4671.0	方正中期	3423.0	-347.0	南华期货	2416.0	166.0	0096	0034	0259
AG	白银	ag2606	12	徽商期货	10139.0	7124.0	光大期货	3206.0	189.0	方正中期	2060.0	-179.0	0034	0042	0186
AG	白银	ag2606	13	东方财富	10015.0	6940.0	中信建投	3180.0	297.0	华鑫期货	2039.0	1267.0	0006	0268	0298
