品种代码	品种名称	合约代码	名次	成交量会员简称	成交量	成交量比上交易日增减	持买单量会员简称	持买单量	持买单量比上交易日增减	持卖单量会员简称	持卖单量	持卖单量比上交易日增减	PARTICIPANTID3	PARTICIPANTID2	PARTICIPANTID1
AG	白银	ag2602	1	银河期货	824.0	-378.0	中信期货	2266.0	-236.0	中信期货	786.0	-226.0	0148	0148	0272
AG	白银	ag2602	2	渤海期货	642.0	150.0	东证期货	780.0	-90.0	五矿期货	606.0	-4.0	0009	0163	0271
AG	白银	ag2602	3	广发期货	554.0	50.0	华安期货	696.0	198.0	光大期货	336.0	-8.0	0042	0299	0240
AG	白银	ag2602	4	东证期货	480.0	-42.0	一德期货	500.0	0.0	华泰期货	154.0	0.0	0253	0277	0163
AG	白银	ag2602	5	光大期货	396.0	-338.0	银河期货	448.0	270.0	瑞达期货	108.0	106.0	0059	0272	0042
AG	白银	ag2602	6	金瑞期货	382.0	20.0	国泰君安	394.0	32.0	永安期货	90.0	-4.0	0103	0004	0049
AG	白银	ag2602	7	中信期货	302.0	-656.0	广发期货	338.0	58.0	国新国证	54.0	-2.0	0269	0240	0148
AG	白银	ag2602	8	华安期货	278.0	-234.0	中信建投	322.0	0.0	银河期货	54.0	46.0	0272	0268	0299
AG	白银	ag2602	9	方正中期	260.0	-4.0	华鑫期货	294.0	4.0	东证期货	32.0	26.0	0163	0006	0034
AG	白银	ag2602	10	国泰君安	226.0	-340.0	方正中期	240.0	-206.0	上海大陆	28.0	2.0	0016	0034	0004
AG	白银	ag2602	11	中辉期货	226.0	-78.0	金瑞期货	212.0	166.0	方正中期	26.0	-2.0	0034	0049	0274
AG	白银	ag2602	12	国海良时	206.0	200.0	五矿期货	200.0	52.0	徽商期货	26.0	10.0	0186	0009	0029
AG	白银	ag2602	13	创元期货	184.0	12.0	红塔期货	200.0	0.0	山金期货	22.0	0.0	0052	0306	0151
AG	白银	ag2602	14	国信期货	170.0	72.0	兴业期货	194.0	-106.0	紫金天风	22.0	0.0	0321	0169	0308
AG	白银	ag2602	15	申万期货	140.0	-162.0	创元期货	166.0	-44.0	创元期货	20.0	20.0	0151	0151	0069
AG	白银	ag2602	16	平安期货	136.0	54.0	中银期货	138.0	-4.0	招商期货	20.0	14.0	0161	0372	0288
AG	白银	ag2602	17	瑞达期货	130.0	60.0	申万期货	132.0	-52.0	财信期货	20.0	0.0	0349	0069	0059
AG	白银	ag2602	18	兴业期货	106.0	64.0	国投期货	98.0	86.0	平安期货	18.0	4.0	0288	0082	0169
AG	白银	ag2602	19	建信期货	102.0	14.0	铜冠金源	84.0	0.0	广发期货	16.0	-20.0	0240	0025	0003
AG	白银	ag2602	20	国富期货	96.0	46.0	徽商期货	80.0	2.0	申万期货	14.0	8.0	0069	0186	0385
AG	白银	ag2602	999		5840.0	-1490.0		7782.0	130.0		2452.0	-30.0			
AG	白银	ag2604	1	国泰君安	178156.0	-12826.0	中信期货	20834.0	20.0	中信期货	34908.0	2135.0	0148	0148	0004
AG	白银	ag2604	2	中信期货	126404.0	-9674.0	国泰君安	17273.0	1761.0	国泰君安	17152.0	585.0	0004	0004	0148
AG	白银	ag2604	3	银河期货	85000.0	8651.0	银河期货	10939.0	671.0	东证期货	11306.0	1945.0	0163	0272	0272
AG	白银	ag2604	4	广发期货	79505.0	7408.0	东证期货	9041.0	1153.0	银河期货	10548.0	2205.0	0272	0163	0240
AG	白银	ag2604	5	东证期货	74816.0	-16076.0	中信建投	7154.0	-133.0	金瑞期货	7566.0	156.0	0049	0268	0163
AG	白银	ag2604	6	中信建投	54278.0	4918.0	华泰期货	6643.0	1152.0	中财期货	6544.0	-443.0	0067	0253	0268
AG	白银	ag2604	7	华泰期货	52855.0	-4761.0	海通期货	6373.0	-118.0	五矿期货	6113.0	-434.0	0009	0081	0253
AG	白银	ag2604	8	东方财富	48953.0	15139.0	国投期货	6140.0	476.0	云晨期货	5960.0	-176.0	0315	0082	0298
AG	白银	ag2604	9	海通期货	44135.0	4217.0	永安期货	6138.0	-131.0	广发期货	5290.0	266.0	0240	0103	0081
AG	白银	ag2604	10	方正中期	42552.0	8213.0	光大期货	5936.0	-266.0	华泰期货	5261.0	49.0	0253	0042	0034
AG	白银	ag2604	11	平安期货	41448.0	6853.0	金瑞期货	5658.0	213.0	中银期货	4788.0	4.0	0372	0049	0288
AG	白银	ag2604	12	国信期货	39370.0	1332.0	广发期货	5540.0	143.0	平安期货	4121.0	770.0	0288	0240	0308
AG	白银	ag2604	13	中泰期货	38097.0	1593.0	平安期货	5245.0	54.0	光大期货	4009.0	-23.0	0042	0288	0275
AG	白银	ag2604	14	徽商期货	34755.0	2216.0	方正中期	4748.0	646.0	海通期货	3935.0	265.0	0081	0034	0186
AG	白银	ag2604	15	申万期货	32046.0	-2785.0	民生期货	4135.0	604.0	齐盛期货	3345.0	562.0	0001	0244	0069
AG	白银	ag2604	16	宝城期货	31790.0	-5791.0	东吴期货	3683.0	1046.0	方正中期	2716.0	254.0	0034	0323	0019
AG	白银	ag2604	17	东吴期货	31134.0	-5345.0	国元期货	3627.0	-179.0	中粮期货	2674.0	-400.0	0139	0043	0323
AG	白银	ag2604	18	中辉期货	28454.0	-3286.0	申万期货	3296.0	402.0	浙商期货	2479.0	136.0	0123	0069	0274
AG	白银	ag2604	19	光大期货	25913.0	641.0	东方财富	3096.0	-234.0	中泰期货	2373.0	192.0	0275	0298	0042
AG	白银	ag2604	20	华闻期货	24700.0	4506.0	中泰期货	2996.0	-203.0	乾坤期货	2366.0	-1653.0	0239	0275	0259
AG	白银	ag2604	999		1114361.0	5143.0		138495.0	7077.0		143454.0	6395.0			
AG	白银	ag2606	1	国泰君安	110488.0	35705.0	中信期货	11070.0	2242.0	中信期货	21179.0	1716.0	0148	0148	0004
AG	白银	ag2606	2	中信期货	86644.0	8654.0	国投期货	8697.0	-127.0	东证期货	9496.0	2288.0	0163	0082	0148
AG	白银	ag2606	3	银河期货	48028.0	11544.0	国元期货	7660.0	475.0	国泰君安	7957.0	1805.0	0004	0043	0272
AG	白银	ag2606	4	广发期货	41066.0	10922.0	华泰期货	7415.0	89.0	五矿期货	5879.0	-61.0	0009	0253	0240
AG	白银	ag2606	5	东证期货	40859.0	7656.0	金瑞期货	6597.0	-12.0	金瑞期货	5326.0	696.0	0049	0049	0163
AG	白银	ag2606	6	华泰期货	28381.0	3535.0	银河期货	6417.0	871.0	中财期货	5310.0	105.0	0067	0272	0253
AG	白银	ag2606	7	国信期货	24536.0	7601.0	国泰君安	6377.0	1.0	银河期货	4318.0	1213.0	0272	0004	0308
