品种代码	品种名称	合约代码	名次	成交量会员简称	成交量	成交量比上交易日增减	持买单量会员简称	持买单量	持买单量比上交易日增减	持卖单量会员简称	持卖单量	持卖单量比上交易日增减	PARTICIPANTID3	PARTICIPANTID2	PARTICIPANTID1
AG	白银	ag2512	1	华闻期货	6832.0	2068.0	中信期货	3778.0	-342.0	金瑞期货	1490.0	-56.0	0049	0148	0259
AG	白银	ag2512	2	银河期货	3270.0	-2759.0	金瑞期货	2762.0	-394.0	中财期货	1152.0	-30.0	0067	0049	0272
AG	白银	ag2512	3	国泰君安	3172.0	-979.0	华金期货	2014.0	-16.0	弘业期货	984.0	-54.0	0178	0051	0004
AG	白银	ag2512	4	广发期货	2990.0	-2768.0	华泰期货	1636.0	-26.0	方正中期	972.0	-136.0	0034	0253	0240
AG	白银	ag2512	5	中泰期货	2688.0	-3564.0	银河期货	1508.0	-302.0	华金期货	960.0	-4.0	0051	0272	0275
AG	白银	ag2512	6	中信期货	2154.0	-1971.0	国泰君安	1490.0	-704.0	海证期货	842.0	-8.0	0153	0004	0148
AG	白银	ag2512	7	国贸期货	2114.0	-1778.0	广发期货	1170.0	-216.0	齐盛期货	824.0	0.0	0001	0240	0058
AG	白银	ag2512	8	东证期货	1872.0	-1541.0	东证期货	944.0	-324.0	中信期货	820.0	-252.0	0148	0163	0163
AG	白银	ag2512	9	光大期货	1782.0	-1384.0	宝城期货	906.0	-10.0	银河期货	786.0	36.0	0272	0019	0042
AG	白银	ag2512	10	平安期货	1592.0	-657.0	海证期货	710.0	76.0	国投期货	730.0	304.0	0082	0153	0288
AG	白银	ag2512	11	浙商期货	1422.0	-1519.0	先锋期货	552.0	-24.0	山金期货	678.0	-18.0	0052	0138	0123
AG	白银	ag2512	12	申万期货	1338.0	-452.0	齐盛期货	506.0	0.0	东证期货	668.0	72.0	0163	0001	0069
AG	白银	ag2512	13	中信建投	1226.0	-415.0	一德期货	506.0	0.0	新湖期货	654.0	20.0	0077	0277	0268
AG	白银	ag2512	14	中辉期货	1154.0	-912.0	中泰期货	350.0	-16.0	国泰君安	592.0	-380.0	0004	0275	0274
AG	白银	ag2512	15	金瑞期货	906.0	-826.0	永安期货	338.0	-16.0	中信建投	550.0	-68.0	0268	0103	0049
AG	白银	ag2512	16	长江期货	834.0	2.0	中银期货	326.0	-2.0	中粮期货	416.0	-58.0	0139	0372	0048
AG	白银	ag2512	17	方正中期	812.0	-1153.0	光大期货	322.0	-20.0	中金岭南	406.0	0.0	0108	0042	0034
AG	白银	ag2512	18	国投期货	678.0	536.0	五矿期货	276.0	-14.0	西南期货	388.0	0.0	0141	0009	0082
AG	白银	ag2512	19	招商期货	634.0	-595.0	铜冠金源	262.0	0.0	物产中大	374.0	-20.0	0125	0025	0161
AG	白银	ag2512	20	国信期货	620.0	-563.0	兴证期货	260.0	-18.0	紫金天风	368.0	24.0	0321	0311	0308
AG	白银	ag2512	999		38090.0	-21230.0		20616.0	-2368.0		14654.0	-628.0			
AG	白银	ag2601	1	中信期货	23779.0	3281.0	国泰君安	3891.0	2955.0	齐盛期货	1527.0	0.0	0001	0004	0148
AG	白银	ag2601	2	国泰君安	21716.0	4051.0	东证期货	1991.0	-511.0	永安期货	1501.0	-4.0	0103	0163	0004
AG	白银	ag2601	3	华泰期货	12478.0	891.0	东亚期货	1300.0	-686.0	中信期货	1485.0	301.0	0148	0088	0253
AG	白银	ag2601	4	国信期货	12309.0	1723.0	中信期货	1076.0	-689.0	国泰君安	1261.0	178.0	0004	0148	0308
AG	白银	ag2601	5	东证期货	9023.0	-2631.0	申万期货	899.0	-51.0	中信建投	876.0	-150.0	0268	0069	0163
AG	白银	ag2601	6	广发期货	7858.0	-517.0	广发期货	849.0	-44.0	方正中期	736.0	-21.0	0034	0240	0240
AG	白银	ag2601	7	海通期货	6409.0	1524.0	银河期货	847.0	-214.0	光大期货	678.0	-7.0	0042	0272	0081
AG	白银	ag2601	8	中泰期货	4222.0	-1188.0	南华期货	770.0	-174.0	海证期货	658.0	-12.0	0153	0096	0275
AG	白银	ag2601	9	银河期货	3802.0	-802.0	长江期货	753.0	4.0	融达期货	642.0	-13.0	0332	0048	0272
AG	白银	ag2601	10	中信建投	3322.0	-1413.0	中信建投	685.0	-84.0	广发期货	555.0	34.0	0240	0268	0268
AG	白银	ag2601	11	瑞达期货	3022.0	-1014.0	金瑞期货	657.0	7.0	华泰期货	549.0	-61.0	0253	0049	0059
AG	白银	ag2601	12	浙商期货	2899.0	65.0	摩根大通	600.0	0.0	海通期货	529.0	234.0	0081	0184	0123
AG	白银	ag2601	13	津投期货	2866.0	-434.0	国投期货	595.0	-251.0	东证期货	511.0	-161.0	0163	0082	0342
AG	白银	ag2601	14	国贸期货	2575.0	-121.0	国联期货	395.0	-1.0	华鑫期货	510.0	2.0	0006	0018	0058
AG	白银	ag2601	15	申万期货	2568.0	-3606.0	海证期货	390.0	205.0	中泰期货	453.0	106.0	0275	0153	0069
AG	白银	ag2601	16	华闻期货	2549.0	-152.0	国海良时	353.0	321.0	平安期货	440.0	-43.0	0288	0029	0259
AG	白银	ag2601	17	东亚期货	2451.0	-333.0	东海期货	341.0	7.0	国信期货	397.0	-119.0	0308	0007	0088
AG	白银	ag2601	18	国投期货	2285.0	-793.0	五矿期货	303.0	-281.0	浙商期货	386.0	181.0	0123	0009	0082
AG	白银	ag2601	19	宝城期货	2263.0	893.0	创元期货	270.0	-3.0	建信期货	378.0	-5.0	0003	0151	0019
AG	白银	ag2601	20	华西期货	1999.0	-700.0	先锋期货	246.0	5.0	南华期货	378.0	-39.0	0096	0138	0257
AG	白银	ag2601	999		130395.0	-1276.0		17211.0	515.0		14450.0	401.0			
AG	白银	ag2602	1	国泰君安	665081.0	-103120.0	中信期货	50178.0	-1669.0	中信期货	28225.0	-2313.0	0148	0148	0004
AG	白银	ag2602	2	中信期货	510028.0	-27367.0	国泰君安	38363.0	-3129.0	国泰君安	22019.0	-3441.0	0004	0004	0148
AG	白银	ag2602	3	东证期货	248942.0	8904.0	永安期货	25933.0	-425.0	金瑞期货	21973.0	-254.0	0049	0103	0163
AG	白银	ag2602	4	海通期货	227263.0	43569.0	东证期货	22348.0	-5264.0	东证期货	18282.0	-844.0	0163	0163	0081
AG	白银	ag2602	5	华泰期货	202112.0	-66288.0	国投期货	10240.0	-1810.0	银河期货	16110.0	-30.0	0272	0082	0253
AG	白银	ag2602	6	国信期货	156483.0	30392.0	华泰期货	10030.0	-383.0	方正中期	10863.0	-230.0	0034	0253	0308
AG	白银	ag2602	7	广发期货	156009.0	-47503.0	银河期货	9838.0	-22.0	华泰期货	10712.0	-1860.0	0253	0272	0240
AG	白银	ag2602	8	银河期货	131034.0	-24559.0	广发期货	9296.0	-1022.0	广发期货	9131.0	-1219.0	0240	0240	0272
AG	白银	ag2602	9	中信建投	113857.0	-1542.0	光大期货	8711.0	385.0	五矿期货	8788.0	-302.0	0009	0042	0268
AG	白银	ag2602	10	华闻期货	111509.0	-87472.0	乾坤期货	7919.0	-156.0	中粮期货	8435.0	366.0	0139	0239	0259
AG	白银	ag2602	11	徽商期货	99602.0	-1516.0	东吴期货	7759.0	-338.0	中信建投	8027.0	-459.0	0268	0323	0186
AG	白银	ag2602	12	中泰期货	90388.0	-11184.0	五矿期货	7665.0	2058.0	中泰期货	7286.0	147.0	0275	0009	0275
AG	白银	ag2602	13	南华期货	84544.0	-11976.0	平安期货	7065.0	-989.0	平安期货	6858.0	495.0	0288	0288	0096
AG	白银	ag2602	14	方正中期	83136.0	-16026.0	方正中期	7018.0	368.0	东方财富	6473.0	124.0	0298	0034	0034
AG	白银	ag2602	15	申万期货	73686.0	-5980.0	中信建投	6074.0	-600.0	国信期货	6429.0	-913.0	0308	0268	0069
AG	白银	ag2602	16	东方财富	67934.0	-14077.0	浙商期货	6021.0	-581.0	光大期货	6393.0	-246.0	0042	0123	0298
AG	白银	ag2602	17	中辉期货	61335.0	-18726.0	齐盛期货	5913.0	-2105.0	永安期货	6124.0	627.0	0103	0001	0274
AG	白银	ag2602	18	东吴期货	59207.0	-2723.0	一德期货	5802.0	1012.0	东吴期货	5740.0	139.0	0323	0277	0323
AG	白银	ag2602	19	光大期货	58681.0	-3056.0	瑞达期货	5634.0	-2.0	瑞达期货	5450.0	-87.0	0059	0059	0042
AG	白银	ag2602	20	民生期货	57466.0	-8195.0	铜冠金源	5614.0	-23.0	南华期货	4880.0	1153.0	0096	0025	0244
AG	白银	ag2602	999		3258297.0	-368445.0		257421.0	-14695.0		218198.0	-9147.0			
AG	白银	ag2604	1	国泰君安	173042.0	3411.0	中信期货	20674.0	-1623.0	国泰君安	7350.0	346.0	0004	0148	0004
AG	白银	ag2604	2	中信期货	122135.0	9918.0	国泰君安	13392.0	262.0	中信期货	6410.0	-732.0	0148	0004	0148
AG	白银	ag2604	3	东证期货	62610.0	6938.0	国投期货	7049.0	70.0	五矿期货	5580.0	-84.0	0009	0082	0163
AG	白银	ag2604	4	中泰期货	52554.0	28871.0	华泰期货	5066.0	46.0	云晨期货	5463.0	-7.0	0315	0253	0275
AG	白银	ag2604	5	海通期货	45845.0	3498.0	金瑞期货	4383.0	1.0	东吴期货	4467.0	-68.0	0323	0049	0081
AG	白银	ag2604	6	华泰期货	42894.0	1439.0	东吴期货	4347.0	4.0	金瑞期货	4365.0	368.0	0049	0323	0253
AG	白银	ag2604	7	广发期货	33948.0	9866.0	银河期货	3535.0	-1902.0	银河期货	2700.0	-531.0	0272	0272	0240
AG	白银	ag2604	8	国信期货	32873.0	11623.0	中信建投	3056.0	240.0	东证期货	2316.0	-547.0	0163	0268	0308
