品种代码	品种名称	合约代码	名次	成交量会员简称	成交量	成交量比上交易日增减	持买单量会员简称	持买单量	持买单量比上交易日增减	持卖单量会员简称	持卖单量	持卖单量比上交易日增减	PARTICIPANTID3	PARTICIPANTID2	PARTICIPANTID1
AG	白银	ag2607	1	国泰君安	68.0	32.0	华安期货	900.0	0.0	中信期货	900.0	0.0	0148	0299	0004
AG	白银	ag2607	2	中原期货	40.0	36.0	国泰君安	626.0	32.0	格林大华	256.0	0.0	0121	0004	0327
AG	白银	ag2607	3	上海中期	34.0	34.0	中信期货	304.0	0.0	广发期货	164.0	0.0	0240	0148	0008
AG	白银	ag2607	4	创元期货	16.0	12.0	国信期货	222.0	0.0	方正中期	140.0	0.0	0034	0308	0151
AG	白银	ag2607	5	一德期货	12.0	12.0	中粮期货	184.0	0.0	国泰君安	60.0	0.0	0004	0139	0277
AG	白银	ag2607	6	中融汇信	10.0	10.0	东海期货	146.0	0.0	新湖期货	32.0	0.0	0077	0007	0013
AG	白银	ag2607	7	华泰期货	6.0	6.0	紫金天风	124.0	0.0	银河期货	28.0	0.0	0272	0321	0253
AG	白银	ag2607	8	申万期货	4.0	0.0	华泰期货	100.0	6.0	东证期货	2.0	0.0	0163	0253	0069
AG	白银	ag2607	9	宏源期货	4.0	4.0	申万期货	76.0	4.0					0069	0137
AG	白银	ag2607	10	国投期货	2.0	2.0	中财期货	62.0	0.0					0067	0082
AG	白银	ag2607	11				海证期货	54.0	0.0					0153	
AG	白银	ag2607	12				一德期货	42.0	12.0					0277	
AG	白银	ag2607	13				招商期货	24.0	0.0					0161	
AG	白银	ag2607	14				建信期货	22.0	0.0					0003	
AG	白银	ag2607	15				中信建投	20.0	0.0					0268	
AG	白银	ag2607	16				上海中期	16.0	0.0					0008	
AG	白银	ag2607	17				广发期货	6.0	0.0					0240	
AG	白银	ag2607	18				方正中期	4.0	0.0					0034	
AG	白银	ag2607	19				瑞达期货	4.0	0.0					0059	
AG	白银	ag2607	20				中泰期货	2.0	0.0					0275	
AG	白银	ag2607	999		196.0	148.0		2938.0	54.0		1582.0	0.0			
AG	白银	ag2608	1	国泰君安	136914.0	-11132.0	国泰君安	15677.0	24.0	中信期货	19006.0	687.0	0148	0004	0004
AG	白银	ag2608	2	中信期货	88580.0	1203.0	中信期货	13829.0	-207.0	国泰君安	12661.0	372.0	0004	0148	0148
