品种代码	品种名称	合约代码	名次	成交量会员简称	成交量	成交量比上交易日增减	持买单量会员简称	持买单量	持买单量比上交易日增减	持卖单量会员简称	持卖单量	持卖单量比上交易日增减	PARTICIPANTID3	PARTICIPANTID2	PARTICIPANTID1
AG	白银	ag2511	1	国贸期货	258.0	190.0	中信期货	1860.0	-30.0	建信期货	562.0	0.0	0003	0148	0058
AG	白银	ag2511	2	国泰君安	226.0	184.0	铜冠金源	214.0	0.0	华安期货	456.0	0.0	0299	0025	0004
AG	白银	ag2511	3	华闻期货	128.0	112.0	银河期货	208.0	2.0	中财期货	448.0	0.0	0067	0272	0259
AG	白银	ag2511	4	广发期货	102.0	92.0	国泰君安	206.0	-10.0	中信期货	382.0	0.0	0148	0004	0240
AG	白银	ag2511	5	银河期货	82.0	52.0	五矿期货	202.0	0.0	海证期货	372.0	0.0	0153	0009	0272
AG	白银	ag2511	6	华泰期货	72.0	-32.0	海证期货	178.0	0.0	方正中期	312.0	-24.0	0034	0153	0253
AG	白银	ag2511	7	方正中期	60.0	48.0	南华期货	132.0	0.0	东海期货	284.0	0.0	0007	0096	0034
AG	白银	ag2511	8	中粮期货	50.0	50.0	方正中期	34.0	32.0	中信建投	284.0	0.0	0268	0034	0139
AG	白银	ag2511	9	浙商期货	48.0	28.0	齐盛期货	32.0	0.0	南华期货	244.0	0.0	0096	0001	0123
AG	白银	ag2511	10	华安期货	48.0	32.0	广发期货	32.0	0.0	国泰君安	190.0	172.0	0004	0240	0299
AG	白银	ag2511	11	光大期货	46.0	6.0	浙商期货	18.0	-4.0	中泰期货	176.0	0.0	0275	0123	0042
AG	白银	ag2511	12	中信期货	30.0	10.0	中信建投	8.0	0.0	华泰期货	126.0	-70.0	0253	0268	0148
AG	白银	ag2511	13	兴业期货	28.0	-94.0	平安期货	6.0	0.0	广发期货	122.0	-94.0	0240	0288	0169
AG	白银	ag2511	14	中辉期货	16.0	2.0	华安期货	6.0	-48.0	华联期货	104.0	10.0	0276	0299	0274
AG	白银	ag2511	15	云期货	12.0	12.0	东证期货	4.0	0.0	山金期货	82.0	0.0	0052	0163	0330
AG	白银	ag2511	16	宝城期货	10.0	0.0	建信期货	2.0	0.0	广州期货	70.0	0.0	0338	0003	0019
AG	白银	ag2511	17	创元期货	10.0	8.0	福能期货	2.0	0.0	申万期货	48.0	0.0	0069	0022	0151
AG	白银	ag2511	18	华联期货	10.0	10.0	国元期货	2.0	0.0	渤海期货	20.0	0.0	0271	0043	0276
AG	白银	ag2511	19	瑞达期货	8.0	8.0	申万期货	2.0	0.0	中银期货	20.0	0.0	0372	0069	0059
AG	白银	ag2511	20	平安期货	8.0	-2.0	永安期货	2.0	0.0	宏源期货	18.0	0.0	0137	0103	0288
AG	白银	ag2511	999		1252.0	716.0		3150.0	-58.0		4320.0	-6.0			
AG	白银	ag2512	1	国泰君安	172906.0	19645.0	国泰君安	20659.0	399.0	中信期货	17216.0	-269.0	0148	0004	0004
AG	白银	ag2512	2	中信期货	122987.0	18090.0	中信期货	19942.0	-656.0	国泰君安	11072.0	-349.0	0004	0148	0148
AG	白银	ag2512	3	东证期货	83751.0	15352.0	东证期货	16932.0	4149.0	东证期货	9819.0	328.0	0163	0163	0163
AG	白银	ag2512	4	华泰期货	61376.0	2817.0	银河期货	11737.0	1528.0	方正中期	8125.0	35.0	0034	0272	0253
AG	白银	ag2512	5	国信期货	43715.0	13582.0	平安期货	6627.0	-8.0	银河期货	7649.0	1075.0	0272	0288	0308
AG	白银	ag2512	6	中信建投	43069.0	18445.0	广发期货	6422.0	-40.0	金瑞期货	6873.0	1.0	0049	0240	0268
AG	白银	ag2512	7	南华期货	38304.0	7974.0	永安期货	6118.0	-37.0	中信建投	6729.0	-24.0	0268	0103	0096
AG	白银	ag2512	8	中泰期货	38303.0	5320.0	中信建投	5311.0	309.0	中泰期货	6129.0	644.0	0275	0268	0275
AG	白银	ag2512	9	银河期货	35347.0	9239.0	华泰期货	5288.0	129.0	华泰期货	4892.0	613.0	0253	0253	0272
AG	白银	ag2512	10	徽商期货	32068.0	5971.0	方正中期	5240.0	-546.0	浙商期货	4829.0	68.0	0123	0034	0186
AG	白银	ag2512	11	方正中期	29585.0	5802.0	海通期货	4261.0	-43.0	广发期货	4817.0	236.0	0240	0081	0034
AG	白银	ag2512	12	海通期货	29211.0	3563.0	五矿期货	3800.0	43.0	平安期货	4764.0	209.0	0288	0009	0081
AG	白银	ag2512	13	广发期货	26230.0	3396.0	光大期货	3779.0	-58.0	国信期货	4427.0	-465.0	0308	0042	0240
AG	白银	ag2512	14	浙商期货	24031.0	238.0	东亚期货	3648.0	-750.0	五矿期货	4080.0	-144.0	0009	0088	0123
AG	白银	ag2512	15	东方财富	22114.0	4391.0	海证期货	3439.0	209.0	中粮期货	3997.0	-21.0	0139	0153	0298
