品种代码	品种名称	合约代码	名次	成交量会员简称	成交量	成交量比上交易日增减	持买单量会员简称	持买单量	持买单量比上交易日增减	持卖单量会员简称	持卖单量	持卖单量比上交易日增减	PARTICIPANTID3	PARTICIPANTID2	PARTICIPANTID1
AG	白银	ag2512	1	中泰期货	6252.0	1947.0	中信期货	4120.0	-921.0	金瑞期货	1546.0	-32.0	0049	0148	0275
AG	白银	ag2512	2	银河期货	6029.0	158.0	金瑞期货	3156.0	-696.0	中财期货	1182.0	-44.0	0067	0049	0272
AG	白银	ag2512	3	广发期货	5758.0	-1833.0	国泰君安	2194.0	-672.0	方正中期	1108.0	-404.0	0034	0004	0240
AG	白银	ag2512	4	华闻期货	4764.0	4121.0	华金期货	2030.0	24.0	中信期货	1072.0	-416.0	0148	0051	0259
AG	白银	ag2512	5	国泰君安	4151.0	-5470.0	银河期货	1810.0	-1152.0	弘业期货	1038.0	-92.0	0178	0272	0004
AG	白银	ag2512	6	中信期货	4125.0	-8129.0	华泰期货	1662.0	-142.0	国泰君安	972.0	-495.0	0004	0253	0148
AG	白银	ag2512	7	国贸期货	3892.0	-1135.0	广发期货	1386.0	-1088.0	华金期货	964.0	-4.0	0051	0240	0058
AG	白银	ag2512	8	东证期货	3413.0	-3948.0	东证期货	1268.0	-568.0	海证期货	850.0	55.0	0153	0163	0163
AG	白银	ag2512	9	光大期货	3166.0	934.0	宝城期货	916.0	12.0	齐盛期货	824.0	420.0	0001	0019	0042
AG	白银	ag2512	10	浙商期货	2941.0	1430.0	长江期货	736.0	-516.0	银河期货	750.0	-25.0	0272	0048	0123
AG	白银	ag2512	11	平安期货	2249.0	94.0	海证期货	634.0	-70.0	山金期货	696.0	-36.0	0052	0153	0288
AG	白银	ag2512	12	中辉期货	2066.0	351.0	先锋期货	576.0	-160.0	新湖期货	634.0	-76.0	0077	0138	0274
AG	白银	ag2512	13	方正中期	1965.0	-616.0	齐盛期货	506.0	-2.0	中信建投	618.0	-339.0	0268	0001	0034
AG	白银	ag2512	14	兴证期货	1925.0	1195.0	一德期货	506.0	0.0	东证期货	596.0	67.0	0163	0277	0311
AG	白银	ag2512	15	申万期货	1790.0	-757.0	中泰期货	366.0	-11.0	广发期货	536.0	-226.0	0240	0275	0069
AG	白银	ag2512	16	金瑞期货	1732.0	-1286.0	永安期货	354.0	-276.0	中粮期货	474.0	-18.0	0139	0103	0049
AG	白银	ag2512	17	中信建投	1641.0	-1615.0	光大期货	342.0	8.0	国投期货	426.0	-24.0	0082	0042	0268
AG	白银	ag2512	18	新湖期货	1344.0	-1857.0	中银期货	328.0	-6.0	中金岭南	406.0	-2.0	0108	0372	0077
AG	白银	ag2512	19	招商期货	1229.0	-105.0	五矿期货	290.0	4.0	物产中大	394.0	-32.0	0125	0009	0161
AG	白银	ag2512	20	国信期货	1183.0	157.0	中信建投	278.0	46.0	瑞达期货	390.0	-80.0	0059	0268	0308
AG	白银	ag2512	999		61615.0	-16364.0		23458.0	-6186.0		15476.0	-1803.0			
AG	白银	ag2601	1	中信期货	20498.0	7680.0	东证期货	2502.0	238.0	齐盛期货	1527.0	358.0	0001	0163	0148
AG	白银	ag2601	2	国泰君安	17665.0	6302.0	东亚期货	1986.0	-1507.0	永安期货	1505.0	7.0	0103	0088	0004
AG	白银	ag2601	3	东证期货	11654.0	7418.0	中信期货	1765.0	-654.0	中信期货	1184.0	150.0	0148	0148	0163
AG	白银	ag2601	4	华泰期货	11587.0	6130.0	银河期货	1061.0	489.0	国泰君安	1083.0	-77.0	0004	0272	0253
AG	白银	ag2601	5	国信期货	10586.0	7726.0	申万期货	950.0	99.0	中信建投	1026.0	-236.0	0268	0069	0308
AG	白银	ag2601	6	广发期货	8375.0	3753.0	南华期货	944.0	-10.0	方正中期	757.0	-28.0	0034	0096	0240
AG	白银	ag2601	7	申万期货	6174.0	5352.0	国泰君安	936.0	-24.0	光大期货	685.0	285.0	0042	0004	0069
AG	白银	ag2601	8	中泰期货	5410.0	3173.0	广发期货	893.0	370.0	东证期货	672.0	69.0	0163	0240	0275
AG	白银	ag2601	9	海通期货	4885.0	1574.0	国投期货	846.0	-525.0	海证期货	670.0	-18.0	0153	0082	0081
AG	白银	ag2601	10	中信建投	4735.0	2774.0	中信建投	769.0	288.0	融达期货	655.0	20.0	0332	0268	0268
AG	白银	ag2601	11	银河期货	4604.0	3136.0	长江期货	749.0	10.0	华泰期货	610.0	148.0	0253	0048	0272
AG	白银	ag2601	12	瑞达期货	4036.0	2151.0	金瑞期货	650.0	407.0	广发期货	521.0	49.0	0240	0049	0059
AG	白银	ag2601	13	津投期货	3300.0	1877.0	摩根大通	600.0	0.0	国信期货	516.0	-18.0	0308	0184	0342
AG	白银	ag2601	14	国投期货	3078.0	1922.0	五矿期货	584.0	65.0	华鑫期货	508.0	7.0	0006	0009	0082
AG	白银	ag2601	15	浙商期货	2834.0	1930.0	国联期货	396.0	16.0	平安期货	483.0	-2.0	0288	0018	0123
AG	白银	ag2601	16	东亚期货	2784.0	510.0	东海期货	334.0	95.0	南华期货	417.0	-94.0	0096	0007	0088
AG	白银	ag2601	17	华闻期货	2701.0	928.0	创元期货	273.0	121.0	建信期货	383.0	1.0	0003	0151	0259
