品种代码	品种名称	合约代码	名次	成交量会员简称	成交量	成交量比上交易日增减	持买单量会员简称	持买单量	持买单量比上交易日增减	持卖单量会员简称	持卖单量	持卖单量比上交易日增减	PARTICIPANTID3	PARTICIPANTID2	PARTICIPANTID1
AG	白银	ag2606	1	金瑞期货	118.0	38.0	国泰君安	990.0	-20.0	中信期货	900.0	-58.0	0148	0004	0049
AG	白银	ag2606	2	国信期货	102.0	82.0	中信期货	548.0	0.0	国投期货	626.0	0.0	0082	0148	0308
AG	白银	ag2606	3	银河期货	78.0	-6.0	华鑫期货	454.0	-42.0	方正中期	484.0	0.0	0034	0006	0272
AG	白银	ag2606	4	中信期货	62.0	6.0	中信建投	286.0	0.0	新湖期货	262.0	0.0	0077	0268	0148
AG	白银	ag2606	5	创元期货	46.0	12.0	东海期货	200.0	0.0	瑞达期货	224.0	0.0	0059	0007	0151
AG	白银	ag2606	6	东证期货	46.0	-22.0	山金期货	186.0	0.0	银河期货	220.0	-14.0	0272	0052	0163
AG	白银	ag2606	7	国泰君安	42.0	22.0	南华期货	132.0	0.0	紫金天风	186.0	0.0	0321	0096	0004
AG	白银	ag2606	8	华鑫期货	42.0	40.0	华安期货	132.0	0.0	金瑞期货	174.0	-104.0	0049	0299	0006
AG	白银	ag2606	9	宝城期货	40.0	40.0	广发期货	100.0	0.0	国元期货	136.0	0.0	0043	0240	0019
AG	白银	ag2606	10	齐盛期货	32.0	32.0	建信期货	98.0	8.0	五矿期货	128.0	-8.0	0009	0003	0001
AG	白银	ag2606	11	兴证期货	32.0	32.0	海证期货	96.0	0.0	国泰君安	68.0	14.0	0004	0153	0311
AG	白银	ag2606	12	浙商期货	28.0	16.0	申万期货	36.0	0.0	徽商期货	52.0	0.0	0186	0069	0123
AG	白银	ag2606	13	建信期货	8.0	-26.0	国投期货	24.0	0.0	广发期货	52.0	0.0	0240	0082	0003
AG	白银	ag2606	14	五矿期货	8.0	-2.0	上海中期	22.0	-6.0	华金期货	46.0	0.0	0051	0008	0009
AG	白银	ag2606	15	方正中期	8.0	-4.0	国联期货	22.0	0.0	东证期货	42.0	-22.0	0163	0018	0034
AG	白银	ag2606	16	上海中期	6.0	-22.0	国信期货	22.0	-78.0	国贸期货	28.0	0.0	0058	0308	0008
AG	白银	ag2606	17	大越期货	6.0	6.0	永安期货	14.0	0.0	浙商期货	24.0	12.0	0123	0103	0134
AG	白银	ag2606	18	招商期货	4.0	0.0	东证期货	10.0	-12.0	申万期货	18.0	0.0	0069	0163	0161
AG	白银	ag2606	19	一德期货	4.0	-36.0	大有期货	8.0	0.0	国盛期货	4.0	0.0	0389	0320	0277
AG	白银	ag2606	20	长江期货	2.0	-38.0	华金期货	4.0	0.0	中财期货	2.0	0.0	0067	0051	0048
AG	白银	ag2606	999		714.0	170.0		3384.0	-150.0		3676.0	-180.0			
AG	白银	ag2608	1	国泰君安	330686.0	165671.0	国泰君安	19213.0	167.0	中信期货	24512.0	386.0	0148	0004	0004
AG	白银	ag2608	2	中信期货	208146.0	78495.0	中信期货	17216.0	-360.0	东证期货	13857.0	-2892.0	0163	0148	0148
AG	白银	ag2608	3	广发期货	107305.0	47687.0	东证期货	16059.0	1066.0	永安期货	12368.0	1031.0	0103	0163	0240
AG	白银	ag2608	4	东证期货	106593.0	45492.0	银河期货	12944.0	54.0	国泰君安	11841.0	269.0	0004	0272	0163
