品种代码	品种名称	合约代码	名次	成交量会员简称	成交量	成交量比上交易日增减	持买单量会员简称	持买单量	持买单量比上交易日增减	持卖单量会员简称	持卖单量	持卖单量比上交易日增减	PARTICIPANTID3	PARTICIPANTID2	PARTICIPANTID1
AG	白银	ag2608	1	国泰君安	77484	-38974	国泰君安	10543	-2476	中信期货	14567	-2214	0148	0004	0004
AG	白银	ag2608	2	中信期货	54322	-21741	中信期货	9824	-862	国泰君安	6541	-2401	0004	0148	0148
AG	白银	ag2608	3	东证期货	27068	-11999	银河期货	7163	-418	金瑞期货	5902	-310	0049	0272	0163
AG	白银	ag2608	4	中泰期货	26048	1040	国投期货	5804	-632	华鑫期货	4414	-171	0006	0082	0275
AG	白银	ag2608	5	广发期货	25890	-9333	方正中期	5397	-1141	华泰期货	3288	-1917	0253	0034	0240
AG	白银	ag2608	6	华泰期货	22413	-7245	东证期货	4771	-613	广发期货	3032	-766	0240	0163	0253
AG	白银	ag2608	7	海通期货	18959	-4138	平安期货	4431	-1224	东证期货	3024	-411	0163	0288	0081
AG	白银	ag2608	8	银河期货	17539	-14600	广发期货	3709	-620	银河期货	2868	-742	0272	0240	0272
AG	白银	ag2608	9	国信期货	16327	-9929	中信建投	3574	-161	中银期货	2534	-30	0372	0268	0308
AG	白银	ag2608	10	方正中期	11783	-6545	华泰期货	3521	-837	南华期货	2237	-43	0096	0253	0034
AG	白银	ag2608	11	浙商期货	10590	-764	永安期货	3443	-441	国投期货	2019	-539	0082	0103	0123
AG	白银	ag2608	12	东方财富	10240	-5841	光大期货	2627	-139	宝城期货	1897	-149	0019	0042	0298
AG	白银	ag2608	13	中信建投	9952	-4974	招商期货	2205	-499	宏源期货	1895	-1815	0137	0161	0268
AG	白银	ag2608	14	五矿期货	9121	-1441	东方财富	2204	-562	方正中期	1617	184	0034	0298	0009
AG	白银	ag2608	15	平安期货	6590	-3987	中泰期货	2113	-376	中粮期货	1500	32	0139	0275	0288
AG	白银	ag2608	16	宏源期货	6156	-2584	中财期货	2017	716	东方财富	1495	84	0298	0067	0137
