品种代码	品种名称	合约代码	名次	成交量会员简称	成交量	成交量比上交易日增减	持买单量会员简称	持买单量	持买单量比上交易日增减	持卖单量会员简称	持卖单量	持卖单量比上交易日增减	PARTICIPANTID3	PARTICIPANTID2	PARTICIPANTID1
AG	白银	ag2601	1	广发期货	6206.0	-1641.0	中信期货	972.0	-104.0	华鑫期货	787.0	-214.0	0006	0148	0240
AG	白银	ag2601	2	中泰期货	3098.0	799.0	金瑞期货	530.0	-102.0	海证期货	492.0	-14.0	0153	0049	0275
AG	白银	ag2601	3	华闻期货	1840.0	-568.0	中泰期货	470.0	-126.0	金瑞期货	339.0	-90.0	0049	0275	0259
AG	白银	ag2601	4	国泰君安	1733.0	-3098.0	国泰君安	387.0	-12.0	中信期货	247.0	-81.0	0148	0004	0004
AG	白银	ag2601	5	中信期货	1507.0	-1260.0	广发期货	259.0	-244.0	山金期货	200.0	0.0	0052	0240	0148
AG	白银	ag2601	6	银河期货	1155.0	-1523.0	银河期货	239.0	-27.0	南华期货	196.0	97.0	0096	0272	0272
AG	白银	ag2601	7	东证期货	1088.0	-2678.0	东证期货	213.0	-177.0	新湖期货	178.0	158.0	0077	0163	0163
AG	白银	ag2601	8	兴证期货	863.0	-1054.0	五矿期货	131.0	0.0	国泰君安	172.0	-139.0	0004	0009	0311
AG	白银	ag2601	9	新湖期货	819.0	-287.0	一德期货	130.0	0.0	银河期货	168.0	-58.0	0272	0277	0077
AG	白银	ag2601	10	申万期货	666.0	-929.0	国海良时	90.0	-50.0	国联期货	129.0	-55.0	0018	0029	0069
AG	白银	ag2601	11	平安期货	581.0	-415.0	华泰期货	81.0	-6.0	广发期货	123.0	-98.0	0240	0253	0288
AG	白银	ag2601	12	光大期货	522.0	-725.0	中财期货	58.0	0.0	五矿期货	122.0	-168.0	0009	0067	0042
AG	白银	ag2601	13	华泰期货	479.0	-3474.0	中信建投	50.0	-135.0	中粮期货	71.0	-3.0	0139	0268	0253
AG	白银	ag2601	14	金瑞期货	452.0	148.0	国联期货	49.0	-56.0	东证期货	69.0	-41.0	0163	0018	0049
AG	白银	ag2601	15	宏源期货	322.0	-195.0	徽商期货	49.0	-2.0	华闻期货	68.0	27.0	0259	0186	0137
AG	白银	ag2601	16	国贸期货	281.0	-255.0	国新国证	45.0	0.0	光大期货	63.0	25.0	0042	0269	0058
AG	白银	ag2601	17	瑞达期货	274.0	-305.0	东吴期货	37.0	-44.0	申万期货	48.0	10.0	0069	0323	0059
AG	白银	ag2601	18	浙商期货	269.0	-532.0	新湖期货	31.0	7.0	国信期货	37.0	-11.0	0308	0077	0123
AG	白银	ag2601	19	五矿期货	238.0	-467.0	铜冠金源	30.0	0.0	东吴期货	37.0	3.0	0323	0025	0009
AG	白银	ag2601	20	中信建投	227.0	-185.0	平安期货	30.0	0.0	兴业期货	36.0	-6.0	0169	0288	0268
AG	白银	ag2601	999		22620.0	-18644.0		3881.0	-1078.0		3582.0	-658.0			
AG	白银	ag2602	1	国泰君安	258939.0	-44207.0	中信期货	16454.0	-4457.0	中信期货	20671.0	-6332.0	0148	0148	0004
AG	白银	ag2602	2	中信期货	152700.0	-80578.0	国泰君安	14165.0	-3826.0	国泰君安	14363.0	-4450.0	0004	0004	0148
AG	白银	ag2602	3	东证期货	128005.0	-18064.0	东证期货	10397.0	-884.0	金瑞期货	8005.0	244.0	0049	0163	0163
AG	白银	ag2602	4	华泰期货	107527.0	-6767.0	银河期货	7366.0	361.0	东证期货	7680.0	-1922.0	0163	0272	0253
AG	白银	ag2602	5	广发期货	99000.0	-48958.0	海通期货	6359.0	538.0	银河期货	6824.0	-877.0	0272	0081	0240
AG	白银	ag2602	6	银河期货	73237.0	-39364.0	广发期货	6081.0	322.0	齐盛期货	5539.0	789.0	0001	0240	0272
AG	白银	ag2602	7	国信期货	67277.0	-12030.0	平安期货	4601.0	-419.0	海通期货	5450.0	59.0	0081	0288	0308
AG	白银	ag2602	8	中泰期货	66373.0	301.0	国投期货	4587.0	-386.0	平安期货	4673.0	458.0	0288	0082	0275
AG	白银	ag2602	9	平安期货	61371.0	-5517.0	永安期货	4385.0	-656.0	方正中期	4542.0	-1051.0	0034	0103	0288
AG	白银	ag2602	10	东方财富	59380.0	-3269.0	东吴期货	4268.0	-1071.0	国投期货	4506.0	378.0	0082	0323	0298
AG	白银	ag2602	11	中信建投	53703.0	-11711.0	华泰期货	3845.0	-864.0	五矿期货	4132.0	18.0	0009	0253	0268
AG	白银	ag2602	12	海通期货	50012.0	-14728.0	方正中期	3190.0	-757.0	华泰期货	3783.0	-379.0	0253	0034	0081
AG	白银	ag2602	13	华闻期货	41087.0	-5515.0	中信建投	3189.0	-758.0	中辉期货	3591.0	1182.0	0274	0268	0259
AG	白银	ag2602	14	徽商期货	40705.0	-1642.0	国金期货	3182.0	580.0	中粮期货	3227.0	14.0	0139	0095	0186
AG	白银	ag2602	15	方正中期	38383.0	-12587.0	华鑫期货	2856.0	-321.0	光大期货	3159.0	-565.0	0042	0006	0034
AG	白银	ag2602	16	浙商期货	36413.0	-6650.0	福能期货	2782.0	-822.0	浙商期货	2941.0	-264.0	0123	0022	0123
AG	白银	ag2602	17	民生期货	27481.0	-5900.0	南华期货	2687.0	-482.0	广发期货	2575.0	-120.0	0240	0096	0244
AG	白银	ag2602	18	南华期货	26216.0	-9324.0	中辉期货	2538.0	-403.0	东方财富	2568.0	-444.0	0298	0274	0096
AG	白银	ag2602	19	国元期货	26022.0	-410.0	国联期货	2522.0	-442.0	东吴期货	2554.0	-340.0	0323	0018	0043
AG	白银	ag2602	20	宏源期货	24752.0	-4877.0	中粮期货	2484.0	543.0	中信建投	2501.0	-1230.0	0268	0139	0137
AG	白银	ag2602	999		1438583.0	-331797.0		107938.0	-14204.0		113284.0	-14832.0			
AG	白银	ag2604	1	国泰君安	568767.0	-95292.0	中信期货	22566.0	1831.0	国泰君安	21718.0	5178.0	0004	0148	0004
AG	白银	ag2604	2	中信期货	419024.0	-15067.0	国泰君安	18914.0	537.0	东证期货	18292.0	3658.0	0163	0004	0148
AG	白银	ag2604	3	东证期货	241430.0	-18360.0	东证期货	11701.0	-816.0	中信期货	16914.0	131.0	0148	0163	0163
AG	白银	ag2604	4	广发期货	209109.0	-33003.0	国投期货	9905.0	-77.0	华泰期货	7930.0	890.0	0253	0082	0240
AG	白银	ag2604	5	华泰期货	165152.0	-9167.0	银河期货	8927.0	960.0	金瑞期货	7753.0	426.0	0049	0272	0253
AG	白银	ag2604	6	国信期货	153395.0	10049.0	中信建投	8446.0	-1044.0	银河期货	5892.0	-1175.0	0272	0268	0308
AG	白银	ag2604	7	银河期货	145445.0	-65920.0	东吴期货	7265.0	325.0	乾坤期货	5831.0	3536.0	0239	0323	0272
AG	白银	ag2604	8	海通期货	126566.0	-1436.0	华泰期货	6862.0	-446.0	东吴期货	5457.0	-106.0	0323	0253	0081
AG	白银	ag2604	9	中泰期货	114919.0	-40075.0	广发期货	5706.0	-309.0	中信建投	4256.0	14.0	0268	0240	0275
AG	白银	ag2604	10	中信建投	87874.0	-11952.0	金瑞期货	5653.0	-130.0	海通期货	4223.0	613.0	0081	0049	0268
AG	白银	ag2604	11	申万期货	79176.0	3479.0	申万期货	5549.0	1211.0	中财期货	4050.0	-185.0	0067	0069	0069
AG	白银	ag2604	12	东吴期货	73555.0	-28049.0	永安期货	4931.0	1855.0	五矿期货	3739.0	656.0	0009	0103	0323
AG	白银	ag2604	13	徽商期货	72921.0	1159.0	国元期货	4439.0	23.0	方正中期	3592.0	461.0	0034	0043	0186
AG	白银	ag2604	14	方正中期	65721.0	-7619.0	海通期货	4354.0	-47.0	南华期货	3410.0	415.0	0096	0081	0034
AG	白银	ag2604	15	宝城期货	55238.0	-21750.0	光大期货	4341.0	724.0	广发期货	3267.0	654.0	0240	0042	0019
AG	白银	ag2604	16	创元期货	54575.0	-17230.0	方正中期	3796.0	26.0	永安期货	3192.0	704.0	0103	0034	0151
AG	白银	ag2604	17	光大期货	53653.0	-2473.0	南华期货	3612.0	931.0	浙商期货	2931.0	55.0	0123	0096	0042
AG	白银	ag2604	18	渤海期货	53524.0	9524.0	东亚期货	3094.0	-513.0	云晨期货	2612.0	1963.0	0315	0088	0271
AG	白银	ag2604	19	南华期货	53458.0	-11944.0	兴证期货	3035.0	1362.0	一德期货	2142.0	89.0	0277	0311	0096
AG	白银	ag2604	20	华闻期货	45957.0	-23441.0	民生期货	2766.0	432.0	格林大华	2096.0	-88.0	0121	0244	0259
AG	白银	ag2604	999		2839459.0	-378567.0		145862.0	6835.0		129297.0	17889.0			
