品种代码	品种名称	合约代码	名次	成交量会员简称	成交量	成交量比上交易日增减	持买单量会员简称	持买单量	持买单量比上交易日增减	持卖单量会员简称	持卖单量	持卖单量比上交易日增减	PARTICIPANTID3	PARTICIPANTID2	PARTICIPANTID1
AG	白银	ag2604	1	银河期货	2952.0	1722.0	申万期货	1134.0	-128.0	金瑞期货	1980.0	-328.0	0049	0069	0272
AG	白银	ag2604	2	国贸期货	1492.0	-230.0	恒力期货	900.0	0.0	银河期货	1904.0	-1900.0	0272	0339	0058
AG	白银	ag2604	3	宏源期货	1056.0	385.0	国投期货	810.0	-114.0	五矿期货	778.0	20.0	0009	0082	0137
AG	白银	ag2604	4	广发期货	970.0	-133.0	中信期货	734.0	-282.0	齐盛期货	720.0	84.0	0001	0148	0240
AG	白银	ag2604	5	中信期货	908.0	-128.0	一德期货	664.0	-20.0	华鑫期货	336.0	-72.0	0006	0277	0148
AG	白银	ag2604	6	东证期货	882.0	326.0	新湖期货	620.0	-12.0	云晨期货	306.0	0.0	0315	0077	0163
AG	白银	ag2604	7	金瑞期货	550.0	-278.0	国泰君安	514.0	-24.0	方正中期	304.0	-10.0	0034	0004	0049
AG	白银	ag2604	8	国泰君安	532.0	146.0	东证期货	430.0	-52.0	宏源期货	298.0	-458.0	0137	0163	0004
AG	白银	ag2604	9	中辉期货	458.0	116.0	国元期货	376.0	-108.0	光大期货	194.0	-6.0	0042	0043	0274
AG	白银	ag2604	10	中泰期货	398.0	-166.0	永安期货	366.0	-128.0	铜冠金源	174.0	0.0	0025	0103	0275
AG	白银	ag2604	11	光大期货	330.0	-96.0	广发期货	358.0	-42.0	华安期货	152.0	0.0	0299	0240	0042
AG	白银	ag2604	12	浙商期货	316.0	86.0	中信建投	358.0	-4.0	中信建投	132.0	-6.0	0268	0268	0123
AG	白银	ag2604	13	平安期货	316.0	7.0	宏源期货	312.0	-470.0	国投期货	120.0	6.0	0082	0137	0288
AG	白银	ag2604	14	申万期货	302.0	-108.0	银河期货	304.0	-808.0	中信期货	104.0	-62.0	0148	0272	0069
AG	白银	ag2604	15	方正中期	196.0	-11.0	中财期货	292.0	0.0	瑞达期货	102.0	-84.0	0059	0067	0034
AG	白银	ag2604	16	渤海期货	190.0	-238.0	方正中期	278.0	-58.0	创元期货	88.0	-2.0	0151	0034	0271
AG	白银	ag2604	17	中信建投	174.0	-40.0	国海良时	272.0	-44.0	广发期货	86.0	0.0	0240	0029	0268
AG	白银	ag2604	18	中原期货	160.0	142.0	光大期货	270.0	-124.0	华金期货	62.0	40.0	0051	0042	0327
AG	白银	ag2604	19	中银期货	158.0	6.0	华安期货	236.0	0.0	东证期货	48.0	-6.0	0163	0299	0372
AG	白银	ag2604	20	国富期货	154.0	-64.0	创元期货	224.0	-18.0	国金期货	42.0	6.0	0095	0151	0385
AG	白银	ag2604	999		12494.0	1444.0		9452.0	-2436.0		7930.0	-2778.0			
AG	白银	ag2605	1	国泰君安	26142.0	5795.0	国泰君安	1702.0	-84.0	中信期货	3056.0	-1799.0	0148	0004	0004
