品种代码	品种名称	合约代码	名次	成交量会员简称	成交量	成交量比上交易日增减	持买单量会员简称	持买单量	持买单量比上交易日增减	持卖单量会员简称	持卖单量	持卖单量比上交易日增减	PARTICIPANTID3	PARTICIPANTID2	PARTICIPANTID1
AG	白银	ag2608	1	国泰君安	158742	21828	国泰君安	14749	-928	中信期货	18341	-665	0148	0004	0004
AG	白银	ag2608	2	中信期货	100128	11548	中信期货	13390	-439	国泰君安	13021	360	0004	0148	0148
AG	白银	ag2608	3	东证期货	55689	8771	银河期货	8864	-2041	宏源期货	7206	-283	0137	0272	0163
AG	白银	ag2608	4	广发期货	50015	8837	平安期货	8012	-701	金瑞期货	6637	-10	0049	0288	0240
AG	白银	ag2608	5	华泰期货	48641	6604	方正中期	7802	734	华泰期货	6528	-710	0253	0034	0253
AG	白银	ag2608	6	银河期货	41952	7612	东证期货	7461	-509	银河期货	5994	-934	0272	0163	0272
AG	白银	ag2608	7	中泰期货	31321	795	国投期货	6743	312	华鑫期货	5658	101	0006	0082	0275
AG	白银	ag2608	8	国信期货	29921	2597	华泰期货	5613	984	东证期货	5122	-873	0163	0253	0308
AG	白银	ag2608	9	东方财富	26064	6433	中信建投	4711	-200	广发期货	4169	-52	0240	0268	0298
AG	白银	ag2608	10	中信建投	25793	4132	广发期货	4609	50	永安期货	3786	-126	0103	0240	0268
AG	白银	ag2608	11	海通期货	23657	1056	永安期货	4490	-708	国投期货	3443	213	0082	0103	0081
AG	白银	ag2608	12	方正中期	23586	5019	东方财富	3526	422	南华期货	2967	68	0096	0298	0034
AG	白银	ag2608	13	平安期货	19291	1949	光大期货	3363	-362	云晨期货	2945	0	0315	0042	0288
AG	白银	ag2608	14	徽商期货	18063	2036	中泰期货	3133	673	中银期货	2581	-27	0372	0275	0186
AG	白银	ag2608	15	浙商期货	13261	293	海通期货	2644	124	中粮期货	2576	-323	0139	0081	0123
AG	白银	ag2608	16	华闻期货	12632	4022	招商期货	2608	52	浙商期货	2449	626	0123	0161	0259
AG	白银	ag2608	17	五矿期货	11418	-1309	齐盛期货	2539	175	海通期货	2390	256	0081	0001	0009
AG	白银	ag2608	18	瑞达期货	11386	786	南华期货	2469	217	宝城期货	2361	-64	0019	0096	0059
AG	白银	ag2608	19	宏源期货	10464	2372	金瑞期货	2192	119	中信建投	2094	-402	0268	0049	0137
AG	白银	ag2608	20	民生期货	10216	1324	国信期货	2129	-144	中泰期货	1687	-306	0275	0308	0244
AG	白银	ag2608	999		722240	96705		111047	-2170		101955	-3151			
AG	白银	ag2610	1	国泰君安	166632	32971	银河期货	11979	2599	中信期货	20370	1536	0148	0272	0004
AG	白银	ag2610	2	中信期货	100205	19892	国泰君安	11415	-121	国泰君安	10378	3197	0004	0004	0148
AG	白银	ag2610	3	广发期货	52030	10161	国投期货	10806	762	银河期货	9115	329	0272	0082	0240
AG	白银	ag2610	4	东证期货	50674	9139	中信期货	8865	-211	东证期货	8980	2385	0163	0148	0163
AG	白银	ag2610	5	银河期货	42544	7910	华泰期货	7401	336	中银期货	8601	97	0372	0253	0272
AG	白银	ag2610	6	华泰期货	41020	6610	金瑞期货	7235	9	永安期货	5988	952	0103	0049	0253
AG	白银	ag2610	7	中泰期货	34270	4949	广发期货	6487	-835	金瑞期货	5326	-142	0049	0240	0275
AG	白银	ag2610	8	海通期货	32243	7063	东证期货	6486	-2045	光大期货	3603	517	0042	0163	0081
AG	白银	ag2610	9	国信期货	30622	5014	国元期货	5968	104	浙商期货	3420	-82	0123	0043	0308
AG	白银	ag2610	10	徽商期货	22263	3117	平安期货	4769	825	瑞达期货	3383	883	0059	0288	0186
AG	白银	ag2610	11	中信建投	20823	2432	方正中期	4709	1098	宏源期货	3220	529	0137	0034	0268
AG	白银	ag2610	12	方正中期	17549	3417	东亚期货	4261	116	华泰期货	3130	908	0253	0088	0034
AG	白银	ag2610	13	东方财富	15922	2991	中信建投	3749	548	云晨期货	3074	-2	0315	0268	0298
AG	白银	ag2610	14	浙商期货	12916	-443	永安期货	3602	527	高盛期货	3018	182	0239	0103	0123
AG	白银	ag2610	15	五矿期货	12742	897	高盛期货	2832	-693	方正中期	2908	147	0034	0239	0009
AG	白银	ag2610	16	宏源期货	12640	2396	光大期货	2716	330	中金财富	2883	1203	0335	0042	0137
AG	白银	ag2610	17	宝城期货	12554	4079	国贸期货	2272	189	东吴期货	2464	368	0323	0058	0019
AG	白银	ag2610	18	瑞达期货	11270	1112	国信期货	2194	418	南华期货	2184	-24	0096	0308	0059
AG	白银	ag2610	19	东吴期货	10191	1127	申万期货	2035	152	广发期货	1686	287	0240	0069	0323
AG	白银	ag2610	20	华安期货	10025	3100	宏源期货	1972	717	中信建投	1567	-181	0268	0137	0299
AG	白银	ag2610	999		709135	127934		111753	4825		105298	13089			
AG	白银	ag2612	1	国泰君安	17699	1215	金瑞期货	5574	12	中信期货	10968	-117	0148	0049	0004
AG	白银	ag2612	2	中信期货	9200	-698	铜冠金源	5497	213	东证期货	6041	-223	0163	0025	0148
AG	白银	ag2612	3	中泰期货	7625	-862	银河期货	5345	78	金瑞期货	4445	6	0049	0272	0275
AG	白银	ag2612	4	华泰期货	7155	825	东证期货	5161	762	铜冠金源	3189	48	0025	0163	0253
AG	白银	ag2612	5	广发期货	5377	923	国投期货	4486	9	国泰君安	3002	548	0004	0082	0240
AG	白银	ag2612	6	东证期货	4647	-1191	中信建投	3678	66	五矿期货	2016	-13	0009	0268	0163
AG	白银	ag2612	7	浙商期货	3725	390	国泰君安	3665	141	方正中期	1835	10	0034	0004	0123
AG	白银	ag2612	8	银河期货	3160	745	中信期货	3348	149	东吴期货	1681	49	0323	0148	0272
AG	白银	ag2612	9	瑞达期货	2813	221	国元期货	3259	48	东亚期货	1379	5	0088	0043	0059
AG	白银	ag2612	10	国信期货	2724	596	华泰期货	3243	-78	云晨期货	1247	0	0315	0253	0308
AG	白银	ag2612	11	海通期货	2329	39	广发期货	2921	36	中辉期货	1244	98	0274	0240	0081
AG	白银	ag2612	12	方正中期	2229	985	平安期货	2600	21	申万期货	1105	-1	0069	0288	0034
AG	白银	ag2612	13	五矿期货	1986	607	东亚期货	1667	25	招商期货	1029	21	0161	0088	0009
AG	白银	ag2612	14	南华期货	1864	-104	光大期货	1638	126	齐盛期货	1000	59	0001	0042	0096
AG	白银	ag2612	15	宏源期货	1731	1404	齐盛期货	1562	173	银河期货	924	58	0272	0001	0137
AG	白银	ag2612	16	建信期货	1573	1301	方正中期	1380	37	浙商期货	846	39	0123	0034	0003
AG	白银	ag2612	17	东方财富	1570	298	宏源期货	1136	47	中国国际	846	5	0157	0137	0298
AG	白银	ag2612	18	中信建投	1039	-19	宝城期货	952	51	广发期货	741	-177	0240	0019	0268
AG	白银	ag2612	19	宝城期货	899	315	瑞达期货	917	59	金元期货	697	1	0089	0059	0019
AG	白银	ag2612	20	东海期货	791	-38	东方财富	907	58	瑞达期货	658	-42	0059	0298	0007
AG	白银	ag2612	999		80136	6952		58936	2033		44893	374			
