品种代码	品种名称	合约代码	名次	成交量会员简称	成交量	成交量比上交易日增减	持买单量会员简称	持买单量	持买单量比上交易日增减	持卖单量会员简称	持卖单量	持卖单量比上交易日增减	PARTICIPANTID3	PARTICIPANTID2	PARTICIPANTID1
AG	白银	ag2608	1	国泰君安	91548	-132776	国泰君安	21787	-951	中信期货	25391	1048	0148	0004	0004
AG	白银	ag2608	2	中信期货	60373	-86189	中信期货	15145	444	国泰君安	11948	1196	0004	0148	0148
AG	白银	ag2608	3	东证期货	39519	-41802	银河期货	14395	380	银河期货	10695	852	0272	0272	0163
AG	白银	ag2608	4	广发期货	39210	-41877	东证期货	12868	735	东证期货	9647	-1172	0163	0163	0240
AG	白银	ag2608	5	华泰期货	33598	-27958	国投期货	11788	151	永安期货	8454	-369	0103	0082	0253
AG	白银	ag2608	6	中泰期货	29669	-25758	平安期货	8108	-162	中银期货	6839	-47	0372	0288	0275
AG	白银	ag2608	7	银河期货	26843	-37052	方正中期	7909	-147	华泰期货	6399	492	0253	0034	0272
AG	白银	ag2608	8	海通期货	20412	-24415	永安期货	6982	-216	金瑞期货	6247	23	0049	0103	0081
AG	白银	ag2608	9	国信期货	14084	-23832	华泰期货	6549	-626	宏源期货	5585	513	0137	0253	0308
AG	白银	ag2608	10	方正中期	12036	-21652	中信建投	5183	175	华鑫期货	5542	270	0006	0268	0034
AG	白银	ag2608	11	中信建投	11756	-24370	广发期货	4994	-30	中粮期货	5398	70	0139	0240	0268
AG	白银	ag2608	12	东方财富	9342	-17984	金瑞期货	4651	109	云晨期货	5376	-990	0315	0049	0298
AG	白银	ag2608	13	华闻期货	8776	-14086	光大期货	4636	67	广发期货	4353	386	0240	0042	0259
AG	白银	ag2608	14	徽商期货	7817	-16565	国元期货	4316	-897	中信建投	3285	484	0268	0043	0186
AG	白银	ag2608	15	东吴期货	7199	-9482	中泰期货	3532	161	国投期货	3173	-177	0082	0275	0323
AG	白银	ag2608	16	浙商期货	7125	-4823	齐盛期货	3517	26	南华期货	3070	-401	0096	0001	0123
