品种代码	品种名称	合约代码	名次	成交量会员简称	成交量	成交量比上交易日增减	持买单量会员简称	持买单量	持买单量比上交易日增减	持卖单量会员简称	持卖单量	持卖单量比上交易日增减	PARTICIPANTID3	PARTICIPANTID2	PARTICIPANTID1
AG	白银	ag2602	1	中信期货	12511	-3095	中信期货	4212.0	-725.0	中信期货	3621.0	-819.0	0148	0148	0148
AG	白银	ag2602	2	国泰君安	9381	-1510	国泰君安	3155.0	-277.0	金瑞期货	2976.0	-1040.0	0049	0004	0004
AG	白银	ag2602	3	广发期货	6613	1	银河期货	2490.0	-223.0	东证期货	1937.0	374.0	0163	0272	0240
AG	白银	ag2602	4	东证期货	6542	-1487	广发期货	2235.0	-302.0	建信期货	1458.0	241.0	0003	0240	0163
AG	白银	ag2602	5	国投期货	5324	1822	东证期货	1935.0	-40.0	广发期货	1331.0	-49.0	0240	0163	0082
AG	白银	ag2602	6	银河期货	5146	140	宏源期货	1184.0	-35.0	国泰君安	1182.0	-376.0	0004	0137	0272
AG	白银	ag2602	7	华泰期货	4770	-703	南华期货	1064.0	-190.0	中粮期货	1175.0	173.0	0139	0096	0253
AG	白银	ag2602	8	浙商期货	4394	552	平安期货	989.0	-95.0	银河期货	1150.0	-191.0	0272	0288	0123
AG	白银	ag2602	9	国信期货	4018	-2118	申万期货	953.0	-66.0	齐盛期货	1134.0	-32.0	0001	0069	0308
AG	白银	ag2602	10	中泰期货	3539	-643	国海良时	904.0	-43.0	平安期货	923.0	-58.0	0288	0029	0275
AG	白银	ag2602	11	津投期货	2154	-899	五矿期货	860.0	-21.0	五矿期货	835.0	-439.0	0009	0009	0342
AG	白银	ag2602	12	平安期货	2025	-689	永安期货	736.0	-92.0	中泰期货	831.0	-73.0	0275	0103	0288
AG	白银	ag2602	13	华闻期货	1868	-246	华泰期货	734.0	-55.0	光大期货	784.0	-238.0	0042	0253	0259
AG	白银	ag2602	14	南华期货	1703	-396	中信建投	719.0	-75.0	国投期货	758.0	-243.0	0082	0268	0096
AG	白银	ag2602	15	金瑞期货	1520	-786	建信期货	576.0	-33.0	方正中期	744.0	8.0	0034	0003	0049
AG	白银	ag2602	16	中信建投	1514	-943	光大期货	567.0	-38.0	华泰期货	739.0	-18.0	0253	0042	0268
