品种代码	品种名称	合约代码	名次	成交量会员简称	成交量	成交量比上交易日增减	持买单量会员简称	持买单量	持买单量比上交易日增减	持卖单量会员简称	持卖单量	持卖单量比上交易日增减	PARTICIPANTID3	PARTICIPANTID2	PARTICIPANTID1
AG	白银	ag2601	1	国泰君安	10093	-789	国泰君安	2899	186	中信期货	2531	395	0148	0004	0004
AG	白银	ag2601	2	华泰期货	8439	-38	东证期货	1211	-252	国泰君安	1757	61	0004	0163	0253
AG	白银	ag2601	3	中信期货	8395	302	金瑞期货	1094	-7	东证期货	1367	175	0163	0049	0148
AG	白银	ag2601	4	广发期货	7885	1736	中信期货	907	83	光大期货	1277	-13	0042	0148	0240
AG	白银	ag2601	5	东证期货	7387	1540	申万期货	861	9	华鑫期货	1034	-3	0006	0069	0163
AG	白银	ag2601	6	中泰期货	6261	464	银河期货	805	-3	海通期货	954	57	0081	0272	0275
AG	白银	ag2601	7	西南期货	5632	5478	南华期货	690	-26	齐盛期货	569	-707	0001	0096	0141
AG	白银	ag2601	8	国投期货	5009	1632	中信建投	627	83	海证期货	550	-7	0153	0268	0082
AG	白银	ag2601	9	津投期货	4018	582	中泰期货	627	27	中信建投	486	68	0268	0275	0342
AG	白银	ag2601	10	申万期货	3340	1393	摩根大通	600	0	金瑞期货	416	-15	0049	0184	0069
AG	白银	ag2601	11	海通期货	3146	-253	广发期货	465	-145	国联期货	397	11	0018	0240	0081
AG	白银	ag2601	12	华闻期货	2782	930	国信期货	395	-194	浙商期货	380	-73	0123	0308	0259
AG	白银	ag2601	13	浙商期货	2488	421	佛山金控	391	390	国元期货	333	139	0043	0115	0123
AG	白银	ag2601	14	国信期货	2241	438	五矿期货	347	18	中粮期货	332	-67	0139	0009	0308
AG	白银	ag2601	15	国贸期货	2234	1249	国海良时	345	17	方正中期	303	-44	0034	0029	0058
AG	白银	ag2601	16	瑞达期货	1694	-54	华泰期货	316	-31	广发期货	260	59	0240	0253	0059
AG	白银	ag2601	17	银河期货	1411	-315	齐盛期货	284	-174	南华期货	256	-15	0096	0001	0272
AG	白银	ag2601	18	新湖期货	912	504	瑞达期货	250	5	银河期货	249	31	0272	0059	0077
AG	白银	ag2601	19	齐盛期货	902	455	国贸期货	224	118	平安期货	209	47	0288	0058	0001
AG	白银	ag2601	20	中信建投	693	143	方正中期	197	-22	华泰期货	207	53	0253	0034	0268
AG	白银	ag2601	999		84962	15818		13535	82		13867	152			
AG	白银	ag2602	1	国泰君安	433054	-27947	中信期货	35912	-654	中信期货	19253	-913	0148	0148	0004
AG	白银	ag2602	2	中信期货	335256	-32840	国泰君安	26037	1833	国泰君安	18706	-689	0004	0004	0148
AG	白银	ag2602	3	东证期货	200263	-1047	东证期货	16302	1061	东证期货	13782	-3013	0163	0163	0163
AG	白银	ag2602	4	华泰期货	134953	-6102	永安期货	10179	176	金瑞期货	13281	-1302	0049	0103	0253
AG	白银	ag2602	5	海通期货	130896	-4507	广发期货	9313	172	银河期货	11911	505	0272	0240	0081
AG	白银	ag2602	6	银河期货	112720	-20685	银河期货	8119	104	方正中期	9735	786	0034	0272	0272
AG	白银	ag2602	7	国信期货	110184	-39543	平安期货	7814	-294	平安期货	8592	1883	0288	0288	0308
AG	白银	ag2602	8	中泰期货	102896	-18862	东吴期货	7321	340	中信建投	7451	1161	0268	0323	0275
AG	白银	ag2602	9	广发期货	93268	-18945	华泰期货	6938	826	华泰期货	7448	997	0253	0253	0240
AG	白银	ag2602	10	中信建投	76252	-16969	光大期货	6170	172	齐盛期货	6318	71	0001	0042	0268
AG	白银	ag2602	11	华闻期货	75716	29532	五矿期货	5927	-53	中泰期货	5691	657	0275	0009	0259
AG	白银	ag2602	12	方正中期	69151	-6779	方正中期	5830	-563	中财期货	5466	133	0067	0034	0034
AG	白银	ag2602	13	徽商期货	59520	-11837	乾坤期货	5059	-17	五矿期货	5404	-1028	0009	0239	0186
AG	白银	ag2602	14	南华期货	57953	-9528	中信建投	4873	32	光大期货	5316	93	0042	0268	0096
AG	白银	ag2602	15	平安期货	52913	-8283	国投期货	4870	-633	东方财富	5195	520	0298	0082	0288
AG	白银	ag2602	16	东方财富	52527	-7954	东亚期货	4414	-725	南华期货	5071	219	0096	0088	0298
AG	白银	ag2602	17	光大期货	50545	-8781	海通期货	4279	1349	中粮期货	4553	-42	0139	0081	0042
AG	白银	ag2602	18	申万期货	47945	-9442	申万期货	4009	-1742	广发期货	4379	-1	0240	0069	0069
AG	白银	ag2602	19	东吴期货	39188	-7192	瑞达期货	3951	1074	浙商期货	4342	555	0123	0059	0323
AG	白银	ag2602	20	浙商期货	38673	-7802	民生期货	3544	530	国投期货	4291	335	0082	0244	0123
AG	白银	ag2602	999		2273873	-235513		180861	2988		166185	927			
AG	白银	ag2604	1	国泰君安	344576	-7343	中信期货	23892	-1517	中信期货	10149	-62	0148	0148	0004
AG	白银	ag2604	2	中信期货	194239	-27828	国泰君安	21017	642	国泰君安	9140	456	0004	0004	0148
AG	白银	ag2604	3	海通期货	119398	10299	永安期货	11731	72	金瑞期货	8267	693	0049	0103	0081
AG	白银	ag2604	4	东证期货	91814	-11289	国投期货	7947	-207	五矿期货	5350	67	0009	0082	0163
AG	白银	ag2604	5	中泰期货	80111	-12755	东吴期货	6447	582	东吴期货	5302	196	0323	0323	0275
AG	白银	ag2604	6	华泰期货	72982	2285	东证期货	6329	1271	银河期货	4442	1105	0272	0163	0253
AG	白银	ag2604	7	广发期货	69359	-10274	华泰期货	5607	140	宝城期货	3896	-5351	0019	0253	0240
AG	白银	ag2604	8	国信期货	63667	-16985	南华期货	4553	179	中信建投	3797	1049	0268	0096	0308
AG	白银	ag2604	9	银河期货	62548	-5197	中信建投	4464	-95	方正中期	3309	182	0034	0268	0272
AG	白银	ag2604	10	徽商期货	35961	-1794	金瑞期货	4364	35	华泰期货	3200	290	0253	0049	0186
AG	白银	ag2604	11	申万期货	33719	2917	广发期货	3806	-372	乾坤期货	3011	682	0239	0240	0069
AG	白银	ag2604	12	中信建投	32246	-4800	申万期货	3396	491	广发期货	2886	421	0240	0069	0268
AG	白银	ag2604	13	华闻期货	30645	-567	银河期货	2879	-337	齐盛期货	2870	-16	0001	0272	0259
AG	白银	ag2604	14	民生期货	27308	4634	海通期货	2854	-22	东证期货	2803	265	0163	0081	0244
AG	白银	ag2604	15	方正中期	24978	-1623	新湖期货	2840	-65	国信期货	2579	404	0308	0077	0034
AG	白银	ag2604	16	宝城期货	24398	4168	浙商期货	2246	-9	光大期货	2514	-365	0042	0123	0019
AG	白银	ag2604	17	宏源期货	20416	-3151	建信期货	2244	553	格林大华	2086	158	0121	0003	0137
AG	白银	ag2604	18	浙商期货	19035	-6463	国元期货	2213	-14	华金期货	1884	58	0051	0043	0123
AG	白银	ag2604	19	国元期货	19000	-59	西南期货	2147	5	中辉期货	1866	231	0274	0141	0043
AG	白银	ag2604	20	东方财富	18809	-2080	光大期货	2096	281	海证期货	1819	178	0153	0042	0298
AG	白银	ag2604	999		1385209	-87905		123072	1613		81170	641			
AG	白银	ag2606	1	中信期货	36883	-4419	中信期货	11236	751	中信期货	10713	58	0148	0148	0148
AG	白银	ag2606	2	国泰君安	21330	-5924	国泰君安	9500	-147	云晨期货	4582	70	0315	0004	0004
AG	白银	ag2606	3	华泰期货	18621	-2179	国投期货	7572	-21	国泰君安	3937	219	0004	0082	0253
AG	白银	ag2606	4	东证期货	16475	1068	国元期货	7378	89	铜冠金源	3604	-274	0025	0043	0163
AG	白银	ag2606	5	国信期货	10228	-4730	华泰期货	6427	205	金瑞期货	2648	75	0049	0253	0308
AG	白银	ag2606	6	海通期货	10092	-1497	广发期货	6052	-110	中财期货	2552	240	0067	0240	0081
AG	白银	ag2606	7	中泰期货	9446	-1643	金瑞期货	4929	10	新湖期货	2515	-124	0077	0049	0275
AG	白银	ag2606	8	广发期货	6619	-2416	东证期货	4734	210	东吴期货	2470	52	0323	0163	0240
AG	白银	ag2606	9	银河期货	6158	840	东吴期货	3017	36	五矿期货	2077	22	0009	0323	0272
AG	白银	ag2606	10	津投期货	5670	-758	铜冠金源	2586	0	东证期货	2012	167	0163	0025	0342
AG	白银	ag2606	11	华金期货	5615	4596	浙商期货	2346	420	山金期货	1749	-29	0052	0123	0051
AG	白银	ag2606	12	浙商期货	5190	-1547	中信建投	2245	-42	银河期货	1570	-231	0272	0268	0123
AG	白银	ag2606	13	国贸期货	4777	-73	银河期货	2194	-135	方正中期	1500	20	0034	0272	0058
AG	白银	ag2606	14	国元期货	4179	29	永安期货	1653	188	弘业期货	1437	221	0178	0103	0043
AG	白银	ag2606	15	平安期货	4148	792	方正中期	1387	-3	恒力期货	1353	-3	0339	0034	0288
AG	白银	ag2606	16	方正中期	3803	-501	广州期货	1376	-350	中国国际	1335	52	0157	0338	0034
AG	白银	ag2606	17	申万期货	3772	-1085	华鑫期货	1340	-34	华泰期货	1058	-84	0253	0006	0069
AG	白银	ag2606	18	南华期货	2928	480	齐盛期货	1289	6	广发期货	1050	53	0240	0001	0096
AG	白银	ag2606	19	华闻期货	2907	541	申万期货	1198	2	长江期货	1006	-632	0048	0069	0259
AG	白银	ag2606	20	瑞达期货	2857	3	东亚期货	999	-64	中信建投	876	135	0268	0088	0059
AG	白银	ag2606	999		181698	-18423		79458	1011		50044	7			
AG	白银	ag2608	1	国泰君安	10676	-4867	中信期货	7770	65	宝城期货	4940	4906	0019	0148	0004
AG	白银	ag2608	2	中信期货	8611	-681	国泰君安	5028	122	东吴期货	2071	-16	0323	0004	0148
AG	白银	ag2608	3	华泰期货	8516	-1383	东吴期货	2679	159	广发期货	1820	-407	0240	0323	0253
AG	白银	ag2608	4	东证期货	7496	-361	广发期货	2229	1082	国泰君安	1508	104	0004	0240	0163
AG	白银	ag2608	5	宝城期货	5403	4800	东证期货	2136	292	申万期货	1228	-90	0069	0163	0019
AG	白银	ag2608	6	国信期货	4835	-298	国元期货	2130	-6	五矿期货	1156	-16	0009	0043	0308
AG	白银	ag2608	7	津投期货	3830	-837	金瑞期货	1312	798	中信期货	998	-232	0148	0049	0342
AG	白银	ag2608	8	广发期货	3677	771	华泰期货	1279	50	东亚期货	938	-300	0088	0253	0240
AG	白银	ag2608	9	中泰期货	3635	-979	银河期货	973	170	东证期货	783	2	0163	0272	0275
AG	白银	ag2608	10	申万期货	3007	-340	平安期货	616	65	国信期货	464	-22	0308	0288	0069
AG	白银	ag2608	11	海通期货	2381	-386	海证期货	595	55	方正中期	457	-6	0034	0153	0081
AG	白银	ag2608	12	国联期货	2217	1021	中信建投	521	-44	华泰期货	344	14	0253	0268	0018
AG	白银	ag2608	13	银河期货	2216	-1023	申万期货	486	19	银河期货	334	-42	0272	0069	0272
AG	白银	ag2608	14	国贸期货	2194	97	中辉期货	484	22	徽商期货	265	46	0186	0274	0058
AG	白银	ag2608	15	浙商期货	2088	-425	国海良时	437	1	中辉期货	245	6	0274	0029	0123
AG	白银	ag2608	16	渤海期货	2013	1824	国信期货	413	89	东方财富	233	-38	0298	0308	0271
AG	白银	ag2608	17	华闻期货	1546	-250	方正中期	353	63	平安期货	219	49	0288	0034	0259
AG	白银	ag2608	18	中辉期货	1328	278	金元期货	346	92	云晨期货	189	0	0315	0089	0274
AG	白银	ag2608	19	瑞达期货	1305	-222	国投期货	345	3	长江期货	180	-13	0048	0082	0059
AG	白银	ag2608	20	民生期货	1163	426	国联期货	343	-1	永安期货	178	1	0103	0018	0244
AG	白银	ag2608	999		78137	-2835		30475	3096		18550	3946			
