month,imports_kg,exports_kg,net_import_kg,imports_tonnes,exports_tonnes,net_import_tonnes,source,import_source_url,export_source_url,fetched_at
2020-02,186147,2649,183498,186.147,2.649,183.498,India Department of Commerce TradeStat / DGCI&S · HS7106,https://tradestat.commerce.gov.in/meidb/commoditywise_import,https://tradestat.commerce.gov.in/meidb/commoditywise_export,2026-07-24T17:18:41+08:00
2020-03,215840,1844,213996,215.840,1.844,213.996,India Department of Commerce TradeStat / DGCI&S · HS7106,https://tradestat.commerce.gov.in/meidb/commoditywise_import,https://tradestat.commerce.gov.in/meidb/commoditywise_export,2026-07-24T17:18:41+08:00
2020-04,226697,126,226571,226.697,0.126,226.571,India Department of Commerce TradeStat / DGCI&S · HS7106,https://tradestat.commerce.gov.in/meidb/commoditywise_import,https://tradestat.commerce.gov.in/meidb/commoditywise_export,2026-07-24T17:18:41+08:00
2020-05,650121,2129,647992,650.121,2.129,647.992,India Department of Commerce TradeStat / DGCI&S · HS7106,https://tradestat.commerce.gov.in/meidb/commoditywise_import,https://tradestat.commerce.gov.in/meidb/commoditywise_export,2026-07-24T17:18:41+08:00
2020-06,258551,7875,250676,258.551,7.875,250.676,India Department of Commerce TradeStat / DGCI&S · HS7106,https://tradestat.commerce.gov.in/meidb/commoditywise_import,https://tradestat.commerce.gov.in/meidb/commoditywise_export,2026-07-24T17:18:41+08:00
2020-07,188704,2915,185789,188.704,2.915,185.789,India Department of Commerce TradeStat / DGCI&S · HS7106,https://tradestat.commerce.gov.in/meidb/commoditywise_import,https://tradestat.commerce.gov.in/meidb/commoditywise_export,2026-07-24T17:18:41+08:00
2020-08,54252,2051,52201,54.252,2.051,52.201,India Department of Commerce TradeStat / DGCI&S · HS7106,https://tradestat.commerce.gov.in/meidb/commoditywise_import,https://tradestat.commerce.gov.in/meidb/commoditywise_export,2026-07-24T17:18:41+08:00
2020-09,12268,1659,10609,12.268,1.659,10.609,India Department of Commerce TradeStat / DGCI&S · HS7106,https://tradestat.commerce.gov.in/meidb/commoditywise_import,https://tradestat.commerce.gov.in/meidb/commoditywise_export,2026-07-24T17:18:41+08:00
2020-10,16061,15604,457,16.061,15.604,0.457,India Department of Commerce TradeStat / DGCI&S · HS7106,https://tradestat.commerce.gov.in/meidb/commoditywise_import,https://tradestat.commerce.gov.in/meidb/commoditywise_export,2026-07-24T17:18:41+08:00
2020-11,15613,2222,13391,15.613,2.222,13.391,India Department of Commerce TradeStat / DGCI&S · HS7106,https://tradestat.commerce.gov.in/meidb/commoditywise_import,https://tradestat.commerce.gov.in/meidb/commoditywise_export,2026-07-24T17:18:41+08:00
2020-12,16096,175286,-159190,16.096,175.286,-159.190,India Department of Commerce TradeStat / DGCI&S · HS7106,https://tradestat.commerce.gov.in/meidb/commoditywise_import,https://tradestat.commerce.gov.in/meidb/commoditywise_export,2026-07-24T17:18:41+08:00
2021-01,15836,133166,-117330,15.836,133.166,-117.330,India Department of Commerce TradeStat / DGCI&S · HS7106,https://tradestat.commerce.gov.in/meidb/commoditywise_import,https://tradestat.commerce.gov.in/meidb/commoditywise_export,2026-07-24T17:18:41+08:00
2021-02,14950,5787,9163,14.950,5.787,9.163,India Department of Commerce TradeStat / DGCI&S · HS7106,https://tradestat.commerce.gov.in/meidb/commoditywise_import,https://tradestat.commerce.gov.in/meidb/commoditywise_export,2026-07-24T17:18:41+08:00
2021-03,16856,271367,-254511,16.856,271.367,-254.511,India Department of Commerce TradeStat / DGCI&S · HS7106,https://tradestat.commerce.gov.in/meidb/commoditywise_import,https://tradestat.commerce.gov.in/meidb/commoditywise_export,2026-07-24T17:18:41+08:00
2021-04,19686,12405,7281,19.686,12.405,7.281,India Department of Commerce TradeStat / DGCI&S · HS7106,https://tradestat.commerce.gov.in/meidb/commoditywise_import,https://tradestat.commerce.gov.in/meidb/commoditywise_export,2026-07-24T17:18:41+08:00
2021-05,23382,3136,20246,23.382,3.136,20.246,India Department of Commerce TradeStat / DGCI&S · HS7106,https://tradestat.commerce.gov.in/meidb/commoditywise_import,https://tradestat.commerce.gov.in/meidb/commoditywise_export,2026-07-24T17:18:41+08:00
2021-06,16769,42698,-25929,16.769,42.698,-25.929,India Department of Commerce TradeStat / DGCI&S · HS7106,https://tradestat.commerce.gov.in/meidb/commoditywise_import,https://tradestat.commerce.gov.in/meidb/commoditywise_export,2026-07-24T17:18:41+08:00
2021-07,19137,3370,15767,19.137,3.370,15.767,India Department of Commerce TradeStat / DGCI&S · HS7106,https://tradestat.commerce.gov.in/meidb/commoditywise_import,https://tradestat.commerce.gov.in/meidb/commoditywise_export,2026-07-24T17:18:41+08:00
2021-08,26828,4170,22658,26.828,4.170,22.658,India Department of Commerce TradeStat / DGCI&S · HS7106,https://tradestat.commerce.gov.in/meidb/commoditywise_import,https://tradestat.commerce.gov.in/meidb/commoditywise_export,2026-07-24T17:18:41+08:00
2021-09,732900,3481,729419,732.900,3.481,729.419,India Department of Commerce TradeStat / DGCI&S · HS7106,https://tradestat.commerce.gov.in/meidb/commoditywise_import,https://tradestat.commerce.gov.in/meidb/commoditywise_export,2026-07-24T17:18:41+08:00
2021-10,1232371,4993,1227378,1232.371,4.993,1227.378,India Department of Commerce TradeStat / DGCI&S · HS7106,https://tradestat.commerce.gov.in/meidb/commoditywise_import,https://tradestat.commerce.gov.in/meidb/commoditywise_export,2026-07-24T17:18:41+08:00
2021-11,324168,3874,320294,324.168,3.874,320.294,India Department of Commerce TradeStat / DGCI&S · HS7106,https://tradestat.commerce.gov.in/meidb/commoditywise_import,https://tradestat.commerce.gov.in/meidb/commoditywise_export,2026-07-24T17:18:41+08:00
2021-12,360499,4890,355609,360.499,4.890,355.609,India Department of Commerce TradeStat / DGCI&S · HS7106,https://tradestat.commerce.gov.in/meidb/commoditywise_import,https://tradestat.commerce.gov.in/meidb/commoditywise_export,2026-07-24T17:18:41+08:00
2022-01,851858,2796,849062,851.858,2.796,849.062,India Department of Commerce TradeStat / DGCI&S · HS7106,https://tradestat.commerce.gov.in/meidb/commoditywise_import,https://tradestat.commerce.gov.in/meidb/commoditywise_export,2026-07-24T17:18:41+08:00
2022-02,647817,3434,644383,647.817,3.434,644.383,India Department of Commerce TradeStat / DGCI&S · HS7106,https://tradestat.commerce.gov.in/meidb/commoditywise_import,https://tradestat.commerce.gov.in/meidb/commoditywise_export,2026-07-24T17:18:41+08:00
2022-03,166269,5014,161255,166.269,5.014,161.255,India Department of Commerce TradeStat / DGCI&S · HS7106,https://tradestat.commerce.gov.in/meidb/commoditywise_import,https://tradestat.commerce.gov.in/meidb/commoditywise_export,2026-07-24T17:18:41+08:00
2022-04,139988,5396,134592,139.988,5.396,134.592,India Department of Commerce TradeStat / DGCI&S · HS7106,https://tradestat.commerce.gov.in/meidb/commoditywise_import,https://tradestat.commerce.gov.in/meidb/commoditywise_export,2026-07-24T17:18:41+08:00
2022-05,635753,5211,630542,635.753,5.211,630.542,India Department of Commerce TradeStat / DGCI&S · HS7106,https://tradestat.commerce.gov.in/meidb/commoditywise_import,https://tradestat.commerce.gov.in/meidb/commoditywise_export,2026-07-24T17:18:41+08:00
2022-06,1108054,3669,1104385,1108.054,3.669,1104.385,India Department of Commerce TradeStat / DGCI&S · HS7106,https://tradestat.commerce.gov.in/meidb/commoditywise_import,https://tradestat.commerce.gov.in/meidb/commoditywise_export,2026-07-24T17:18:41+08:00
2022-07,1694529,4445,1690084,1694.529,4.445,1690.084,India Department of Commerce TradeStat / DGCI&S · HS7106,https://tradestat.commerce.gov.in/meidb/commoditywise_import,https://tradestat.commerce.gov.in/meidb/commoditywise_export,2026-07-24T17:18:41+08:00
2022-08,1125250,4252,1120998,1125.250,4.252,1120.998,India Department of Commerce TradeStat / DGCI&S · HS7106,https://tradestat.commerce.gov.in/meidb/commoditywise_import,https://tradestat.commerce.gov.in/meidb/commoditywise_export,2026-07-24T17:18:41+08:00
2022-09,1722020,5700,1716320,1722.020,5.700,1716.320,India Department of Commerce TradeStat / DGCI&S · HS7106,https://tradestat.commerce.gov.in/meidb/commoditywise_import,https://tradestat.commerce.gov.in/meidb/commoditywise_export,2026-07-24T17:18:41+08:00
2022-10,963231,4411,958820,963.231,4.411,958.820,India Department of Commerce TradeStat / DGCI&S · HS7106,https://tradestat.commerce.gov.in/meidb/commoditywise_import,https://tradestat.commerce.gov.in/meidb/commoditywise_export,2026-07-24T17:18:41+08:00
2022-11,223821,4970,218851,223.821,4.970,218.851,India Department of Commerce TradeStat / DGCI&S · HS7106,https://tradestat.commerce.gov.in/meidb/commoditywise_import,https://tradestat.commerce.gov.in/meidb/commoditywise_export,2026-07-24T17:18:41+08:00
2022-12,255816,45120,210696,255.816,45.120,210.696,India Department of Commerce TradeStat / DGCI&S · HS7106,https://tradestat.commerce.gov.in/meidb/commoditywise_import,https://tradestat.commerce.gov.in/meidb/commoditywise_export,2026-07-24T17:18:41+08:00
2023-01,152879,4160,148719,152.879,4.160,148.719,India Department of Commerce TradeStat / DGCI&S · HS7106,https://tradestat.commerce.gov.in/meidb/commoditywise_import,https://tradestat.commerce.gov.in/meidb/commoditywise_export,2026-07-24T17:18:41+08:00
2023-02,24035,3154,20881,24.035,3.154,20.881,India Department of Commerce TradeStat / DGCI&S · HS7106,https://tradestat.commerce.gov.in/meidb/commoditywise_import,https://tradestat.commerce.gov.in/meidb/commoditywise_export,2026-07-24T17:18:41+08:00
2023-03,111418,41634,69784,111.418,41.634,69.784,India Department of Commerce TradeStat / DGCI&S · HS7106,https://tradestat.commerce.gov.in/meidb/commoditywise_import,https://tradestat.commerce.gov.in/meidb/commoditywise_export,2026-07-24T17:18:41+08:00
2023-04,167063,6109,160954,167.063,6.109,160.954,India Department of Commerce TradeStat / DGCI&S · HS7106,https://tradestat.commerce.gov.in/meidb/commoditywise_import,https://tradestat.commerce.gov.in/meidb/commoditywise_export,2026-07-24T17:18:41+08:00
2023-05,43315,63425,-20110,43.315,63.425,-20.110,India Department of Commerce TradeStat / DGCI&S · HS7106,https://tradestat.commerce.gov.in/meidb/commoditywise_import,https://tradestat.commerce.gov.in/meidb/commoditywise_export,2026-07-24T17:18:41+08:00
