DATE,INSTRUMENTID,RANK,PARTICIPANTABBR1,CJ1,CJ1_CHG,PARTICIPANTABBR2,CJ2,CJ2_CHG,PARTICIPANTABBR3,CJ3,CJ3_CHG,PRODUCTNAME
20260105,agall,-1,期货公司会员/境外特殊经纪参与者,2148395,-5577576,期货公司会员/境外特殊经纪参与者,620134,-4467,期货公司会员/境外特殊经纪参与者,505237,-3230,白银
20260105,agall,0,非期货公司会员/境外特殊非经纪参与者,10291,-30002,非期货公司会员/境外特殊非经纪参与者,18240,1960,非期货公司会员/境外特殊非经纪参与者,133137,723,白银
20260105,ag2601,1,华闻期货  ,340,-284,中信期货  ,920,18,海证期货  ,440,-50,白银
20260105,ag2601,2,光大期货  ,330,111,中泰期货  ,300,-2,金瑞期货  ,330,-70,白银
20260105,ag2601,3,华鑫期货  ,318,-107,银河期货  ,222,-2,国泰君安  ,294,126,白银
20260105,ag2601,4,中泰期货  ,282,-779,国泰君安  ,204,-114,山金期货  ,168,0,白银
20260105,ag2601,5,海证期货  ,264,126,广发期货  ,174,44,新湖期货  ,134,0,白银
20260105,ag2601,6,国泰君安  ,252,-201,东证期货  ,102,0,银河期货  ,92,14,白银
20260105,ag2601,7,广发期货  ,186,-2002,国海良时  ,90,0,中信期货  ,80,14,白银
20260105,ag2601,8,中信期货  ,140,-1185,华泰期货  ,82,0,国投期货  ,74,74,白银
20260105,ag2601,9,银河期货  ,92,-441,中财期货  ,46,0,五矿期货  ,70,-4,白银
20260105,ag2601,10,南华期货  ,88,-45,铜冠金源  ,30,0,南华期货  ,62,-86,白银
20260105,ag2601,11,齐盛期货  ,80,60,国联期货  ,20,0,建信期货  ,58,0,白银
20260105,ag2601,12,兴证期货  ,80,64,紫金天风  ,20,0,华鑫期货  ,44,-318,白银
20260105,ag2601,13,金瑞期货  ,78,-1579,东吴期货  ,20,0,中辉期货  ,44,18,白银
20260105,ag2601,14,国投期货  ,78,4,国投期货  ,18,0,华闻期货  ,40,40,白银
20260105,ag2601,15,一德期货  ,70,9,徽商期货  ,16,-2,兴业期货  ,36,0,白银
20260105,ag2601,16,东证期货  ,64,-1032,新湖期货  ,14,-2,渤海期货  ,34,0,白银
20260105,ag2601,17,中辉期货  ,56,-161,瑞达期货  ,12,-2,中粮期货  ,30,0,白银
20260105,ag2601,18,国贸期货  ,32,-193,五矿期货  ,10,0,东证期货  ,30,0,白银
20260105,ag2601,19,新湖期货  ,30,-743,海证期货  ,10,-54,国元期货  ,28,0,白银
20260105,ag2601,20,创元期货  ,26,-195,中银期货  ,10,0,广发期货  ,24,6,白银
20260105,ag2601,999,,2886,-8573,,2320,-116,,2112,-236,白银
