DATE,INSTRUMENTID,RANK,PARTICIPANTABBR1,CJ1,CJ1_CHG,PARTICIPANTABBR2,CJ2,CJ2_CHG,PARTICIPANTABBR3,CJ3,CJ3_CHG,PRODUCTNAME
20260422,agall,-1,期货公司会员/境外特殊经纪参与者,2039171,427772,期货公司会员/境外特殊经纪参与者,473286,3871,期货公司会员/境外特殊经纪参与者,368933,-1270,白银
20260422,agall,0,非期货公司会员/境外特殊非经纪参与者,8371,2772,非期货公司会员/境外特殊非经纪参与者,48598,-2386,非期货公司会员/境外特殊非经纪参与者,152951,2755,白银
20260422,ag2605,1,国泰君安,5547,1762,国泰君安,1411,133,国投期货,1447,-50,白银
20260422,ag2605,2,华泰期货,3834,2032,国元期货,899,0,金瑞期货,1325,-543,白银
20260422,ag2605,3,中信期货,3723,1025,中信期货,810,-495,齐盛期货,1295,-291,白银
20260422,ag2605,4,中泰期货,2995,1228,恒力期货,630,40,银河期货,1240,66,白银
20260422,ag2605,5,广发期货,2799,1027,中信建投,499,-59,东证期货,643,-56,白银
20260422,ag2605,6,国信期货,2474,1270,东证期货,484,-53,中信期货,545,-50,白银
20260422,ag2605,7,海通期货,1773,360,银河期货,462,-68,华泰期货,428,-66,白银
20260422,ag2605,8,浙商期货,1199,183,海通期货,447,264,国泰君安,412,-23,白银
20260422,ag2605,9,南华期货,1172,417,招商期货,427,335,五矿期货,394,183,白银
20260422,ag2605,10,东证期货,1019,-388,广发期货,304,-56,方正中期,368,119,白银
20260422,ag2605,11,平安期货,826,383,新湖期货,292,5,永安期货,318,-1,白银
20260422,ag2605,12,国投期货,735,-754,中财期货,287,18,广发期货,241,24,白银
20260422,ag2605,13,金瑞期货,677,427,平安期货,282,-17,紫金天风,240,13,白银
20260422,ag2605,14,瑞达期货,647,101,中泰期货,259,69,中泰期货,228,-140,白银
20260422,ag2605,15,招商期货,622,150,创元期货,239,-11,光大期货,222,186,白银
20260422,ag2605,16,华闻期货,498,66,东海期货,213,-6,南华期货,208,135,白银
20260422,ag2605,17,方正中期,438,95,海证期货,200,-97,瑞达期货,179,9,白银
20260422,ag2605,18,中信建投,415,261,方正中期,182,-7,新湖期货,156,0,白银
20260422,ag2605,19,银河期货,415,156,华泰期货,182,-9,国海良时,143,1,白银
20260422,ag2605,20,光大期货,407,123,浙商期货,170,-22,申万期货,134,3,白银
20260422,ag2605,999,,32215,9924,,8679,-36,,10166,-481,白银
20260422,ag2606,1,国泰君安,159621,39278,国泰君安,21226,-524,中信期货,32710,-996,白银
20260422,ag2606,2,中信期货,118141,19095,中信期货,18221,27,东证期货,18240,-1957,白银
20260422,ag2606,3,广发期货,60018,19727,东证期货,11866,65,国泰君安,11689,-278,白银
20260422,ag2606,4,华泰期货,53989,6540,银河期货,11341,-60,金瑞期货,10190,793,白银
20260422,ag2606,5,东证期货,50667,10384,国投期货,10453,-364,华鑫期货,8081,234,白银
20260422,ag2606,6,银河期货,48448,18937,永安期货,10164,-275,中粮期货,7323,-289,白银
20260422,ag2606,7,中泰期货,44382,7936,华泰期货,6910,706,云晨期货,7073,-1056,白银
20260422,ag2606,8,方正中期,35752,9929,中信建投,5836,76,银河期货,6542,-336,白银
20260422,ag2606,9,海通期货,35536,5208,方正中期,5484,-190,宏源期货,6271,-327,白银
20260422,ag2606,10,国信期货,32476,7988,光大期货,4985,199,永安期货,5457,1277,白银
20260422,ag2606,11,中信建投,32339,7319,招商期货,4898,136,华泰期货,5133,-429,白银
20260422,ag2606,12,徽商期货,25629,5433,平安期货,4891,302,方正中期,4477,-650,白银
20260422,ag2606,13,东方财富,24043,3369,广发期货,4765,-201,五矿期货,4330,-361,白银
20260422,ag2606,14,平安期货,20193,6292,浙商期货,4243,-187,广发期货,3903,159,白银
20260422,ag2606,15,华闻期货,17952,3904,申万期货,4137,205,中泰期货,3852,-445,白银
