DATE,INSTRUMENTID,RANK,PARTICIPANTABBR1,CJ1,CJ1_CHG,PARTICIPANTABBR2,CJ2,CJ2_CHG,PARTICIPANTABBR3,CJ3,CJ3_CHG,PRODUCTNAME
20260313,agall,-1,期货公司会员/境外特殊经纪参与者,1806036,389037,期货公司会员/境外特殊经纪参与者,440250,-8364,期货公司会员/境外特殊经纪参与者,363010,-7730,白银
20260313,agall,0,非期货公司会员/境外特殊非经纪参与者,9562,3001,非期货公司会员/境外特殊非经纪参与者,42634,2944,非期货公司会员/境外特殊非经纪参与者,119874,2310,白银
20260313,ag2603,1,华安期货  ,132,132,华安期货  ,900,0,建信期货  ,542,32,白银
20260313,ag2603,2,中信期货  ,68,-160,中信期货  ,750,-40,金瑞期货  ,264,42,白银
20260313,ag2603,3,东证期货  ,44,-38,广发期货  ,178,-4,格林大华  ,220,0,白银
20260313,ag2603,4,金瑞期货  ,42,30,光大期货  ,152,6,瑞达期货  ,78,0,白银
20260313,ag2603,5,建信期货  ,34,-200,中信建投  ,140,0,中粮期货  ,72,0,白银
20260313,ag2603,6,华鑫期货  ,34,-90,上海中期  ,136,4,五矿期货  ,52,0,白银
20260313,ag2603,7,方正中期  ,20,20,东证期货  ,122,-36,东证期货  ,48,0,白银
20260313,ag2603,8,国元期货  ,20,-14,华鑫期货  ,114,-10,国投期货  ,26,0,白银
20260313,ag2603,9,创元期货  ,18,6,新湖期货  ,110,0,方正中期  ,22,-16,白银
20260313,ag2603,10,国信期货  ,16,-18,创元期货  ,74,14,中信期货  ,20,0,白银
20260313,ag2603,11,兴证期货  ,8,-156,方正中期  ,68,4,物产中大  ,14,0,白银
20260313,ag2603,12,光大期货  ,6,4,铜冠金源  ,64,0,中财期货  ,10,0,白银
20260313,ag2603,13,浙商期货  ,6,0,国元期货  ,62,-20,山金期货  ,8,0,白银
20260313,ag2603,14,国泰君安  ,4,4,银河期货  ,54,0,红塔期货  ,6,0,白银
20260313,ag2603,15,东海期货  ,4,4,东亚期货  ,40,0,,,,白银
20260313,ag2603,16,上海中期  ,4,2,南华期货  ,40,0,,,,白银
20260313,ag2603,17,宝城期货  ,4,-124,国海良时  ,30,2,,,,白银
