DATE,INSTRUMENTID,RANK,PARTICIPANTABBR1,CJ1,CJ1_CHG,PARTICIPANTABBR2,CJ2,CJ2_CHG,PARTICIPANTABBR3,CJ3,CJ3_CHG,PRODUCTNAME
20260210,agall,-1,期货公司会员/境外特殊经纪参与者,2524837,-1412379,期货公司会员/境外特殊经纪参与者,528242,-6578,期货公司会员/境外特殊经纪参与者,444470,-2795,白银
20260210,agall,0,非期货公司会员/境外特殊非经纪参与者,7791,2481,非期货公司会员/境外特殊非经纪参与者,30351,1253,非期货公司会员/境外特殊非经纪参与者,114123,-2530,白银
20260210,ag2602,1,国泰君安  ,230,170,中信期货  ,2214,60,中信期货  ,152,-32,白银
20260210,ag2602,2,光大期货  ,220,52,华安期货  ,900,0,华泰期货  ,118,0,白银
20260210,ag2602,3,东证期货  ,108,-368,银河期货  ,440,10,国新国证  ,26,-28,白银
20260210,ag2602,4,中信期货  ,92,-154,瑞达期货  ,402,0,方正中期  ,16,0,白银
20260210,ag2602,5,创元期货  ,60,-10,东证期货  ,358,-96,建信期货  ,14,0,白银
20260210,ag2602,6,国新国证  ,28,28,红塔期货  ,350,0,海证期货  ,2,0,白银
20260210,ag2602,7,中银期货  ,28,-54,中信建投  ,284,0,,,,白银
20260210,ag2602,8,国信期货  ,24,-166,五矿期货  ,266,18,,,,白银
20260210,ag2602,9,兴证期货  ,24,-34,兴业期货  ,232,0,,,,白银
20260210,ag2602,10,五矿期货  ,22,-6,国元期货  ,212,0,,,,白银
20260210,ag2602,11,银河期货  ,22,-486,物产中大  ,210,0,,,,白银
20260210,ag2602,12,上海中期  ,4,0,申万期货  ,184,0,,,,白银
20260210,ag2602,13,国联期货  ,4,-20,金瑞期货  ,182,0,,,,白银
20260210,ag2602,14,长江期货  ,2,-68,广发期货  ,156,0,,,,白银
20260210,ag2602,15,,,,创元期货  ,152,16,,,,白银
20260210,ag2602,16,,,,中粮期货  ,126,0,,,,白银
20260210,ag2602,17,,,,中银期货  ,118,-12,,,,白银
20260210,ag2602,18,,,,铜冠金源  ,84,0,,,,白银
20260210,ag2602,19,,,,方正中期  ,74,0,,,,白银
20260210,ag2602,20,,,,光大期货  ,74,0,,,,白银
20260210,ag2602,999,,868,-1116,,7018,-4,,328,-60,白银
20260210,ag2604,1,国泰君安  ,115889,-90872,国泰君安  ,18677,-736,中信期货  ,28717,-2452,白银
20260210,ag2604,2,中信期货  ,103765,-44135,中信期货  ,18219,-1131,国泰君安  ,17758,-109,白银
20260210,ag2604,3,银河期货  ,50895,-39754,银河期货  ,10233,-74,银河期货  ,11338,-141,白银
20260210,ag2604,4,东证期货  ,45760,-37295,东证期货  ,8328,-129,东证期货  ,9902,649,白银
20260210,ag2604,5,广发期货  ,42732,-45011,光大期货  ,6643,106,金瑞期货  ,8083,585,白银
20260210,ag2604,6,中信建投  ,33421,-20928,中信建投  ,6583,-91,华泰期货  ,6491,-233,白银
20260210,ag2604,7,华泰期货  ,32912,-19791,华泰期货  ,5784,-939,云晨期货  ,6128,21,白银
20260210,ag2604,8,东方财富  ,32779,-22123,海通期货  ,5732,-620,中财期货  ,5779,-84,白银
20260210,ag2604,9,中泰期货  ,29662,-16891,国投期货  ,5622,64,五矿期货  ,4787,-318,白银
20260210,ag2604,10,海通期货  ,29391,-14810,广发期货  ,5170,-304,光大期货  ,4596,943,白银
20260210,ag2604,11,平安期货  ,27916,-14333,平安期货  ,4985,103,中泰期货  ,4576,900,白银
20260210,ag2604,12,国信期货  ,27716,-13815,方正中期  ,4475,-79,广发期货  ,4349,-1046,白银
20260210,ag2604,13,方正中期  ,25603,-19551,金瑞期货  ,4092,-914,平安期货  ,3115,-347,白银
20260210,ag2604,14,宝城期货  ,21696,-21990,国元期货  ,3847,266,中银期货  ,2929,-834,白银
20260210,ag2604,15,徽商期货  ,21449,-15095,民生期货  ,3551,54,南华期货  ,2911,-82,白银
