DATE,INSTRUMENTID,RANK,PARTICIPANTABBR1,CJ1,CJ1_CHG,PARTICIPANTABBR2,CJ2,CJ2_CHG,PARTICIPANTABBR3,CJ3,CJ3_CHG,PRODUCTNAME
20260415,agall,-1,期货公司会员/境外特殊经纪参与者,2572235,618583,期货公司会员/境外特殊经纪参与者,441893,12507,期货公司会员/境外特殊经纪参与者,350023,11320,白银
20260415,agall,0,非期货公司会员/境外特殊非经纪参与者,7975,-8123,非期货公司会员/境外特殊非经纪参与者,46350,310,非期货公司会员/境外特殊非经纪参与者,138220,1497,白银
20260415,ag2604,1,华安期货,272,232,恒力期货,900,0,齐盛期货,762,0,白银
20260415,ag2604,2,铜冠金源,160,156,国投期货,632,-2,国泰君安,762,2,白银
20260415,ag2604,3,东证期货,110,-250,中信期货,446,0,金瑞期货,472,0,白银
20260415,ag2604,4,创元期货,96,60,新湖期货,340,-8,中信期货,354,12,白银
20260415,ag2604,5,浙商期货,76,60,国元期货,328,0,五矿期货,234,-8,白银
20260415,ag2604,6,兴证期货,60,56,华安期货,298,42,华泰期货,124,0,白银
20260415,ag2604,7,中辉期货,50,50,中财期货,278,0,东证期货,80,76,白银
20260415,ag2604,8,国信期货,44,16,广发期货,276,-32,瑞达期货,72,6,白银
20260415,ag2604,9,申万期货,42,26,中信建投,216,-40,光大期货,66,0,白银
20260415,ag2604,10,中信建投,40,20,海证期货,132,0,中银期货,66,0,白银
20260415,ag2604,11,国泰君安,36,-178,五矿期货,128,0,金元期货,36,10,白银
20260415,ag2604,12,广发期货,32,-252,国泰君安,94,-22,港信期货,18,0,白银
20260415,ag2604,13,兴业期货,20,20,南华期货,70,0,铜冠金源,4,-160,白银
20260415,ag2604,14,国联期货,18,0,上海中期,68,0,中财期货,2,0,白银
20260415,ag2604,15,中信期货,12,-84,光大期货,66,0,申万期货,2,2,白银
20260415,ag2604,16,金元期货,10,10,平安期货,66,0,,,,白银
20260415,ag2604,17,五矿期货,8,0,东证期货,48,18,,,,白银
20260415,ag2604,18,新湖期货,8,-52,东海期货,32,0,,,,白银
20260415,ag2604,19,徽商期货,8,0,建信期货,28,0,,,,白银
20260415,ag2604,20,瑞达期货,6,6,国海良时,22,0,,,,白银
20260415,ag2604,999,,1108,-104,,4468,-44,,3054,-60,白银
20260415,ag2605,1,中信期货,11401,1831,国泰君安,1487,35,金瑞期货,2227,-72,白银
20260415,ag2605,2,国泰君安,11335,3149,中信期货,1245,0,中信期货,1741,-155,白银
20260415,ag2605,3,中泰期货,6764,3026,国元期货,946,-5,齐盛期货,1215,331,白银
20260415,ag2605,4,广发期货,4175,900,东亚期货,877,253,国投期货,1193,-156,白银
20260415,ag2605,5,海通期货,3938,-178,银河期货,816,-38,银河期货,1176,-7,白银
20260415,ag2605,6,华泰期货,3792,-314,平安期货,770,6,东证期货,645,33,白银
20260415,ag2605,7,浙商期货,3353,2009,中信建投,551,-97,中泰期货,519,-72,白银
20260415,ag2605,8,五矿期货,2891,189,广发期货,488,51,国泰君安,449,0,白银
20260415,ag2605,9,国信期货,2223,-37,恒力期货,430,40,永安期货,412,-308,白银
20260415,ag2605,10,东证期货,2165,317,东证期货,408,-140,平安期货,325,-8,白银
20260415,ag2605,11,华闻期货,1379,98,海证期货,405,14,国海良时,290,-2,白银
20260415,ag2605,12,南华期货,1273,-494,海通期货,356,-113,新湖期货,258,0,白银
20260415,ag2605,13,平安期货,1016,487,中泰期货,294,56,华泰期货,232,-41,白银
20260415,ag2605,14,国投期货,885,565,新湖期货,288,9,南华期货,226,45,白银
20260415,ag2605,15,海证期货,861,48,方正中期,269,7,东吴期货,215,-4,白银
20260415,ag2605,16,银河期货,855,42,华泰期货,248,-47,紫金天风,200,124,白银
20260415,ag2605,17,方正中期,844,146,创元期货,239,11,海通期货,183,105,白银
20260415,ag2605,18,瑞达期货,836,289,中财期货,219,36,瑞达期货,181,12,白银
20260415,ag2605,19,东方财富,761,319,浙商期货,219,30,广发期货,163,-42,白银
20260415,ag2605,20,国联期货,665,188,国贸期货,201,31,五矿期货,145,20,白银
20260415,ag2605,999,,61412,12580,,10756,139,,11995,-197,白银
20260415,ag2606,1,国泰君安,181989,46174,中信期货,18559,1334,中信期货,31904,2433,白银
20260415,ag2606,2,中信期货,149389,39186,国泰君安,18231,1904,东证期货,18178,98,白银
20260415,ag2606,3,广发期货,76762,22405,东证期货,12814,-2024,国泰君安,10938,468,白银
20260415,ag2606,4,东证期货,67554,15009,国投期货,11531,183,金瑞期货,8813,325,白银
20260415,ag2606,5,华泰期货,58278,7050,银河期货,10266,409,云晨期货,8812,-70,白银
20260415,ag2606,6,银河期货,57375,14818,永安期货,9870,668,华鑫期货,7108,535,白银
20260415,ag2606,7,中泰期货,49120,11714,华泰期货,7745,533,中粮期货,6873,187,白银
20260415,ag2606,8,方正中期,47821,15148,金瑞期货,7315,271,宏源期货,6530,1961,白银
20260415,ag2606,9,海通期货,47607,10670,广发期货,5339,-653,银河期货,6528,-194,白银
20260415,ag2606,10,中信建投,46788,16541,方正中期,5094,80,中泰期货,5484,290,白银
20260415,ag2606,11,国信期货,35803,4821,招商期货,4761,240,五矿期货,5463,-93,白银
20260415,ag2606,12,徽商期货,34477,4373,中信建投,4699,-262,方正中期,5332,646,白银
20260415,ag2606,13,东方财富,34302,8924,国元期货,4695,103,浙商期货,4700,-190,白银
20260415,ag2606,14,华闻期货,29888,8839,平安期货,4601,107,华泰期货,4364,225,白银
20260415,ag2606,15,申万期货,26369,8829,光大期货,4528,21,平安期货,4074,409,白银
20260415,ag2606,16,平安期货,25726,3854,东吴期货,4244,330,广发期货,3197,197,白银
20260415,ag2606,17,东吴期货,25396,7200,浙商期货,4024,561,国投期货,3171,151,白银
20260415,ag2606,18,光大期货,24312,4155,申万期货,3958,224,南华期货,3123,-83,白银
20260415,ag2606,19,国元期货,20064,2758,乾坤期货,3280,460,中信建投,3090,180,白银
20260415,ag2606,20,宏源期货,19778,5257,创元期货,2916,24,齐盛期货,2802,178,白银
20260415,ag2606,999,,1058798,257725,,148470,4513,,150484,7653,白银
20260415,ag2608,1,国泰君安,86594,21842,中信期货,8998,406,东证期货,9474,157,白银
20260415,ag2608,2,中信期货,63497,12995,银河期货,6804,209,中银期货,7938,70,白银
20260415,ag2608,3,广发期货,31306,7646,国投期货,5731,35,中信期货,4794,403,白银
20260415,ag2608,4,华泰期货,28145,5411,国元期货,4972,-126,金瑞期货,4774,-5,白银
20260415,ag2608,5,中泰期货,26753,7343,永安期货,4703,19,国泰君安,4095,-211,白银
20260415,ag2608,6,海通期货,24896,4428,华泰期货,4100,132,中粮期货,2721,33,白银
20260415,ag2608,7,东证期货,23985,5191,国泰君安,3893,131,银河期货,1956,-51,白银
20260415,ag2608,8,银河期货,20210,4079,浙商期货,3680,527,南华期货,1900,-29,白银
20260415,ag2608,9,国信期货,17071,3519,东证期货,3559,46,方正中期,1733,-115,白银
20260415,ag2608,10,中信建投,12943,2801,金瑞期货,3356,780,云晨期货,1681,97,白银
20260415,ag2608,11,徽商期货,12848,2216,国金期货,3356,126,广发期货,1594,160,白银
20260415,ag2608,12,华闻期货,12002,3616,广发期货,2723,-98,光大期货,1399,-200,白银
20260415,ag2608,13,方正中期,10248,2669,光大期货,2696,-388,永安期货,1152,732,白银
20260415,ag2608,14,国元期货,9999,-749,大越期货,1834,13,中财期货,1151,-50,白银
20260415,ag2608,15,东吴期货,9644,3709,民生期货,1628,55,国投期货,1137,-11,白银
20260415,ag2608,16,东方财富,9377,1862,中信建投,1313,25,中辉期货,941,7,白银
20260415,ag2608,17,五矿期货,8872,697,福能期货,1277,-27,中信建投,907,126,白银
20260415,ag2608,18,民生期货,7866,1327,方正中期,1235,-259,宏源期货,707,404,白银
20260415,ag2608,19,海证期货,7535,2494,东吴期货,1176,-86,国信期货,668,42,白银
20260415,ag2608,20,宏源期货,7225,1726,海通期货,1096,-264,华泰期货,582,7,白银
20260415,ag2608,999,,431016,94822,,68130,1256,,51304,1566,白银
20260415,ag2610,1,中信期货,18313,1942,中信期货,6773,674,东证期货,6594,-3,白银
20260415,ag2610,2,国泰君安,16608,3853,广发期货,4041,-13,金瑞期货,2152,15,白银
20260415,ag2610,3,中泰期货,6816,1895,一德期货,2357,2,申万期货,1339,6,白银
20260415,ag2610,4,东证期货,5953,1607,银河期货,1827,-5,中信期货,1154,-61,白银
20260415,ag2610,5,广发期货,5039,1846,金瑞期货,1740,768,中财期货,907,-4,白银
20260415,ag2610,6,海通期货,4278,905,国投期货,1711,16,云晨期货,583,0,白银
20260415,ag2610,7,华泰期货,3698,383,国元期货,1448,135,国泰君安,532,60,白银
20260415,ag2610,8,浙商期货,3606,2326,华泰期货,1256,134,平安期货,528,36,白银
20260415,ag2610,9,国信期货,2530,178,平安期货,1059,11,东亚期货,498,0,白银
20260415,ag2610,10,国元期货,2296,1085,国泰君安,701,44,光大期货,484,13,白银
20260415,ag2610,11,华闻期货,2156,522,东亚期货,673,74,瑞达期货,458,-19,白银
20260415,ag2610,12,齐盛期货,2093,2019,中信建投,546,-21,五矿期货,448,1,白银
