DATE,INSTRUMENTID,RANK,PARTICIPANTABBR1,CJ1,CJ1_CHG,PARTICIPANTABBR2,CJ2,CJ2_CHG,PARTICIPANTABBR3,CJ3,CJ3_CHG,PRODUCTNAME
20260506,agall,-1,期货公司会员/境外特殊经纪参与者,783875,-1009948,期货公司会员/境外特殊经纪参与者,447201,13119,期货公司会员/境外特殊经纪参与者,329910,11488,白银
20260506,agall,0,非期货公司会员/境外特殊非经纪参与者,3057,-572,非期货公司会员/境外特殊非经纪参与者,23778,-497,非期货公司会员/境外特殊非经纪参与者,141069,1134,白银
20260506,ag2605,1,银河期货,250,30,恒力期货,900,0,国投期货,572,0,白银
20260506,ag2605,2,齐盛期货,218,-163,国元期货,866,-2,齐盛期货,412,-216,白银
20260506,ag2605,3,中信期货,212,-325,国泰君安,548,-12,广发期货,404,-2,白银
20260506,ag2605,4,广发期货,192,-357,中信建投,314,-4,华泰期货,398,-2,白银
20260506,ag2605,5,徽商期货,168,-41,新湖期货,274,0,银河期货,392,-202,白银
20260506,ag2605,6,中泰期货,137,-704,中信期货,240,-6,方正中期,214,0,白银
20260506,ag2605,7,国贸期货,126,-227,广发期货,238,-18,光大期货,210,0,白银
20260506,ag2605,8,华闻期货,98,-216,国投期货,228,2,五矿期货,162,0,白银
20260506,ag2605,9,渤海期货,80,-34,银河期货,130,-36,中信期货,152,58,白银
20260506,ag2605,10,光大期货,60,-15,创元期货,122,-10,新湖期货,150,0,白银
20260506,ag2605,11,东证期货,52,-721,紫金天风,100,0,永安期货,118,-2,白银
20260506,ag2605,12,国泰君安,48,-296,浙商期货,78,-2,紫金天风,118,0,白银
20260506,ag2605,13,中辉期货,48,-134,徽商期货,62,-168,瑞达期货,114,0,白银
20260506,ag2605,14,金瑞期货,44,-445,中泰期货,62,-5,金瑞期货,108,-4,白银
20260506,ag2605,15,国富期货,32,29,平安期货,52,-18,东证期货,62,14,白银
20260506,ag2605,16,海通期货,28,-103,一德期货,46,0,广州期货,30,0,白银
20260506,ag2605,17,创元期货,22,-32,国信期货,42,-1,中信建投,24,-4,白银
20260506,ag2605,18,平安期货,22,-47,方正中期,34,-6,国泰君安,20,-4,白银
20260506,ag2605,19,信达期货,20,19,华泰期货,34,-6,申万期货,18,0,白银
20260506,ag2605,20,物产中大,18,1,东证期货,26,2,恒泰期货,10,0,白银
20260506,ag2605,999,,1875,-3781,,4396,-290,,3688,-364,白银
20260506,ag2606,1,国泰君安,63338,-72399,中信期货,13948,1771,中信期货,19642,227,白银
20260506,ag2606,2,中信期货,45724,-60998,国泰君安,12925,2109,国泰君安,10784,255,白银
